slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.749,0.803,-0.012
1,101,0.53,0.609,-0.023
1,102,0.787,0.834,-0.01
1,103,0.57,0.646,-0.021
1,104,0.6,0.673,-0.019
1,105,0.705,0.766,-0.014
1,106,0.561,0.638,-0.021
1,107,0.436,0.519,-0.029
1,108,0.398,0.481,-0.031
1,109,0.538,0.617,-0.023
1,110,0.516,0.597,-0.024
1,111,0.814,0.857,-0.009
1,112,0.722,0.781,-0.013
1,113,0.727,0.785,-0.013
1,114,0.647,0.716,-0.017
1,115,0.697,0.759,-0.015
1,116,0.681,0.745,-0.016
1,117,0.571,0.648,-0.022
1,118,0.607,0.68,-0.02
1,119,0.794,0.84,-0.01
1,120,0.825,0.865,-0.008
1,121,0.855,0.889,-0.007
1,122,0.825,0.865,-0.008
1,123,0.943,0.957,-0.003
1,124,0.902,0.926,-0.005
1,125,0.946,0.96,-0.003
1,126,0.922,0.941,-0.004
1,127,0.837,0.875,-0.008
1,128,0.826,0.866,-0.009
1,129,0.849,0.884,-0.007
1,130,0.932,0.949,-0.003
1,131,0.772,0.822,-0.011
1,132,0.754,0.807,-0.012
1,133,0.712,0.772,-0.014
1,134,0.746,0.801,-0.013
1,135,0.507,0.588,-0.026
1,136,0.57,0.647,-0.022
1,137,0.616,0.688,-0.02
1,138,0.596,0.67,-0.021
1,139,0.513,0.593,-0.026
1,140,0.453,0.536,-0.03
1,141,0.388,0.471,-0.034
1,142,0.387,0.47,-0.035
1,143,0.377,0.46,-0.035
1,144,0.295,0.375,-0.042
1,145,0.603,0.676,-0.021
1,146,0.655,0.723,-0.018
1,147,0.819,0.86,-0.009
1,148,0.699,0.761,-0.016
1,149,0.68,0.744,-0.017
1,150,0.474,0.556,-0.029
1,151,0.422,0.505,-0.033
1,152,0.469,0.551,-0.029
1,153,0.472,0.554,-0.029
1,154,0.363,0.446,-0.037
1,155,0.449,0.532,-0.031
1,156,0.41,0.493,-0.034
1,157,0.384,0.467,-0.036
1,158,0.357,0.439,-0.038
1,159,0.415,0.498,-0.034
1,160,0.411,0.495,-0.034
1,161,0.359,0.442,-0.038
1,162,0.279,0.357,-0.045
1,163,0.26,0.337,-0.047
1,164,0.395,0.479,-0.036
1,165,0.369,0.452,-0.038
1,166,0.397,0.48,-0.036
1,167,0.463,0.545,-0.031
1,168,0.458,0.541,-0.032
1,169,0.44,0.523,-0.033
1,170,0.53,0.609,-0.027
1,171,0.696,0.758,-0.017
1,172,0.639,0.708,-0.021
1,173,0.612,0.684,-0.022
1,174,0.581,0.656,-0.024
1,175,0.531,0.611,-0.028
1,176,0.695,0.757,-0.018
1,177,0.604,0.678,-0.023
1,178,0.427,0.511,-0.036
1,179,0.437,0.52,-0.035
1,180,0.31,0.391,-0.046
1,181,0.412,0.496,-0.037
1,182,0.516,0.596,-0.03
1,183,0.537,0.616,-0.028
1,184,0.377,0.46,-0.041
1,185,0.374,0.457,-0.042
1,186,0.404,0.488,-0.039
1,187,0.369,0.452,-0.042
1,188,0.49,0.571,-0.033
1,189,0.478,0.56,-0.034
1,190,0.447,0.53,-0.036
1,191,0.311,0.392,-0.049
1,192,0.31,0.391,-0.049
1,193,0.5,0.581,-0.033
1,194,0.49,0.572,-0.034
