slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.319,0.4,-0.041
1,101,0.508,0.589,-0.027
1,102,0.5,0.581,-0.028
1,103,0.495,0.576,-0.028
1,104,0.678,0.742,-0.017
1,105,0.38,0.463,-0.036
1,106,0.444,0.527,-0.032
1,107,0.475,0.557,-0.03
1,108,0.454,0.537,-0.031
1,109,0.505,0.586,-0.028
1,110,0.501,0.582,-0.028
1,111,0.44,0.523,-0.032
1,112,0.313,0.394,-0.042
1,113,0.336,0.417,-0.041
1,114,0.216,0.288,-0.052
1,115,0.246,0.321,-0.049
1,116,0.218,0.29,-0.053
1,117,0.341,0.423,-0.041
1,118,0.268,0.346,-0.047
1,119,0.254,0.33,-0.049
1,120,0.215,0.287,-0.053
1,121,0.422,0.505,-0.035
1,122,0.345,0.427,-0.041
1,123,0.245,0.32,-0.05
1,124,0.232,0.305,-0.052
1,125,0.169,0.233,-0.06
1,126,0.202,0.271,-0.056
1,127,0.286,0.365,-0.046
1,128,0.16,0.223,-0.061
1,129,0.231,0.305,-0.052
1,130,0.31,0.39,-0.044
1,131,0.197,0.265,-0.056
1,132,0.214,0.285,-0.054
1,133,0.289,0.368,-0.047
1,134,0.4,0.483,-0.037
1,135,0.284,0.362,-0.047
1,136,0.26,0.336,-0.05
1,137,0.388,0.471,-0.038
1,138,0.344,0.426,-0.042
1,139,0.425,0.509,-0.036
1,140,0.347,0.429,-0.042
1,141,0.332,0.413,-0.043
1,142,0.402,0.486,-0.038
1,143,0.479,0.561,-0.032
1,144,0.507,0.587,-0.03
1,145,0.565,0.642,-0.026
1,146,0.776,0.825,-0.013
1,147,0.592,0.667,-0.024
1,148,0.614,0.686,-0.023
1,149,0.557,0.634,-0.027
1,150,0.524,0.604,-0.029
1,151,0.625,0.696,-0.022
1,152,0.538,0.617,-0.028
1,153,0.549,0.627,-0.028
1,154,0.387,0.47,-0.04
1,155,0.507,0.588,-0.031
1,156,0.603,0.676,-0.024
1,157,0.49,0.572,-0.032
1,158,0.567,0.643,-0.027
1,159,0.581,0.657,-0.026
1,160,0.589,0.664,-0.025
1,161,0.67,0.736,-0.02
1,162,0.565,0.642,-0.027
1,163,0.559,0.636,-0.028
1,164,0.695,0.757,-0.019
1,165,0.566,0.643,-0.027
1,166,0.718,0.777,-0.017
1,167,0.684,0.748,-0.02
1,168,0.611,0.684,-0.025
1,169,0.642,0.711,-0.023
1,170,0.755,0.808,-0.015
1,171,0.868,0.899,-0.008
1,172,0.758,0.811,-0.015
1,173,0.863,0.896,-0.009
1,174,0.743,0.798,-0.016
1,175,0.539,0.618,-0.031
1,176,0.583,0.658,-0.028
1,177,0.59,0.665,-0.027
1,178,0.53,0.609,-0.032
1,179,0.687,0.751,-0.02
1,180,0.672,0.738,-0.022
1,181,0.532,0.612,-0.032
1,182,0.42,0.504,-0.042
1,183,0.527,0.606,-0.033
1,184,0.534,0.613,-0.032
1,185,0.552,0.63,-0.031
1,186,0.69,0.753,-0.021
1,187,0.629,0.7,-0.026
1,188,0.673,0.738,-0.023
1,189,0.716,0.775,-0.019
1,190,0.619,0.691,-0.027
1,191,0.709,0.769,-0.02
1,192,0.78,0.828,-0.015
1,193,0.784,0.832,-0.015
1,194,0.671,0.737,-0.023
1,195,0.692,0.755,-0.022
1,196,0.741,0.796,-0.018
1,197,0.737,0.793,-0.019
1,198,0.88,0.909,-0.008
1,199,0.78,0.828,-0.016
1,200,0.595,0.669,-0.03
1,201,0.929,0.947,-0.005
1,202,0.812,0.855,-0.014
1,203,0.933,0.95,-0.005
1,204,0.97,0.977,-0.002
1,205,0.757,0.809,-0.018
1,206,0.969,0.977,0.002
1,207,0.988,0.991,-0.001
1,208,0.896,0.921,-0.008
1,209,0.949,0.962,-0.004
1,210,0.988,0.991,-0.001
1,211,0.968,0.976,0.002
1,212,0.871,0.902,-0.01
1,213,0.938,0.954,0.005
1,214,0.853,0.887,0.011
1,215,0.932,0.949,-0.005
1,216,0.784,0.832,0.017
1,217,0.769,0.819,0.018
1,218,0.623,0.694,0.03
1,219,0.784,0.832,0.017
1,220,0.566,0.642,0.035
1,221,0.59,0.665,0.033
1,222,0.518,0.598,0.04
1,223,0.476,0.558,0.044
1,224,0.303,0.383,0.064
1,39,0.096,0.143,-0.06
1,40,0.124,0.179,-0.056
1,41,0.147,0.208,-0.052
1,42,0.123,0.178,-0.056
1,43,0.187,0.255,-0.048
1,44,0.338,0.419,-0.035
1,45,0.152,0.213,-0.052
1,46,0.089,0.134,-0.062
1,47,0.124,0.179,-0.056
1,48,0.141,0.2,-0.053
1,49,0.095,0.142,-0.061
1,50,0.202,0.272,-0.046
1,51,0.118,0.172,-0.057
1,52,0.076,0.118,-0.065
1,53,0.103,0.152,-0.059
1,54,0.144,0.204,-0.053
1,55,0.124,0.179,-0.056
1,56,0.069,0.109,-0.067
1,57,0.087,0.133,-0.063
1,58,0.201,0.271,-0.047
1,59,0.069,0.108,-0.067
1,60,0.088,0.133,-0.063
1,61,0.068,0.107,-0.068
1,62,0.113,0.166,-0.059
1,63,0.181,0.247,-0.05
1,64,0.167,0.231,-0.052
1,65,0.11,0.161,-0.06
1,66,0.105,0.155,-0.061
1,67,0.069,0.109,-0.068
1,68,0.171,0.236,-0.052
1,69,0.23,0.304,-0.045
1,70,0.13,0.187,-0.057
1,71,0.213,0.284,-0.047
1,72,0.297,0.377,-0.04
1,73,0.223,0.296,-0.047
1,74,0.354,0.436,-0.035
1,75,0.231,0.304,-0.046
1,76,0.433,0.516,-0.03
1,77,0.796,0.842,-0.01
1,78,0.462,0.544,-0.029
1,79,0.431,0.514,-0.031
1,80,0.504,0.585,-0.026
1,81,0.509,0.589,-0.026
1,82,0.46,0.542,-0.029
1,83,0.459,0.541,-0.029
1,84,0.439,0.522,-0.031
1,85,0.327,0.408,-0.039
1,86,0.368,0.451,-0.036
1,87,0.409,0.492,-0.033
1,88,0.271,0.348,-0.044
1,89,0.393,0.477,-0.034
1,90,0.449,0.531,-0.03
1,91,0.345,0.427,-0.038
1,92,0.402,0.486,-0.034
1,93,0.278,0.356,-0.044
1,94,0.432,0.515,-0.032
1,95,0.365,0.447,-0.037
1,96,0.315,0.396,-0.041
1,97,0.421,0.505,-0.033
1,98,0.528,0.607,-0.026
1,99,0.387,0.47,-0.035
10,10,0.043,0.072,-0.073
10,100,0.125,0.181,-0.063
10,101,0.129,0.186,-0.062
10,102,0.164,0.227,-0.057
10,103,0.116,0.169,-0.065
10,104,0.229,0.302,-0.05
10,105,0.128,0.184,-0.063
10,106,0.149,0.21,-0.06
10,107,0.401,0.484,-0.035
10,108,0.313,0.394,-0.042
10,109,0.17,0.235,-0.057
10,11,0.032,0.056,-0.077
10,110,0.13,0.187,-0.063
10,111,0.253,0.329,-0.048
10,112,0.221,0.293,-0.051
10,113,0.317,0.398,-0.042
10,114,0.348,0.43,-0.039
10,115,0.264,0.34,-0.047
10,116,0.183,0.25,-0.056
10,117,0.197,0.266,-0.055
10,118,0.255,0.331,-0.048
10,119,0.162,0.226,-0.059
10,12,0.035,0.061,-0.075
10,120,0.182,0.249,-0.057
10,121,0.149,0.21,-0.062
10,122,0.193,0.262,-0.056
10,123,0.191,0.259,-0.056
10,124,0.15,0.211,-0.062
10,125,0.143,0.202,-0.063
10,126,0.104,0.154,-0.07
10,127,0.111,0.163,-0.069
10,128,0.087,0.133,-0.074
10,129,0.113,0.165,-0.068
10,13,0.081,0.125,-0.061
10,130,0.112,0.164,-0.069
