slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.013,0.026,-0.1
1,101,0.021,0.04,-0.092
1,102,0.024,0.044,-0.091
1,103,0.032,0.056,-0.087
1,104,0.063,0.1,-0.076
1,105,0.024,0.044,-0.092
1,106,0.026,0.047,-0.091
1,107,0.029,0.051,-0.09
1,108,0.021,0.038,-0.095
1,109,0.026,0.047,-0.092
1,110,0.033,0.057,-0.088
1,111,0.044,0.074,-0.083
1,112,0.021,0.038,-0.096
1,113,0.027,0.048,-0.092
1,114,0.011,0.023,-0.106
1,115,0.012,0.024,-0.106
1,116,0.014,0.027,-0.104
1,117,0.022,0.04,-0.097
1,118,0.016,0.031,-0.102
1,119,0.021,0.038,-0.098
1,120,0.018,0.034,-0.101
1,121,0.041,0.069,-0.087
1,122,0.035,0.061,-0.09
1,123,0.016,0.031,-0.102
1,124,0.017,0.032,-0.102
1,125,0.009,0.019,-0.111
1,126,0.011,0.023,-0.109
1,127,0.017,0.032,-0.103
1,128,0.007,0.016,-0.115
1,129,0.014,0.028,-0.105
1,130,0.021,0.039,-0.1
1,131,0.012,0.023,-0.109
1,132,0.016,0.03,-0.104
1,133,0.017,0.032,-0.104
1,134,0.024,0.043,-0.098
1,135,0.014,0.027,-0.107
1,136,0.012,0.025,-0.109
1,137,0.027,0.048,-0.097
1,138,0.025,0.045,-0.099
1,139,0.03,0.053,-0.096
1,140,0.015,0.03,-0.107
1,141,0.013,0.026,-0.11
1,142,0.018,0.035,-0.104
1,143,0.021,0.039,-0.103
1,144,0.021,0.039,-0.102
1,145,0.03,0.053,-0.097
1,146,0.072,0.112,-0.08
1,147,0.054,0.087,-0.086
1,148,0.042,0.071,-0.091
1,149,0.042,0.071,-0.091
1,150,0.026,0.046,-0.1
1,151,0.029,0.052,-0.098
1,152,0.02,0.038,-0.105
1,153,0.028,0.049,-0.1
1,154,0.012,0.024,-0.114
1,155,0.023,0.042,-0.104
1,156,0.028,0.051,-0.1
1,157,0.018,0.035,-0.108
1,158,0.022,0.041,-0.105
1,159,0.02,0.037,-0.107
1,160,0.024,0.044,-0.104
1,161,0.036,0.062,-0.097
1,162,0.022,0.04,-0.107
1,163,0.02,0.037,-0.109
1,164,0.03,0.053,-0.102
1,165,0.023,0.042,-0.107
1,166,0.044,0.074,-0.095
1,167,0.044,0.074,-0.096
1,168,0.047,0.077,-0.095
1,169,0.05,0.083,-0.094
1,170,0.06,0.096,-0.09
1,171,0.078,0.12,-0.085
1,172,0.043,0.073,-0.098
1,173,0.095,0.142,-0.082
1,174,0.069,0.108,-0.089
1,175,0.038,0.065,-0.102
1,176,0.06,0.097,-0.093
1,177,0.06,0.096,-0.093
1,178,0.047,0.079,-0.099
1,179,0.065,0.102,-0.093
1,180,0.06,0.096,-0.095
1,181,0.048,0.08,-0.1
1,182,0.041,0.069,-0.104
1,183,0.068,0.107,-0.093
1,184,0.073,0.114,-0.092
1,185,0.071,0.111,-0.094
1,186,0.114,0.167,-0.082
1,187,0.088,0.133,-0.09
1,188,0.113,0.165,-0.084
1,189,0.13,0.187,-0.08
1,190,0.111,0.163,-0.085
1,191,0.1,0.149,-0.088
1,192,0.145,0.205,-0.078
1,193,0.178,0.244,-0.073
1,194,0.111,0.163,-0.086
1,195,0.103,0.152,-0.089
1,196,0.139,0.197,-0.081
1,197,0.148,0.209,-0.079
1,198,0.16,0.223,-0.078
1,199,0.148,0.208,-0.08
1,200,0.078,0.121,-0.098
1,201,0.207,0.277,-0.071
1,202,0.195,0.263,-0.073
1,203,0.233,0.307,-0.067
1,204,0.192,0.26,-0.074
1,205,0.136,0.194,-0.085
1,206,0.27,0.348,-0.063
1,207,0.249,0.325,-0.066
1,208,0.187,0.254,-0.076
1,209,0.214,0.285,-0.072
1,210,0.225,0.297,-0.07
1,211,0.246,0.321,-0.067
1,212,0.185,0.252,-0.077
1,213,0.225,0.298,-0.071
1,214,0.259,0.335,-0.066
1,215,0.168,0.232,-0.082
1,216,0.267,0.344,-0.066
1,217,0.264,0.341,-0.066
1,218,0.314,0.395,-0.06
1,219,0.251,0.326,-0.069
1,220,0.401,0.484,-0.05
1,221,0.347,0.429,-0.057
1,222,0.374,0.457,-0.054
1,223,0.405,0.488,-0.051
1,224,0.557,0.635,-0.036
1,39,0.001,0.004,-0.113
1,40,0.002,0.006,-0.108
1,41,0.003,0.007,-0.107
1,42,0.001,0.003,-0.115
1,43,0.003,0.008,-0.106
1,44,0.007,0.015,-0.097
1,45,0.002,0.005,-0.111
1,46,0.001,0.002,-0.119
1,47,0.002,0.005,-0.111
1,48,0.002,0.005,-0.112
1,49,0.001,0.002,-0.121
1,50,0.003,0.007,-0.106
1,51,0.002,0.005,-0.111
1,52,0.001,0.003,-0.119
1,53,0.002,0.004,-0.113
1,54,0.003,0.008,-0.106
1,55,0.002,0.004,-0.115
1,56,0.001,0.003,-0.121
1,57,0.002,0.005,-0.114
1,58,0.007,0.014,-0.099
1,59,0.001,0.003,-0.121
1,60,0.002,0.005,-0.113
1,61,0.001,0.002,-0.124
1,62,0.002,0.005,-0.115
1,63,0.003,0.008,-0.108
1,64,0.005,0.011,-0.104
1,65,0.003,0.008,-0.109
1,66,0.001,0.003,-0.123
1,67,0.0,0.001,-0.134
1,68,0.002,0.005,-0.114
1,69,0.004,0.01,-0.107
1,70,0.001,0.004,-0.119
1,71,0.003,0.008,-0.111
1,72,0.005,0.012,-0.105
1,73,0.003,0.008,-0.11
1,74,0.009,0.019,-0.098
1,75,0.003,0.007,-0.114
1,76,0.013,0.025,-0.095
1,77,0.06,0.096,-0.072
1,78,0.014,0.028,-0.094
1,79,0.014,0.028,-0.094
1,80,0.027,0.048,-0.085
1,81,0.029,0.051,-0.084
