slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.003,0.007,0.122
1,101,0.007,0.015,0.11
1,102,0.005,0.011,0.114
1,103,0.006,0.012,0.113
1,104,0.012,0.025,0.102
1,105,0.006,0.013,0.113
1,106,0.005,0.011,0.116
1,107,0.005,0.012,0.115
1,108,0.011,0.023,0.105
1,109,0.008,0.017,0.11
1,110,0.007,0.016,0.111
1,111,0.006,0.013,0.115
1,112,0.006,0.013,0.116
1,113,0.003,0.008,0.124
1,114,0.002,0.004,0.133
1,115,0.003,0.006,0.127
1,116,0.003,0.006,0.128
1,117,0.006,0.013,0.117
1,118,0.002,0.005,0.132
1,119,0.003,0.006,0.128
1,120,0.004,0.009,0.123
1,121,0.013,0.026,0.106
1,122,0.004,0.009,0.123
1,123,0.001,0.004,0.138
1,124,0.001,0.004,0.139
1,125,0.001,0.003,0.141
1,126,0.002,0.005,0.136
1,127,0.003,0.007,0.13
1,128,0.001,0.002,0.15
1,129,0.001,0.004,0.138
1,130,0.003,0.008,0.127
1,131,0.002,0.005,0.136
1,132,0.002,0.004,0.136
1,133,0.002,0.005,0.136
1,134,0.003,0.007,0.13
1,135,0.002,0.004,0.138
1,136,0.001,0.004,0.14
1,137,0.003,0.007,0.131
1,138,0.003,0.008,0.13
1,139,0.003,0.008,0.129
1,140,0.002,0.004,0.14
1,141,0.003,0.008,0.13
1,142,0.003,0.008,0.132
1,143,0.011,0.022,0.114
1,144,0.009,0.02,0.116
1,145,0.008,0.017,0.118
1,146,0.019,0.036,0.105
1,147,0.012,0.024,0.113
1,148,0.014,0.028,0.11
1,149,0.013,0.026,0.112
1,150,0.012,0.024,0.113
1,151,0.016,0.03,0.109
1,152,0.016,0.031,0.109
1,153,0.018,0.034,0.108
1,154,0.007,0.015,0.123
1,155,0.01,0.021,0.118
1,156,0.021,0.039,0.106
1,157,0.024,0.043,0.104
1,158,0.03,0.053,0.1
1,159,0.023,0.042,0.105
1,160,0.02,0.037,0.108
1,161,0.03,0.053,0.101
1,162,0.024,0.044,0.106
1,163,0.027,0.049,0.104
1,164,0.035,0.061,0.099
