slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.008,0.017,0.107
1,101,0.02,0.038,0.094
1,102,0.016,0.031,0.098
1,103,0.016,0.031,0.099
1,104,0.033,0.058,0.087
1,105,0.016,0.031,0.099
1,106,0.015,0.029,0.1
1,107,0.015,0.03,0.1
1,108,0.029,0.051,0.091
1,109,0.022,0.04,0.095
1,110,0.02,0.037,0.097
1,111,0.015,0.03,0.101
1,112,0.014,0.027,0.103
1,113,0.008,0.018,0.111
1,114,0.005,0.011,0.119
1,115,0.007,0.016,0.114
1,116,0.007,0.015,0.115
1,117,0.015,0.03,0.103
1,118,0.005,0.012,0.119
1,119,0.007,0.014,0.116
1,120,0.01,0.021,0.11
1,121,0.031,0.054,0.093
1,122,0.011,0.022,0.109
1,123,0.004,0.01,0.123
1,124,0.004,0.009,0.125
1,125,0.003,0.008,0.128
1,126,0.005,0.011,0.122
1,127,0.008,0.017,0.115
1,128,0.002,0.005,0.134
1,129,0.005,0.011,0.123
1,130,0.01,0.021,0.112
1,131,0.005,0.012,0.122
1,132,0.005,0.011,0.122
1,133,0.006,0.013,0.12
1,134,0.01,0.02,0.113
1,135,0.006,0.013,0.121
1,136,0.005,0.012,0.123
1,137,0.01,0.02,0.114
1,138,0.01,0.021,0.114
1,139,0.011,0.023,0.112
1,140,0.006,0.013,0.122
1,141,0.012,0.023,0.112
1,142,0.011,0.023,0.113
1,143,0.034,0.059,0.095
1,144,0.03,0.053,0.097
1,145,0.028,0.05,0.099
1,146,0.058,0.093,0.085
1,147,0.039,0.067,0.093
1,148,0.047,0.077,0.09
1,149,0.041,0.069,0.092
1,150,0.04,0.068,0.093
1,151,0.052,0.085,0.088
1,152,0.051,0.083,0.089
1,153,0.053,0.086,0.089
1,154,0.026,0.047,0.102
1,155,0.034,0.059,0.097
1,156,0.061,0.097,0.086
1,157,0.067,0.106,0.085
1,158,0.078,0.121,0.082
1,159,0.067,0.105,0.085
1,160,0.058,0.093,0.088
1,161,0.081,0.124,0.081
1,162,0.066,0.105,0.086
