slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.952,0.965,0.002
1,101,0.862,0.895,-0.007
1,102,0.89,0.916,-0.005
1,103,0.96,0.97,0.002
1,104,0.769,0.82,-0.011
1,105,0.984,0.988,-0.001
1,106,0.901,0.925,-0.005
1,107,0.992,0.994,-0.0
1,108,0.972,0.979,-0.001
1,109,0.978,0.983,0.001
1,110,0.947,0.961,0.003
1,111,0.807,0.851,0.01
1,112,0.629,0.7,0.019
1,113,0.643,0.712,0.018
1,114,0.531,0.61,0.025
1,115,0.581,0.657,0.022
1,116,0.553,0.631,0.024
1,117,0.654,0.722,0.018
1,118,0.443,0.526,0.031
1,119,0.401,0.484,0.034
1,120,0.423,0.506,0.032
1,121,0.781,0.829,0.011
1,122,0.666,0.732,0.017
1,123,0.611,0.683,0.021
1,124,0.486,0.568,0.028
1,125,0.432,0.515,0.032
1,126,0.507,0.588,0.027
1,127,0.754,0.807,0.013
1,128,0.519,0.599,0.027
1,129,0.581,0.656,0.023
1,130,0.758,0.811,0.013
1,131,0.553,0.631,0.024
1,132,0.525,0.604,0.026
1,133,0.708,0.768,0.015
1,134,0.955,0.966,0.002
1,135,0.76,0.812,0.013
1,136,0.728,0.785,0.014
1,137,0.922,0.941,0.004
1,138,0.796,0.842,0.011
1,139,0.818,0.86,0.01
1,140,0.824,0.865,0.009
1,141,0.919,0.939,0.004
1,142,0.984,0.988,0.001
1,143,0.929,0.947,-0.004
1,144,0.857,0.891,-0.008
1,145,0.707,0.768,-0.016
1,146,0.595,0.669,-0.023
1,147,0.651,0.719,-0.019
1,148,0.634,0.704,-0.02
1,149,0.787,0.835,-0.012
1,150,0.723,0.781,-0.015
1,151,0.637,0.706,-0.02
1,152,0.774,0.824,-0.012
1,153,0.801,0.846,-0.011
1,154,0.817,0.859,-0.01
1,155,0.755,0.808,-0.014
1,156,0.653,0.721,-0.02
1,157,0.654,0.721,-0.02
1,158,0.736,0.792,-0.015
1,159,0.625,0.696,-0.021
1,160,0.659,0.726,-0.019
1,161,0.579,0.654,-0.025
1,162,0.64,0.71,-0.021
1,163,0.681,0.745,-0.018
1,164,0.538,0.617,-0.028
1,165,0.75,0.804,-0.014
1,166,0.698,0.76,-0.017
1,167,0.682,0.746,-0.019
1,168,0.74,0.796,-0.015
1,169,0.809,0.852,-0.011
1,170,0.659,0.726,-0.02
1,171,0.489,0.571,-0.032
1,172,0.52,0.6,-0.03
1,173,0.631,0.701,-0.022
1,174,0.67,0.735,-0.02
1,175,0.902,0.926,-0.006
1,176,0.96,0.97,-0.002
1,177,0.949,0.962,-0.003
1,178,0.872,0.903,0.008
1,179,0.818,0.859,-0.011
1,180,0.935,0.952,-0.004
1,181,0.887,0.914,0.007
1,182,0.836,0.874,0.01
1,183,0.867,0.898,0.008
1,184,0.741,0.797,0.016
1,185,0.907,0.93,0.006
1,186,0.98,0.985,0.001
1,187,0.953,0.965,0.003
1,188,0.956,0.967,-0.003
1,189,0.961,0.971,-0.002
1,190,0.96,0.97,0.003
1,191,0.922,0.941,-0.005
1,192,0.935,0.952,-0.004
1,193,0.912,0.934,0.006
1,194,0.941,0.956,0.004
1,195,0.952,0.964,-0.003
1,196,0.861,0.894,-0.009
1,197,0.941,0.956,-0.004
1,198,0.953,0.965,0.003
1,199,0.964,0.973,0.002
1,200,0.77,0.82,0.016
1,201,0.923,0.943,-0.005
1,202,0.94,0.955,0.004
1,203,0.957,0.968,0.003
1,204,0.922,0.942,-0.005
1,205,0.832,0.871,0.012
1,206,0.853,0.887,-0.01
1,207,0.929,0.947,-0.005
1,208,0.928,0.946,0.005
1,209,0.956,0.967,0.003
1,210,0.915,0.936,-0.006
1,211,0.939,0.954,-0.004
1,212,0.934,0.951,0.005
1,213,0.942,0.957,-0.004
1,214,0.816,0.858,-0.013
1,215,0.928,0.946,-0.005
1,216,0.681,0.745,-0.023
1,217,0.684,0.748,-0.023
1,218,0.463,0.546,-0.042
1,219,0.703,0.764,-0.022
1,220,0.558,0.635,-0.034
1,221,0.554,0.632,-0.034
1,222,0.454,0.537,-0.043
1,223,0.429,0.513,-0.046
1,224,0.276,0.354,-0.064
1,39,0.276,0.354,0.037
1,40,0.454,0.537,0.025
1,41,0.487,0.569,0.024
1,42,0.441,0.524,0.026
1,43,0.519,0.599,0.022
1,44,0.956,0.968,0.002
1,45,0.552,0.63,0.02
1,46,0.567,0.644,0.019
1,47,0.475,0.558,0.024
1,48,0.48,0.562,0.024
1,49,0.554,0.632,0.02
1,50,0.658,0.725,0.015
1,51,0.42,0.503,0.028
1,52,0.496,0.577,0.023
1,53,0.54,0.619,0.021
