slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.012,-0.106
1,101,0.008,0.016,-0.101
1,102,0.008,0.018,-0.1
1,103,0.011,0.022,-0.098
1,104,0.032,0.056,-0.082
1,105,0.015,0.03,-0.093
1,106,0.017,0.032,-0.092
1,107,0.009,0.019,-0.101
1,108,0.012,0.024,-0.098
1,109,0.009,0.019,-0.101
1,110,0.013,0.026,-0.096
1,111,0.01,0.021,-0.101
1,112,0.005,0.011,-0.11
1,113,0.006,0.014,-0.107
1,114,0.003,0.007,-0.119
1,115,0.004,0.009,-0.115
1,116,0.006,0.013,-0.109
1,117,0.005,0.012,-0.111
1,118,0.002,0.005,-0.123
1,119,0.003,0.008,-0.117
1,120,0.007,0.015,-0.108
1,121,0.018,0.034,-0.095
1,122,0.015,0.029,-0.098
1,123,0.007,0.015,-0.108
1,124,0.006,0.013,-0.111
1,125,0.003,0.007,-0.121
1,126,0.005,0.012,-0.113
1,127,0.011,0.022,-0.103
1,128,0.005,0.011,-0.115
1,129,0.006,0.013,-0.112
1,130,0.013,0.026,-0.101
1,131,0.009,0.019,-0.106
1,132,0.01,0.021,-0.104
1,133,0.008,0.017,-0.108
1,134,0.01,0.02,-0.106
1,135,0.01,0.021,-0.106
1,136,0.009,0.019,-0.107
1,137,0.017,0.033,-0.098
1,138,0.017,0.033,-0.098
1,139,0.016,0.031,-0.1
1,140,0.006,0.014,-0.113
1,141,0.009,0.018,-0.109
1,142,0.012,0.024,-0.105
1,143,0.015,0.028,-0.102
1,144,0.014,0.028,-0.102
1,145,0.018,0.034,-0.1
1,146,0.058,0.093,-0.08
1,147,0.061,0.097,-0.079
1,148,0.041,0.069,-0.086
1,149,0.032,0.056,-0.091
1,150,0.031,0.055,-0.091
1,151,0.037,0.063,-0.088
1,152,0.021,0.039,-0.098
1,153,0.024,0.044,-0.096
1,154,0.019,0.037,-0.1
1,155,0.024,0.043,-0.097
1,156,0.029,0.052,-0.094
1,157,0.039,0.066,-0.089
1,158,0.026,0.048,-0.096
1,159,0.024,0.044,-0.098
1,160,0.028,0.05,-0.096
