slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.275,0.353,-0.041
1,101,0.44,0.523,-0.029
1,102,0.492,0.574,-0.026
1,103,0.444,0.527,-0.029
1,104,0.583,0.658,-0.021
1,105,0.527,0.606,-0.024
1,106,0.649,0.717,-0.017
1,107,0.43,0.513,-0.03
1,108,0.469,0.551,-0.028
1,109,0.615,0.688,-0.019
1,110,0.73,0.787,-0.013
1,111,0.736,0.792,-0.013
1,112,0.825,0.866,-0.008
1,113,0.806,0.85,-0.009
1,114,0.636,0.706,-0.018
1,115,0.852,0.887,-0.007
1,116,0.917,0.938,-0.004
1,117,0.929,0.947,-0.003
1,118,0.717,0.776,-0.014
1,119,0.784,0.832,-0.011
1,120,0.893,0.919,0.005
1,121,0.791,0.838,0.01
1,122,0.945,0.959,0.003
1,123,0.944,0.958,-0.003
1,124,0.987,0.99,-0.001
1,125,0.759,0.812,-0.012
1,126,0.843,0.88,-0.008
1,127,0.971,0.979,-0.001
1,128,0.866,0.898,-0.007
1,129,0.861,0.894,-0.007
1,130,0.909,0.931,-0.005
1,131,0.917,0.937,-0.004
1,132,0.956,0.967,0.002
1,133,0.944,0.958,-0.003
1,134,0.853,0.888,-0.007
1,135,0.966,0.975,0.002
1,136,0.952,0.964,-0.002
1,137,0.877,0.907,-0.006
1,138,0.996,0.997,-0.0
1,139,0.919,0.939,0.004
1,140,0.934,0.951,-0.003
1,141,0.976,0.982,-0.001
1,142,0.931,0.948,0.004
1,143,0.746,0.8,0.013
1,144,0.848,0.884,0.008
1,145,0.97,0.978,0.002
1,146,0.614,0.687,0.021
1,147,0.612,0.684,0.021
1,148,0.684,0.748,0.017
1,149,0.756,0.808,0.013
1,150,0.705,0.766,0.016
1,151,0.666,0.732,0.018
1,152,0.792,0.839,0.011
1,153,0.808,0.851,0.01
1,154,0.831,0.87,0.009
1,155,0.868,0.899,0.007
1,156,0.913,0.935,0.005
1,157,0.838,0.876,0.009
1,158,0.906,0.929,0.005
1,159,0.915,0.936,0.005
1,160,0.961,0.971,0.002
1,161,0.851,0.886,0.008
1,162,0.972,0.979,0.001
1,163,0.873,0.903,0.007
1,164,0.919,0.939,0.004
1,165,0.911,0.933,0.005
1,166,0.721,0.779,0.016
1,167,0.873,0.903,0.007
1,168,0.801,0.846,0.011
1,169,0.917,0.938,0.005
1,170,0.84,0.877,0.009
1,171,0.692,0.754,0.018
1,172,0.964,0.974,0.002
1,173,0.893,0.919,0.006
1,174,0.936,0.952,0.004
1,175,0.879,0.908,-0.007
1,176,0.932,0.949,-0.004
1,177,0.829,0.868,-0.01
1,178,0.734,0.79,-0.016
1,179,0.887,0.915,-0.007
1,180,0.874,0.904,-0.007
1,181,0.687,0.75,-0.019
1,182,0.818,0.86,-0.011
1,183,0.681,0.745,-0.019
1,184,0.768,0.819,-0.014
1,185,0.847,0.883,-0.009
1,186,0.925,0.944,-0.005
1,187,0.832,0.871,-0.01
1,188,0.963,0.973,0.002
1,189,0.888,0.915,-0.007
1,190,0.822,0.863,-0.011
1,191,0.673,0.738,-0.021
1,192,0.992,0.994,0.0
1,193,0.919,0.939,-0.005
1,194,0.864,0.896,-0.009
1,195,0.807,0.85,-0.012
1,196,0.871,0.902,-0.008
1,197,0.922,0.941,-0.005
1,198,0.877,0.907,-0.008
1,199,0.923,0.942,-0.005
1,200,0.824,0.864,-0.011
1,201,0.923,0.942,0.005
1,202,0.927,0.946,0.005
1,203,0.977,0.983,-0.002
1,204,0.957,0.968,0.003
1,205,0.943,0.958,-0.004
1,206,0.864,0.897,0.009
1,207,0.916,0.937,0.006
1,208,0.912,0.934,-0.006
1,209,0.909,0.932,0.006
1,210,0.967,0.976,-0.002
1,211,0.933,0.95,0.005
1,212,0.938,0.953,0.004
1,213,0.782,0.83,0.015
1,214,0.878,0.907,0.008
1,215,0.938,0.953,0.004
1,216,0.718,0.777,0.02
1,217,0.642,0.711,0.026
1,218,0.767,0.818,0.016
1,219,0.921,0.94,0.006
1,220,0.671,0.737,0.024
1,221,0.778,0.827,0.016
1,222,0.604,0.677,0.029
1,223,0.59,0.664,0.03
1,224,0.568,0.645,0.032
1,39,0.157,0.219,-0.046
1,40,0.098,0.147,-0.055
1,41,0.18,0.246,-0.044
1,42,0.082,0.125,-0.057
1,43,0.203,0.273,-0.042
1,44,0.283,0.361,-0.035
1,45,0.307,0.387,-0.034
1,46,0.191,0.259,-0.043
1,47,0.159,0.221,-0.047
1,48,0.242,0.317,-0.039
1,49,0.096,0.144,-0.055
1,50,0.195,0.264,-0.043
1,51,0.255,0.331,-0.038
1,52,0.222,0.294,-0.041
1,53,0.121,0.175,-0.052
1,54,0.273,0.35,-0.037
1,55,0.234,0.307,-0.04
1,56,0.202,0.272,-0.043
1,57,0.215,0.286,-0.042
1,58,0.292,0.371,-0.035
1,59,0.136,0.194,-0.05
1,60,0.126,0.182,-0.052
1,61,0.135,0.192,-0.051
1,62,0.109,0.161,-0.054
1,63,0.092,0.138,-0.057
1,64,0.164,0.228,-0.047
1,65,0.091,0.137,-0.058
1,66,0.073,0.114,-0.061
1,67,0.016,0.03,-0.083
1,68,0.045,0.075,-0.069
1,69,0.071,0.112,-0.062
1,70,0.059,0.095,-0.065
1,71,0.089,0.135,-0.059
1,72,0.127,0.183,-0.053
1,73,0.077,0.119,-0.062
1,74,0.101,0.15,-0.057
1,75,0.124,0.179,-0.054
1,76,0.125,0.181,-0.054
1,77,0.289,0.368,-0.037
1,78,0.482,0.564,-0.025
1,79,0.183,0.25,-0.047
1,80,0.309,0.39,-0.036
1,81,0.456,0.538,-0.027
1,82,0.322,0.403,-0.035
1,83,0.342,0.424,-0.034
1,84,0.352,0.434,-0.033
1,85,0.605,0.678,-0.019
1,86,0.519,0.599,-0.023
1,87,0.379,0.462,-0.032
1,88,0.251,0.327,-0.042
1,89,0.39,0.473,-0.031
1,90,0.291,0.37,-0.038
1,91,0.273,0.351,-0.04
1,92,0.438,0.521,-0.029
1,93,0.268,0.345,-0.041
1,94,0.407,0.49,-0.03
1,95,0.33,0.411,-0.036
1,96,0.221,0.293,-0.045
1,97,0.366,0.449,-0.033
1,98,0.361,0.443,-0.034
