slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.001,0.002,0.126
1,101,0.0,0.001,0.138
1,102,0.0,0.0,0.149
1,103,0.0,0.001,0.137
1,104,0.0,0.001,0.133
1,105,0.0,0.001,0.134
1,106,0.001,0.003,0.126
1,107,0.0,0.001,0.142
1,108,0.0,0.001,0.141
1,109,0.0,0.001,0.143
1,110,0.001,0.002,0.129
1,111,0.001,0.003,0.124
1,112,0.001,0.002,0.132
1,113,0.001,0.002,0.131
1,114,0.0,0.001,0.14
1,115,0.0,0.001,0.136
1,116,0.001,0.002,0.134
1,117,0.001,0.002,0.135
1,118,0.0,0.001,0.138
1,119,0.0,0.001,0.14
1,120,0.0,0.001,0.141
1,121,0.001,0.002,0.133
1,122,0.001,0.004,0.126
1,123,0.001,0.003,0.129
1,124,0.001,0.002,0.136
1,125,0.0,0.001,0.143
1,126,0.001,0.002,0.136
1,127,0.0,0.002,0.139
1,128,0.0,0.0,0.153
1,129,0.0,0.001,0.15
1,130,0.0,0.001,0.15
1,131,0.0,0.001,0.146
1,132,0.0,0.001,0.141
1,133,0.0,0.0,0.157
1,134,0.0,0.0,0.159
1,135,0.0,0.0,0.158
1,136,0.0,0.0,0.165
1,137,0.0,0.001,0.154
1,138,0.0,0.001,0.145
1,139,0.0,0.0,0.158
1,140,0.0,0.0,0.166
1,141,0.0,0.0,0.167
1,142,0.0,0.0,0.168
1,143,0.0,0.001,0.157
1,144,0.0,0.0,0.161
1,145,0.0,0.0,0.17
1,146,0.0,0.0,0.167
1,147,0.0,0.001,0.157
1,148,0.0,0.001,0.157
1,149,0.0,0.001,0.157
1,150,0.0,0.001,0.157
1,151,0.0,0.0,0.163
1,152,0.0,0.0,0.176
1,153,0.0,0.0,0.174
1,154,0.0,0.0,0.177
1,155,0.0,0.0,0.18
1,156,0.0,0.0,0.173
1,157,0.0,0.0,0.17
1,158,0.0,0.0,0.168
1,159,0.0,0.0,0.18
1,160,0.0,0.0,0.179
1,161,0.0,0.0,0.174
1,162,0.0,0.0,0.179
1,163,0.0,0.0,0.176
1,164,0.0,0.0,0.181
1,165,0.0,0.001,0.165
1,166,0.0,0.001,0.166
1,167,0.0,0.001,0.162
1,168,0.0,0.001,0.161
1,169,0.0,0.001,0.157
1,170,0.0,0.001,0.163
1,171,0.0,0.001,0.168
1,172,0.0,0.0,0.188
1,173,0.0,0.0,0.175
1,174,0.0,0.001,0.163
1,175,0.0,0.001,0.163
1,176,0.0,0.001,0.163
1,177,0.0,0.001,0.174
1,178,0.0,0.0,0.18
1,179,0.0,0.001,0.174
1,180,0.0,0.001,0.169
1,181,0.0,0.001,0.179
1,182,0.0,0.001,0.168
1,183,0.0,0.001,0.175
1,184,0.0,0.001,0.175
1,185,0.0,0.002,0.168
1,186,0.0,0.001,0.172
1,187,0.001,0.002,0.164
1,188,0.001,0.003,0.158
1,189,0.001,0.002,0.167
1,190,0.001,0.002,0.169
1,191,0.0,0.001,0.173
1,192,0.001,0.004,0.16
1,193,0.001,0.003,0.166
1,194,0.0,0.001,0.175
1,195,0.0,0.001,0.183
1,196,0.0,0.001,0.182
1,197,0.0,0.001,0.182
1,198,0.0,0.001,0.189
1,199,0.0,0.001,0.189
1,200,0.0,0.0,0.2
1,201,0.0,0.001,0.186
1,202,0.0,0.001,0.192
1,203,0.0,0.001,0.196
1,204,0.0,0.001,0.199
1,205,0.0,0.001,0.199
1,206,0.0,0.001,0.191
1,207,0.0,0.001,0.187
1,208,0.0,0.001,0.202
1,209,0.0,0.0,0.205
1,210,0.0,0.001,0.203
1,211,0.0,0.001,0.201
1,212,0.0,0.0,0.208
1,213,0.0,0.0,0.208
1,214,0.0,0.0,0.214
1,215,0.0,0.001,0.205
1,216,0.0,0.001,0.193
1,217,0.0,0.001,0.201
1,218,0.0,0.001,0.205
1,219,0.0,0.001,0.205
1,220,0.001,0.002,0.19
1,221,0.0,0.002,0.195
1,222,0.002,0.005,0.172
1,223,0.002,0.005,0.174
1,224,0.003,0.008,0.167
1,39,0.0,0.001,0.12
1,40,0.0,0.002,0.115
1,41,0.0,0.001,0.118
1,42,0.0,0.0,0.133
1,43,0.0,0.001,0.119
1,44,0.0,0.002,0.115
1,45,0.0,0.001,0.115
1,46,0.0,0.001,0.119
1,47,0.0,0.001,0.119
1,48,0.0,0.001,0.119
1,49,0.0,0.001,0.12
1,50,0.0,0.001,0.119
1,51,0.001,0.003,0.111
1,52,0.001,0.002,0.112
1,53,0.0,0.001,0.121
1,54,0.001,0.003,0.111
1,55,0.0,0.0,0.128
1,56,0.0,0.001,0.119
1,57,0.0,0.001,0.12
1,58,0.0,0.001,0.118
1,59,0.0,0.001,0.128
1,60,0.0,0.0,0.137
1,61,0.0,0.0,0.133
1,62,0.0,0.0,0.131
1,63,0.0,0.0,0.138
1,64,0.0,0.001,0.122
1,65,0.0,0.001,0.124
1,66,0.0,0.0,0.136
1,67,0.0,0.0,0.141
1,68,0.0,0.0,0.136
1,69,0.0,0.0,0.132
1,70,0.0,0.0,0.136
1,71,0.0,0.001,0.126
1,72,0.0,0.001,0.125
1,73,0.0,0.0,0.137
1,74,0.0,0.0,0.143
1,75,0.0,0.001,0.132
1,76,0.0,0.0,0.141
1,77,0.001,0.003,0.118
1,78,0.002,0.005,0.109
1,79,0.001,0.002,0.119
1,80,0.001,0.002,0.123
1,81,0.001,0.003,0.116
1,82,0.001,0.002,0.123
1,83,0.001,0.002,0.122
1,84,0.0,0.0,0.139
1,85,0.0,0.001,0.129
1,86,0.0,0.001,0.127
1,87,0.0,0.001,0.135
1,88,0.0,0.001,0.134
1,89,0.0,0.001,0.137
1,90,0.0,0.001,0.136
1,91,0.0,0.001,0.137
1,92,0.0,0.001,0.137
1,93,0.0,0.0,0.143
1,94,0.0,0.001,0.133
1,95,0.0,0.001,0.139
1,96,0.0,0.001,0.141
1,97,0.0,0.001,0.131
1,98,0.001,0.002,0.127
1,99,0.001,0.002,0.126
10,10,0.001,0.003,0.109
10,100,0.015,0.03,0.09
10,101,0.009,0.018,0.098
10,102,0.006,0.013,0.103
10,103,0.01,0.021,0.097
10,104,0.01,0.02,0.097
10,105,0.004,0.009,0.109
10,106,0.005,0.011,0.107
10,107,0.007,0.016,0.101
10,108,0.01,0.021,0.097
10,109,0.005,0.012,0.106
10,11,0.0,0.001,0.115
10,110,0.003,0.007,0.114
10,111,0.002,0.005,0.118
10,112,0.003,0.008,0.112
10,113,0.003,0.007,0.114
10,114,0.002,0.005,0.119
10,115,0.006,0.013,0.107
10,116,0.007,0.016,0.103
10,117,0.002,0.004,0.122
10,118,0.001,0.004,0.123
10,119,0.001,0.002,0.131
10,12,0.0,0.001,0.119
10,120,0.003,0.007,0.115
10,121,0.0,0.001,0.138
10,122,0.001,0.002,0.132
10,123,0.001,0.003,0.129
10,124,0.001,0.002,0.135
10,125,0.001,0.002,0.131
10,126,0.001,0.003,0.13
10,127,0.001,0.003,0.129
10,128,0.0,0.001,0.143
10,129,0.001,0.002,0.133
10,13,0.0,0.001,0.115
10,130,0.001,0.002,0.136
10,131,0.001,0.002,0.133
10,132,0.001,0.002,0.135
10,133,0.001,0.003,0.129
10,134,0.0,0.001,0.14
10,135,0.0,0.001,0.143
10,136,0.001,0.002,0.135
10,137,0.001,0.002,0.137
10,138,0.001,0.004,0.128
10,139,0.001,0.002,0.137
10,14,0.0,0.001,0.119
10,140,0.0,0.001,0.145
10,141,0.002,0.005,0.125
10,142,0.002,0.005,0.124
10,143,0.002,0.005,0.125
10,144,0.001,0.003,0.134
10,145,0.001,0.004,0.13
10,146,0.002,0.005,0.126
10,147,0.001,0.003,0.134
10,148,0.001,0.002,0.136
10,149,0.001,0.002,0.136
10,15,0.001,0.002,0.109
10,150,0.001,0.002,0.137
10,151,0.0,0.001,0.144
10,152,0.0,0.001,0.154
10,153,0.0,0.001,0.154
10,154,0.0,0.001,0.148
10,155,0.001,0.002,0.141
10,156,0.0,0.001,0.147
10,157,0.001,0.002,0.142
10,158,0.001,0.002,0.139
10,159,0.001,0.002,0.14
10,16,0.0,0.001,0.12
10,160,0.001,0.002,0.142
10,161,0.001,0.004,0.132
10,162,0.001,0.002,0.139
10,163,0.001,0.002,0.14
10,164,0.001,0.003,0.133
10,165,0.001,0.003,0.136
10,166,0.002,0.005,0.129
10,167,0.003,0.008,0.122
10,168,0.001,0.003,0.137
10,169,0.002,0.004,0.131
10,17,0.001,0.002,0.11
10,170,0.002,0.006,0.126
10,171,0.005,0.012,0.116
10,172,0.004,0.009,0.121
10,173,0.003,0.007,0.125
10,174,0.002,0.006,0.127
10,175,0.001,0.003,0.135
10,176,0.003,0.007,0.126
10,177,0.003,0.007,0.125
10,178,0.004,0.009,0.122
10,179,0.002,0.005,0.13
10,18,0.001,0.003,0.104
10,180,0.002,0.006,0.129
10,181,0.003,0.007,0.128
10,182,0.003,0.007,0.127
10,183,0.001,0.004,0.138
10,184,0.001,0.003,0.139
10,185,0.001,0.003,0.142
10,186,0.003,0.007,0.131
10,187,0.002,0.005,0.136
10,188,0.002,0.005,0.135
10,189,0.002,0.004,0.139
10,19,0.001,0.003,0.106
10,190,0.001,0.004,0.143
10,191,0.001,0.003,0.145
10,192,0.001,0.003,0.147
10,193,0.001,0.003,0.15
10,194,0.0,0.001,0.165
10,195,0.001,0.003,0.149
10,196,0.001,0.003,0.154
10,197,0.001,0.002,0.156
10,198,0.0,0.001,0.171
10,199,0.001,0.002,0.16
10,20,0.0,0.001,0.117
10,200,0.001,0.002,0.163
10,201,0.0,0.001,0.17
10,202,0.0,0.001,0.169
10,203,0.002,0.004,0.152
10,204,0.003,0.007,0.146
10,205,0.002,0.005,0.151
10,206,0.002,0.005,0.154
10,207,0.005,0.011,0.141
10,208,0.004,0.01,0.143
10,209,0.002,0.005,0.155
10,21,0.0,0.002,0.112
10,210,0.004,0.01,0.145
10,211,0.004,0.01,0.146
10,212,0.002,0.005,0.161
10,213,0.006,0.013,0.144
10,214,0.003,0.007,0.156
10,215,0.003,0.006,0.159
10,216,0.003,0.006,0.16
10,217,0.005,0.011,0.151
10,218,0.009,0.019,0.141
10,219,0.005,0.011,0.154
10,22,0.001,0.003,0.104
10,220,0.004,0.01,0.156
10,221,0.007,0.015,0.148
10,222,0.005,0.012,0.155
10,223,0.003,0.007,0.167
10,224,0.004,0.009,0.163
10,225,0.003,0.007,0.169
10,226,0.004,0.009,0.164
10,227,0.002,0.005,0.178
10,228,0.002,0.005,0.176
10,229,0.002,0.006,0.176
10,23,0.0,0.001,0.117
10,230,0.002,0.006,0.177
10,231,0.003,0.008,0.171
10,232,0.001,0.003,0.192
10,233,0.002,0.004,0.184
10,234,0.002,0.004,0.186
10,235,0.004,0.009,0.173
10,236,0.001,0.003,0.195
10,237,0.002,0.006,0.182
10,238,0.004,0.009,0.173
10,239,0.003,0.006,0.182
10,24,0.0,0.001,0.112
10,240,0.003,0.007,0.18
10,241,0.004,0.01,0.173
10,242,0.004,0.009,0.176
10,243,0.005,0.012,0.171
10,244,0.006,0.013,0.169
10,245,0.004,0.009,0.179
10,246,0.007,0.016,0.167
10,247,0.007,0.016,0.168
10,248,0.005,0.012,0.176
10,249,0.006,0.013,0.175
10,25,0.001,0.003,0.104
10,250,0.018,0.034,0.152
10,251,0.012,0.024,0.162
10,26,0.001,0.003,0.105
10,27,0.002,0.004,0.101
10,28,0.0,0.001,0.114
10,29,0.002,0.005,0.1
10,30,0.005,0.011,0.09
10,31,0.001,0.002,0.108
10,32,0.002,0.005,0.098
10,33,0.003,0.006,0.096
10,34,0.002,0.004,0.101
10,35,0.003,0.008,0.094
10,36,0.003,0.007,0.095
10,37,0.006,0.013,0.089
10,38,0.003,0.007,0.096
10,39,0.0,0.001,0.118
10,40,0.003,0.006,0.097
10,41,0.002,0.006,0.098
10,42,0.0,0.001,0.113
10,43,0.001,0.002,0.108
10,44,0.0,0.001,0.113
10,45,0.0,0.002,0.113
10,46,0.0,0.001,0.114
10,47,0.001,0.002,0.109
10,48,0.0,0.001,0.121
10,49,0.0,0.0,0.126
10,50,0.0,0.001,0.12
10,51,0.0,0.0,0.128
10,52,0.0,0.0,0.126
10,53,0.0,0.001,0.119
10,54,0.001,0.002,0.111
10,55,0.0,0.001,0.122
10,56,0.0,0.001,0.126
10,57,0.0,0.001,0.124
10,58,0.0,0.0,0.13
10,59,0.0,0.001,0.124
10,60,0.0,0.001,0.125
10,61,0.0,0.0,0.129
10,62,0.0,0.001,0.125
10,63,0.0,0.001,0.118
10,64,0.001,0.002,0.114
10,65,0.001,0.003,0.111
10,66,0.002,0.006,0.102
10,67,0.004,0.01,0.097
10,68,0.002,0.005,0.105
10,69,0.006,0.013,0.094
10,7,0.0,0.001,0.119
10,70,0.004,0.01,0.098
10,71,0.004,0.009,0.099
10,72,0.002,0.005,0.106
10,73,0.003,0.007,0.102
10,74,0.003,0.007,0.104
10,75,0.006,0.013,0.096
10,76,0.003,0.007,0.103
10,77,0.002,0.006,0.106
10,78,0.001,0.003,0.115
10,79,0.004,0.01,0.101
10,8,0.001,0.002,0.113
10,80,0.003,0.006,0.106
10,81,0.001,0.003,0.118
10,82,0.002,0.005,0.109
10,83,0.003,0.008,0.105
10,84,0.003,0.008,0.104
10,85,0.001,0.004,0.115
10,86,0.004,0.01,0.103
10,87,0.002,0.005,0.111
10,88,0.002,0.005,0.113
10,89,0.005,0.011,0.103
10,9,0.001,0.002,0.113
10,90,0.005,0.011,0.103
10,91,0.005,0.011,0.103
10,92,0.01,0.021,0.094
10,93,0.007,0.014,0.1
10,94,0.006,0.013,0.101
10,95,0.011,0.022,0.094
10,96,0.01,0.021,0.095
10,97,0.01,0.02,0.096
10,98,0.01,0.021,0.095
10,99,0.005,0.012,0.104
100,10,0.002,0.005,0.11
100,100,0.03,0.052,0.097
100,101,0.024,0.044,0.101
100,102,0.027,0.049,0.099
100,103,0.041,0.069,0.092
100,104,0.088,0.133,0.077
100,105,0.072,0.112,0.081
100,106,0.034,0.06,0.096
100,107,0.056,0.09,0.087
100,108,0.072,0.113,0.082
100,109,0.058,0.093,0.086
100,11,0.002,0.006,0.106
100,110,0.029,0.051,0.1
100,111,0.054,0.087,0.088
100,112,0.076,0.117,0.081
100,113,0.073,0.113,0.082
100,114,0.074,0.114,0.082
100,115,0.121,0.175,0.072
100,116,0.075,0.116,0.082
100,117,0.039,0.066,0.096
100,118,0.044,0.074,0.093
100,119,0.026,0.048,0.103
100,12,0.002,0.004,0.108
100,120,0.034,0.059,0.098
100,121,0.068,0.107,0.085
100,122,0.076,0.118,0.083
100,123,0.074,0.116,0.083
100,124,0.051,0.084,0.091
100,125,0.08,0.123,0.082
100,126,0.062,0.098,0.087
100,127,0.039,0.066,0.096
100,128,0.035,0.06,0.099
100,129,0.03,0.053,0.101
100,13,0.001,0.004,0.109
100,130,0.028,0.05,0.103
100,131,0.027,0.048,0.104
100,132,0.054,0.087,0.09
100,133,0.033,0.058,0.1
100,134,0.025,0.046,0.105
100,135,0.037,0.063,0.098
100,136,0.031,0.054,0.101
100,137,0.017,0.032,0.112
100,138,0.008,0.017,0.125
100,139,0.011,0.022,0.119
100,14,0.0,0.001,0.126
100,140,0.008,0.018,0.123
100,141,0.011,0.022,0.12
100,142,0.018,0.034,0.111
100,143,0.009,0.019,0.123
100,144,0.017,0.032,0.112
100,145,0.017,0.033,0.112
100,146,0.009,0.019,0.123
