slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.076,0.117,-0.066
1,101,0.12,0.174,-0.058
1,102,0.13,0.187,-0.057
1,103,0.132,0.189,-0.057
1,104,0.198,0.267,-0.049
1,105,0.164,0.228,-0.053
1,106,0.235,0.309,-0.045
1,107,0.123,0.177,-0.059
1,108,0.134,0.191,-0.057
1,109,0.193,0.261,-0.05
1,110,0.277,0.355,-0.042
1,111,0.298,0.378,-0.04
1,112,0.318,0.398,-0.038
1,113,0.322,0.403,-0.038
1,114,0.214,0.285,-0.048
1,115,0.328,0.409,-0.038
1,116,0.384,0.467,-0.034
1,117,0.385,0.468,-0.034
1,118,0.26,0.337,-0.044
1,119,0.295,0.375,-0.041
1,120,0.497,0.579,-0.027
1,121,0.589,0.663,-0.021
1,122,0.497,0.578,-0.027
1,123,0.41,0.494,-0.033
1,124,0.434,0.517,-0.031
1,125,0.277,0.355,-0.043
1,126,0.319,0.4,-0.04
1,127,0.394,0.477,-0.034
1,128,0.317,0.398,-0.04
1,129,0.319,0.4,-0.04
1,130,0.342,0.424,-0.038
1,131,0.352,0.434,-0.037
1,132,0.44,0.523,-0.031
1,133,0.345,0.428,-0.038
1,134,0.288,0.367,-0.043
1,135,0.389,0.472,-0.035
1,136,0.332,0.413,-0.039
1,137,0.32,0.401,-0.04
1,138,0.4,0.483,-0.034
1,139,0.426,0.509,-0.032
1,140,0.319,0.4,-0.041
1,141,0.351,0.433,-0.038
1,142,0.399,0.482,-0.035
1,143,0.546,0.624,-0.025
1,144,0.464,0.547,-0.03
1,145,0.368,0.451,-0.037
1,146,0.66,0.727,-0.018
1,147,0.704,0.765,-0.016
1,148,0.607,0.68,-0.021
1,149,0.543,0.622,-0.025
1,150,0.575,0.651,-0.023
1,151,0.602,0.676,-0.022
1,152,0.459,0.542,-0.031
1,153,0.465,0.548,-0.031
1,154,0.455,0.537,-0.032
1,155,0.425,0.508,-0.034
1,156,0.4,0.483,-0.036
1,157,0.455,0.538,-0.032
1,158,0.413,0.497,-0.035
1,159,0.387,0.47,-0.037
1,160,0.362,0.444,-0.039
1,161,0.443,0.526,-0.033
1,162,0.349,0.432,-0.04
1,163,0.414,0.497,-0.035
1,164,0.375,0.458,-0.039
1,165,0.406,0.489,-0.036
1,166,0.547,0.625,-0.026
1,167,0.45,0.532,-0.033
1,168,0.519,0.599,-0.029
1,169,0.44,0.523,-0.034
1,170,0.47,0.553,-0.032
1,171,0.564,0.641,-0.026
1,172,0.344,0.426,-0.043
1,173,0.43,0.513,-0.036
1,174,0.42,0.503,-0.037
1,175,0.307,0.387,-0.047
1,176,0.338,0.42,-0.044
1,177,0.268,0.345,-0.051
1,178,0.22,0.292,-0.057
1,179,0.303,0.383,-0.048
1,180,0.302,0.382,-0.048
1,181,0.201,0.27,-0.06
1,182,0.28,0.358,-0.051
1,183,0.214,0.285,-0.059
1,184,0.258,0.334,-0.054
1,185,0.312,0.393,-0.049
1,186,0.351,0.433,-0.045
1,187,0.308,0.388,-0.05
1,188,0.449,0.532,-0.037
1,189,0.343,0.425,-0.046
1,190,0.32,0.401,-0.049
1,191,0.227,0.301,-0.06
1,192,0.443,0.526,-0.038
1,193,0.389,0.472,-0.043
1,194,0.351,0.433,-0.047
1,195,0.301,0.38,-0.052
1,196,0.347,0.429,-0.048
1,197,0.38,0.463,-0.045
1,198,0.34,0.422,-0.049
1,199,0.383,0.466,-0.045
1,200,0.306,0.387,-0.053
1,201,0.497,0.578,-0.035
1,202,0.491,0.572,-0.036
1,203,0.406,0.489,-0.044
1,204,0.442,0.525,-0.041
1,205,0.394,0.477,-0.045
1,206,0.549,0.627,-0.032
1,207,0.508,0.589,-0.035
1,208,0.367,0.45,-0.048
1,209,0.486,0.568,-0.037
1,210,0.406,0.489,-0.045
1,211,0.489,0.571,-0.037
1,212,0.476,0.558,-0.039
1,213,0.59,0.664,-0.029
1,214,0.507,0.588,-0.036
1,215,0.481,0.563,-0.039
1,216,0.68,0.744,-0.023
1,217,0.745,0.8,-0.018
1,218,0.611,0.684,-0.028
1,219,0.506,0.587,-0.037
1,220,0.757,0.809,-0.017
1,221,0.648,0.717,-0.026
1,222,0.859,0.892,-0.01
1,223,0.869,0.9,-0.009
1,224,0.905,0.928,-0.007
1,39,0.034,0.058,-0.07
1,40,0.017,0.033,-0.079
1,41,0.037,0.064,-0.069
1,42,0.012,0.024,-0.083
1,43,0.044,0.074,-0.067
1,44,0.069,0.109,-0.06
1,45,0.07,0.11,-0.06
1,46,0.041,0.069,-0.068
1,47,0.033,0.058,-0.071
1,48,0.058,0.093,-0.063
1,49,0.017,0.033,-0.079
1,50,0.045,0.075,-0.067
1,51,0.066,0.105,-0.061
1,52,0.054,0.087,-0.064
1,53,0.023,0.042,-0.076
1,54,0.071,0.111,-0.06
1,55,0.048,0.08,-0.066
1,56,0.043,0.072,-0.068
1,57,0.048,0.079,-0.067
1,58,0.068,0.107,-0.062
1,59,0.025,0.045,-0.076
1,60,0.021,0.038,-0.078
1,61,0.022,0.041,-0.078
1,62,0.019,0.035,-0.08
1,63,0.013,0.026,-0.084
1,64,0.032,0.056,-0.073
1,65,0.017,0.032,-0.082
1,66,0.01,0.021,-0.088
1,67,0.002,0.004,-0.108
1,68,0.006,0.013,-0.095
1,69,0.011,0.023,-0.088
1,70,0.009,0.018,-0.091
1,71,0.015,0.03,-0.084
1,72,0.026,0.047,-0.078
1,73,0.013,0.025,-0.087
1,74,0.016,0.031,-0.084
1,75,0.023,0.042,-0.08
1,76,0.021,0.04,-0.081
1,77,0.08,0.123,-0.062
1,78,0.159,0.221,-0.05
1,79,0.045,0.075,-0.071
1,80,0.08,0.124,-0.062
1,81,0.145,0.205,-0.052
1,82,0.086,0.131,-0.062
1,83,0.083,0.128,-0.062
1,84,0.085,0.129,-0.062
1,85,0.186,0.253,-0.048
1,86,0.158,0.22,-0.051
1,87,0.094,0.141,-0.061
1,88,0.058,0.093,-0.069
1,89,0.101,0.15,-0.06
1,90,0.066,0.104,-0.067
1,91,0.067,0.105,-0.067
1,92,0.116,0.169,-0.058
1,93,0.055,0.089,-0.071
1,94,0.113,0.165,-0.059
1,95,0.083,0.128,-0.064
1,96,0.049,0.081,-0.073
1,97,0.103,0.153,-0.061
1,98,0.107,0.158,-0.06
1,99,0.163,0.226,-0.052
10,10,0.019,0.036,-0.077
10,100,0.568,0.644,-0.021
10,101,0.503,0.584,-0.025
10,102,0.274,0.352,-0.041
10,103,0.399,0.482,-0.032
10,104,0.485,0.567,-0.026
10,105,0.253,0.329,-0.043
10,106,0.282,0.361,-0.041
10,107,0.467,0.55,-0.028
10,108,0.368,0.451,-0.034
10,109,0.311,0.391,-0.039
10,11,0.018,0.035,-0.077
10,110,0.36,0.442,-0.035
10,111,0.294,0.374,-0.04
10,112,0.352,0.435,-0.036
10,113,0.33,0.411,-0.038
10,114,0.439,0.522,-0.03
10,115,0.666,0.732,-0.017
10,116,0.534,0.613,-0.024
10,117,0.282,0.36,-0.042
10,118,0.402,0.485,-0.032
10,119,0.288,0.367,-0.041
10,12,0.016,0.031,-0.079
10,120,0.465,0.548,-0.028
10,121,0.287,0.366,-0.042
10,122,0.276,0.354,-0.043
10,123,0.238,0.312,-0.046
10,124,0.239,0.313,-0.046
10,125,0.213,0.284,-0.049
10,126,0.325,0.407,-0.039
10,127,0.369,0.452,-0.035
10,128,0.228,0.301,-0.048
10,129,0.282,0.361,-0.043
10,13,0.025,0.045,-0.072
10,130,0.337,0.419,-0.038
10,131,0.294,0.373,-0.042
10,132,0.284,0.363,-0.043
10,133,0.222,0.295,-0.049
10,134,0.227,0.3,-0.048
10,135,0.278,0.357,-0.043
10,136,0.375,0.458,-0.036
10,137,0.276,0.354,-0.044
10,138,0.284,0.363,-0.043
10,139,0.235,0.309,-0.048
10,14,0.011,0.022,-0.082
10,140,0.215,0.287,-0.05
10,141,0.345,0.427,-0.038
10,142,0.369,0.452,-0.036
10,143,0.435,0.518,-0.032
10,144,0.299,0.378,-0.042
10,145,0.257,0.333,-0.046
10,146,0.43,0.513,-0.032
10,147,0.279,0.357,-0.044
10,148,0.295,0.374,-0.043
10,149,0.27,0.347,-0.045
10,15,0.049,0.081,-0.063
10,150,0.3,0.38,-0.042
10,151,0.338,0.419,-0.039
10,152,0.391,0.474,-0.035
10,153,0.402,0.485,-0.034
10,154,0.527,0.607,-0.026
10,155,0.584,0.66,-0.022
10,156,0.618,0.69,-0.02
10,157,0.683,0.747,-0.017
10,158,0.659,0.726,-0.018
10,159,0.704,0.765,-0.016
10,16,0.015,0.03,-0.078
10,160,0.784,0.832,-0.011
10,161,0.994,0.995,-0.0
10,162,0.695,0.757,-0.016
10,163,0.548,0.626,-0.025
10,164,0.675,0.74,-0.017
10,165,0.502,0.583,-0.028
10,166,0.621,0.693,-0.02
10,167,0.812,0.855,-0.01
10,168,0.567,0.644,-0.024
10,169,0.601,0.675,-0.022
10,17,0.046,0.076,-0.064
10,170,0.683,0.747,-0.017
10,171,0.859,0.892,-0.007
10,172,0.781,0.83,-0.012
10,173,0.716,0.775,-0.015
10,174,0.634,0.704,-0.02
10,175,0.591,0.666,-0.023
10,176,0.709,0.769,-0.016
10,177,0.498,0.58,-0.029
10,178,0.554,0.631,-0.025
10,179,0.502,0.583,-0.028
10,18,0.04,0.069,-0.065
10,180,0.566,0.643,-0.024
10,181,0.521,0.601,-0.028
10,182,0.694,0.757,-0.017
10,183,0.608,0.681,-0.022
10,184,0.601,0.675,-0.023
10,185,0.529,0.608,-0.027
10,186,0.48,0.562,-0.031
10,187,0.461,0.543,-0.032
10,188,0.506,0.587,-0.029
10,189,0.403,0.486,-0.037
10,19,0.06,0.097,-0.06
10,190,0.304,0.384,-0.046
