slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.071,0.111,0.067
1,101,0.049,0.081,0.073
1,102,0.02,0.037,0.086
1,103,0.049,0.081,0.073
1,104,0.036,0.062,0.078
1,105,0.042,0.07,0.076
1,106,0.074,0.115,0.067
1,107,0.028,0.05,0.083
1,108,0.045,0.075,0.075
1,109,0.021,0.039,0.087
1,110,0.057,0.092,0.072
1,111,0.057,0.092,0.072
1,112,0.026,0.047,0.085
1,113,0.026,0.047,0.085
1,114,0.016,0.03,0.093
1,115,0.023,0.042,0.087
1,116,0.027,0.049,0.085
1,117,0.032,0.056,0.083
1,118,0.022,0.04,0.089
1,119,0.021,0.039,0.089
1,120,0.028,0.05,0.086
1,121,0.059,0.095,0.074
1,122,0.057,0.093,0.074
1,123,0.061,0.097,0.073
1,124,0.019,0.036,0.092
1,125,0.018,0.034,0.093
1,126,0.031,0.054,0.085
1,127,0.033,0.058,0.084
1,128,0.014,0.028,0.097
1,129,0.013,0.026,0.098
1,130,0.017,0.032,0.095
1,131,0.016,0.03,0.096
1,132,0.022,0.041,0.09
1,133,0.014,0.028,0.097
1,134,0.019,0.036,0.093
1,135,0.012,0.024,0.1
1,136,0.01,0.021,0.103
1,137,0.01,0.021,0.103
1,138,0.024,0.043,0.091
1,139,0.022,0.041,0.092
1,140,0.012,0.024,0.101
1,141,0.009,0.018,0.106
1,142,0.01,0.02,0.105
1,143,0.021,0.039,0.094
1,144,0.018,0.034,0.096
1,145,0.01,0.021,0.105
1,146,0.018,0.034,0.097
1,147,0.025,0.045,0.092
1,148,0.021,0.038,0.095
1,149,0.026,0.047,0.091
1,150,0.036,0.061,0.086
1,151,0.018,0.034,0.098
1,152,0.007,0.016,0.111
1,153,0.009,0.018,0.109
1,154,0.011,0.022,0.106
1,155,0.009,0.02,0.108
1,156,0.009,0.018,0.11
1,157,0.019,0.036,0.098
1,158,0.014,0.027,0.104
1,159,0.004,0.01,0.121
1,160,0.007,0.016,0.113
1,161,0.005,0.012,0.119
1,162,0.006,0.013,0.117
1,163,0.015,0.029,0.105
1,164,0.008,0.018,0.114
1,165,0.021,0.039,0.1
1,166,0.017,0.033,0.103
1,167,0.019,0.036,0.102
1,168,0.034,0.06,0.092
1,169,0.035,0.06,0.093
1,170,0.04,0.068,0.091
1,171,0.036,0.062,0.093
1,172,0.016,0.032,0.107
1,173,0.023,0.042,0.102
1,174,0.035,0.061,0.095
1,175,0.044,0.073,0.091
1,176,0.034,0.059,0.096
1,177,0.019,0.036,0.107
1,178,0.019,0.036,0.108
1,179,0.026,0.047,0.103
1,180,0.04,0.069,0.095
1,181,0.042,0.07,0.095
1,182,0.037,0.063,0.097
1,183,0.025,0.045,0.105
1,184,0.023,0.042,0.107
1,185,0.036,0.062,0.1
1,186,0.031,0.055,0.103
1,187,0.045,0.075,0.096
1,188,0.045,0.075,0.097
1,189,0.035,0.061,0.102
1,190,0.025,0.046,0.109
1,191,0.051,0.083,0.096
1,192,0.053,0.087,0.095
1,193,0.045,0.075,0.099
1,194,0.03,0.052,0.108
1,195,0.029,0.052,0.109
1,196,0.03,0.053,0.109
1,197,0.032,0.056,0.108
1,198,0.019,0.036,0.119
1,199,0.023,0.042,0.116
1,200,0.01,0.021,0.131
1,201,0.022,0.04,0.118
1,202,0.012,0.025,0.129
1,203,0.012,0.025,0.13
1,204,0.008,0.016,0.139
1,205,0.006,0.014,0.143
1,206,0.006,0.014,0.143
