slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.02,0.038,-0.087
1,101,0.029,0.052,-0.082
1,102,0.031,0.054,-0.082
1,103,0.034,0.059,-0.081
1,104,0.063,0.101,-0.071
1,105,0.044,0.073,-0.077
1,106,0.071,0.111,-0.069
1,107,0.029,0.052,-0.084
1,108,0.035,0.061,-0.081
1,109,0.051,0.084,-0.075
1,110,0.088,0.134,-0.066
1,111,0.088,0.133,-0.066
1,112,0.093,0.14,-0.065
1,113,0.091,0.137,-0.066
1,114,0.053,0.086,-0.076
1,115,0.091,0.137,-0.066
1,116,0.111,0.163,-0.063
1,117,0.12,0.174,-0.061
1,118,0.063,0.101,-0.073
1,119,0.08,0.123,-0.069
1,120,0.172,0.237,-0.054
1,121,0.222,0.294,-0.049
1,122,0.178,0.244,-0.054
1,123,0.133,0.19,-0.06
1,124,0.14,0.199,-0.059
1,125,0.073,0.114,-0.072
1,126,0.094,0.141,-0.067
1,127,0.126,0.182,-0.061
1,128,0.083,0.127,-0.07
1,129,0.086,0.131,-0.069
1,130,0.103,0.153,-0.066
1,131,0.099,0.147,-0.066
1,132,0.135,0.192,-0.06
1,133,0.088,0.134,-0.069
1,134,0.072,0.113,-0.073
1,135,0.106,0.157,-0.066
1,136,0.08,0.123,-0.071
1,137,0.083,0.128,-0.071
1,138,0.119,0.173,-0.064
1,139,0.126,0.181,-0.063
1,140,0.077,0.118,-0.073
1,141,0.089,0.135,-0.07
1,142,0.108,0.159,-0.066
1,143,0.176,0.242,-0.056
1,144,0.15,0.211,-0.06
1,145,0.099,0.148,-0.069
1,146,0.242,0.317,-0.049
1,147,0.274,0.352,-0.046
1,148,0.218,0.29,-0.052
1,149,0.181,0.247,-0.056
1,150,0.204,0.275,-0.053
1,151,0.221,0.294,-0.051
1,152,0.14,0.199,-0.062
1,153,0.141,0.2,-0.062
1,154,0.14,0.199,-0.063
1,155,0.12,0.174,-0.066
1,156,0.114,0.167,-0.067
1,157,0.148,0.209,-0.062
1,158,0.131,0.187,-0.065
1,159,0.107,0.158,-0.069
1,160,0.103,0.152,-0.07
1,161,0.128,0.184,-0.066
1,162,0.093,0.14,-0.073
1,163,0.122,0.177,-0.068
1,164,0.109,0.16,-0.07
1,165,0.126,0.181,-0.067
1,166,0.175,0.241,-0.06
1,167,0.134,0.191,-0.066
1,168,0.176,0.242,-0.06
