slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.04,0.068,-0.077
1,101,0.062,0.098,-0.07
1,102,0.066,0.105,-0.069
1,103,0.07,0.11,-0.068
1,104,0.115,0.167,-0.06
1,105,0.091,0.137,-0.064
1,106,0.135,0.192,-0.057
1,107,0.064,0.102,-0.071
1,108,0.07,0.109,-0.07
1,109,0.102,0.151,-0.063
1,110,0.166,0.229,-0.053
1,111,0.179,0.245,-0.052
1,112,0.19,0.258,-0.051
1,113,0.191,0.259,-0.051
1,114,0.116,0.169,-0.061
1,115,0.191,0.259,-0.051
1,116,0.23,0.303,-0.047
1,117,0.236,0.31,-0.047
1,118,0.145,0.205,-0.057
1,119,0.169,0.234,-0.054
1,120,0.314,0.395,-0.04
1,121,0.389,0.473,-0.034
1,122,0.318,0.398,-0.04
1,123,0.246,0.321,-0.046
1,124,0.259,0.335,-0.045
1,125,0.158,0.22,-0.056
1,126,0.188,0.255,-0.053
1,127,0.235,0.309,-0.048
1,128,0.176,0.242,-0.054
1,129,0.182,0.248,-0.054
1,130,0.197,0.266,-0.052
1,131,0.201,0.271,-0.051
1,132,0.263,0.34,-0.045
1,133,0.191,0.259,-0.053
1,134,0.158,0.22,-0.057
1,135,0.222,0.294,-0.05
1,136,0.181,0.248,-0.054
1,137,0.179,0.245,-0.055
1,138,0.235,0.309,-0.049
1,139,0.252,0.328,-0.047
1,140,0.176,0.242,-0.055
1,141,0.199,0.268,-0.053
1,142,0.229,0.303,-0.05
1,143,0.345,0.427,-0.039
1,144,0.282,0.36,-0.045
1,145,0.209,0.279,-0.052
1,146,0.416,0.5,-0.034
1,147,0.455,0.538,-0.031
1,148,0.386,0.469,-0.036
1,149,0.342,0.424,-0.04
1,150,0.359,0.441,-0.038
1,151,0.372,0.455,-0.037
1,152,0.269,0.346,-0.046
1,153,0.276,0.354,-0.046
1,154,0.259,0.336,-0.048
1,155,0.243,0.318,-0.05
1,156,0.234,0.308,-0.051
1,157,0.275,0.353,-0.047
1,158,0.253,0.329,-0.049
1,159,0.233,0.306,-0.051
1,160,0.217,0.289,-0.053
1,161,0.277,0.355,-0.047
1,162,0.207,0.278,-0.055
1,163,0.261,0.337,-0.049
1,164,0.234,0.308,-0.052
1,165,0.264,0.341,-0.049
1,166,0.36,0.442,-0.04
1,167,0.287,0.365,-0.047
1,168,0.338,0.419,-0.043
1,169,0.287,0.366,-0.048
1,170,0.305,0.385,-0.046
1,171,0.372,0.455,-0.04
1,172,0.202,0.272,-0.058
1,173,0.271,0.348,-0.05
1,174,0.268,0.345,-0.051
1,175,0.192,0.261,-0.06
1,176,0.214,0.285,-0.057
1,177,0.159,0.221,-0.065
1,178,0.125,0.181,-0.071
1,179,0.181,0.248,-0.063
1,180,0.186,0.253,-0.062
1,181,0.114,0.167,-0.075
1,182,0.169,0.234,-0.065
1,183,0.126,0.182,-0.073
1,184,0.155,0.217,-0.068
1,185,0.19,0.258,-0.063
1,186,0.221,0.293,-0.059
1,187,0.191,0.259,-0.064
1,188,0.299,0.378,-0.051
1,189,0.213,0.285,-0.061
1,190,0.197,0.266,-0.064
1,191,0.135,0.192,-0.074
1,192,0.292,0.371,-0.053
1,193,0.244,0.319,-0.059
1,194,0.212,0.283,-0.063
1,195,0.173,0.239,-0.069
1,196,0.204,0.274,-0.065
1,197,0.227,0.301,-0.062
1,198,0.2,0.269,-0.066
1,199,0.236,0.31,-0.061
1,200,0.176,0.242,-0.07
1,201,0.314,0.394,-0.053
1,202,0.307,0.387,-0.054
1,203,0.25,0.326,-0.061
1,204,0.276,0.354,-0.058
1,205,0.239,0.313,-0.063
1,206,0.351,0.433,-0.05
1,207,0.326,0.408,-0.053
1,208,0.224,0.296,-0.065
1,209,0.305,0.385,-0.055
1,210,0.253,0.329,-0.062
1,211,0.31,0.39,-0.055
1,212,0.299,0.379,-0.056
1,213,0.377,0.46,-0.048
1,214,0.324,0.405,-0.054
1,215,0.308,0.388,-0.056
1,216,0.471,0.553,-0.04
1,217,0.52,0.6,-0.036
1,218,0.414,0.498,-0.045
1,219,0.334,0.416,-0.054
1,220,0.55,0.628,-0.033
1,221,0.46,0.542,-0.042
1,222,0.655,0.722,-0.025
