slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.962,0.972,0.002
1,101,0.902,0.926,0.004
1,102,0.771,0.821,0.011
1,103,0.971,0.978,0.001
1,104,0.781,0.83,0.01
1,105,0.793,0.839,0.01
1,106,0.87,0.901,0.006
1,107,0.871,0.902,0.006
1,108,0.911,0.933,-0.004
1,109,0.791,0.837,0.01
1,110,0.752,0.806,0.012
1,111,0.789,0.836,0.01
1,112,0.486,0.568,0.026
1,113,0.644,0.713,0.017
1,114,0.589,0.664,0.02
1,115,0.509,0.59,0.025
1,116,0.56,0.637,0.022
1,117,0.474,0.556,0.027
1,118,0.766,0.817,0.011
1,119,0.717,0.776,0.014
1,120,0.472,0.554,0.028
1,121,0.501,0.582,0.026
1,122,0.665,0.732,0.017
1,123,0.849,0.884,0.007
1,124,0.716,0.775,0.014
1,125,0.65,0.718,0.018
1,126,0.604,0.677,0.02
1,127,0.574,0.65,0.022
1,128,0.684,0.748,0.016
1,129,0.672,0.737,0.016
1,130,0.745,0.8,0.013
1,131,0.732,0.789,0.013
1,132,0.655,0.722,0.017
1,133,0.776,0.825,0.011
1,134,0.811,0.854,0.009
1,135,0.647,0.716,0.018
1,136,0.687,0.751,0.016
1,137,0.746,0.8,0.013
1,138,0.668,0.734,0.017
1,139,0.664,0.73,0.017
1,140,0.642,0.711,0.019
1,141,0.603,0.677,0.021
1,142,0.633,0.703,0.019
1,143,0.5,0.581,0.027
1,144,0.638,0.708,0.019
1,145,0.751,0.805,0.013
1,146,0.683,0.747,0.016
1,147,0.755,0.808,0.013
1,148,0.534,0.613,0.025
1,149,0.608,0.681,0.021
1,150,0.772,0.822,0.012
1,151,0.74,0.796,0.013
1,152,0.529,0.609,0.026
1,153,0.504,0.585,0.027
1,154,0.716,0.776,0.015
1,155,0.628,0.699,0.02
1,156,0.478,0.56,0.029
1,157,0.509,0.59,0.027
1,158,0.412,0.495,0.034
1,159,0.276,0.354,0.045
1,160,0.346,0.428,0.039
1,161,0.226,0.299,0.051
1,162,0.275,0.353,0.046
1,163,0.245,0.32,0.049
1,164,0.197,0.266,0.055
1,165,0.203,0.273,0.054
1,166,0.178,0.243,0.058
1,167,0.343,0.425,0.041
1,168,0.38,0.463,0.038
1,169,0.295,0.374,0.045
1,170,0.279,0.357,0.047
1,171,0.231,0.304,0.052
1,172,0.362,0.445,0.04
1,173,0.361,0.444,0.04
1,174,0.354,0.436,0.041
1,175,0.393,0.476,0.038
1,176,0.339,0.42,0.043
1,177,0.35,0.432,0.042
1,178,0.442,0.525,0.035
1,179,0.435,0.518,0.035
1,180,0.398,0.481,0.039
1,181,0.576,0.652,0.026
1,182,0.384,0.467,0.04
1,183,0.397,0.48,0.039
1,184,0.369,0.452,0.042
1,185,0.432,0.516,0.037
1,186,0.275,0.353,0.051
1,187,0.362,0.444,0.043
1,188,0.232,0.306,0.057
1,189,0.308,0.388,0.049
1,190,0.317,0.397,0.048
1,191,0.462,0.545,0.036
1,192,0.306,0.386,0.05
1,193,0.405,0.488,0.041
1,194,0.404,0.488,0.041
1,195,0.512,0.593,0.032
1,196,0.546,0.624,0.03
1,197,0.444,0.527,0.038
1,198,0.374,0.457,0.044
1,199,0.34,0.422,0.048
1,200,0.331,0.412,0.049
1,201,0.351,0.433,0.047
1,202,0.288,0.367,0.054
1,203,0.276,0.354,0.056
1,204,0.163,0.226,0.072
1,205,0.264,0.341,0.058
1,206,0.236,0.31,0.061
1,207,0.231,0.304,0.062
1,208,0.257,0.333,0.059
1,209,0.156,0.218,0.074
1,210,0.179,0.245,0.07
1,211,0.155,0.217,0.075
1,212,0.174,0.239,0.072
1,213,0.131,0.188,0.08
1,214,0.156,0.218,0.075
1,215,0.134,0.191,0.08
