slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.012,-0.105
1,101,0.006,0.014,-0.103
1,102,0.006,0.013,-0.104
1,103,0.008,0.018,-0.1
1,104,0.015,0.029,-0.093
1,105,0.01,0.021,-0.098
1,106,0.021,0.04,-0.088
1,107,0.006,0.014,-0.105
1,108,0.009,0.018,-0.101
1,109,0.011,0.023,-0.098
1,110,0.026,0.048,-0.086
1,111,0.032,0.056,-0.083
1,112,0.025,0.046,-0.087
1,113,0.026,0.047,-0.087
1,114,0.011,0.023,-0.099
1,115,0.023,0.042,-0.089
1,116,0.032,0.056,-0.084
1,117,0.033,0.057,-0.084
1,118,0.017,0.033,-0.094
1,119,0.02,0.038,-0.092
1,120,0.047,0.078,-0.079
1,121,0.07,0.11,-0.072
1,122,0.059,0.095,-0.075
1,123,0.041,0.069,-0.082
1,124,0.037,0.064,-0.083
1,125,0.019,0.036,-0.094
1,126,0.024,0.044,-0.091
1,127,0.03,0.053,-0.087
1,128,0.018,0.035,-0.095
1,129,0.02,0.037,-0.094
1,130,0.023,0.042,-0.092
1,131,0.023,0.042,-0.092
1,132,0.034,0.059,-0.086
1,133,0.019,0.037,-0.095
1,134,0.015,0.03,-0.098
1,135,0.022,0.04,-0.094
1,136,0.016,0.03,-0.098
1,137,0.018,0.035,-0.096
1,138,0.029,0.051,-0.09
1,139,0.029,0.052,-0.09
1,140,0.016,0.031,-0.099
1,141,0.019,0.036,-0.097
1,142,0.023,0.042,-0.094
1,143,0.043,0.073,-0.084
1,144,0.034,0.059,-0.088
1,145,0.02,0.037,-0.097
1,146,0.06,0.097,-0.078
1,147,0.078,0.121,-0.074
1,148,0.053,0.086,-0.081
1,149,0.046,0.076,-0.084
1,150,0.053,0.087,-0.081
1,151,0.055,0.089,-0.081
1,152,0.026,0.047,-0.094
1,153,0.031,0.054,-0.092
1,154,0.03,0.053,-0.092
1,155,0.025,0.046,-0.096
1,156,0.024,0.043,-0.097
1,157,0.034,0.06,-0.091
1,158,0.029,0.051,-0.094
1,159,0.02,0.037,-0.101
1,160,0.019,0.036,-0.101
1,161,0.026,0.047,-0.097
1,162,0.017,0.032,-0.104
1,163,0.027,0.048,-0.097
1,164,0.02,0.037,-0.102
1,165,0.027,0.049,-0.097
1,166,0.04,0.067,-0.091
1,167,0.033,0.057,-0.095
1,168,0.046,0.077,-0.089
1,169,0.036,0.062,-0.094
1,170,0.035,0.061,-0.095
1,171,0.044,0.074,-0.091
1,172,0.017,0.033,-0.108
1,173,0.03,0.053,-0.099
1,174,0.034,0.059,-0.097
1,175,0.023,0.042,-0.105
1,176,0.023,0.042,-0.105
1,177,0.013,0.027,-0.115
1,178,0.009,0.019,-0.122
1,179,0.017,0.033,-0.112
1,180,0.019,0.036,-0.111
1,181,0.01,0.02,-0.123
