slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.012,0.025,-0.092
1,101,0.006,0.013,-0.101
1,102,0.002,0.005,-0.115
1,103,0.005,0.012,-0.104
1,104,0.004,0.01,-0.106
1,105,0.005,0.011,-0.105
1,106,0.012,0.024,-0.094
1,107,0.003,0.008,-0.111
1,108,0.004,0.01,-0.107
1,109,0.003,0.007,-0.113
1,110,0.007,0.015,-0.102
1,111,0.01,0.021,-0.097
1,112,0.005,0.012,-0.105
1,113,0.005,0.012,-0.106
1,114,0.003,0.007,-0.115
1,115,0.003,0.007,-0.114
1,116,0.004,0.01,-0.109
1,117,0.004,0.01,-0.111
1,118,0.003,0.008,-0.113
1,119,0.003,0.007,-0.115
1,120,0.002,0.006,-0.118
1,121,0.004,0.01,-0.111
1,122,0.009,0.02,-0.101
1,123,0.009,0.019,-0.101
1,124,0.003,0.007,-0.116
1,125,0.002,0.006,-0.119
1,126,0.005,0.012,-0.11
1,127,0.003,0.008,-0.115
1,128,0.001,0.003,-0.128
1,129,0.001,0.003,-0.128
1,130,0.002,0.004,-0.124
1,131,0.002,0.005,-0.123
1,132,0.002,0.006,-0.12
1,133,0.001,0.002,-0.133
1,134,0.001,0.002,-0.133
1,135,0.001,0.002,-0.134
1,136,0.0,0.002,-0.139
1,137,0.001,0.003,-0.133
1,138,0.002,0.006,-0.122
1,139,0.001,0.003,-0.13
1,140,0.001,0.002,-0.136
1,141,0.001,0.002,-0.139
1,142,0.0,0.002,-0.141
1,143,0.001,0.003,-0.131
1,144,0.001,0.003,-0.132
1,145,0.001,0.002,-0.14
1,146,0.001,0.002,-0.139
1,147,0.001,0.003,-0.132
1,148,0.001,0.003,-0.132
1,149,0.001,0.004,-0.13
1,150,0.002,0.006,-0.126
1,151,0.001,0.003,-0.135
1,152,0.0,0.001,-0.152
1,153,0.0,0.001,-0.148
1,154,0.0,0.001,-0.149
1,155,0.0,0.001,-0.153
1,156,0.0,0.001,-0.148
1,157,0.001,0.002,-0.144
1,158,0.001,0.002,-0.145
1,159,0.0,0.0,-0.161
1,160,0.0,0.001,-0.159
1,161,0.0,0.001,-0.156
1,162,0.0,0.001,-0.158
1,163,0.0,0.001,-0.151
1,164,0.0,0.001,-0.159
1,165,0.001,0.002,-0.146
