slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.046,0.076,0.074
1,101,0.011,0.023,0.094
1,102,0.008,0.016,0.1
1,103,0.014,0.027,0.093
1,104,0.011,0.022,0.096
1,105,0.013,0.027,0.093
1,106,0.011,0.022,0.096
1,107,0.017,0.032,0.091
1,108,0.02,0.037,0.089
1,109,0.007,0.016,0.102
1,110,0.01,0.02,0.099
1,111,0.015,0.029,0.094
1,112,0.005,0.012,0.107
1,113,0.004,0.009,0.111
1,114,0.004,0.01,0.11
1,115,0.002,0.006,0.117
1,116,0.002,0.005,0.12
1,117,0.003,0.008,0.115
1,118,0.004,0.009,0.112
1,119,0.003,0.008,0.115
1,120,0.002,0.004,0.124
1,121,0.002,0.006,0.12
1,122,0.003,0.008,0.115
1,123,0.004,0.008,0.115
1,124,0.003,0.007,0.118
1,125,0.005,0.012,0.11
1,126,0.002,0.006,0.121
1,127,0.002,0.004,0.126
1,128,0.001,0.002,0.133
1,129,0.001,0.004,0.127
1,130,0.001,0.004,0.127
1,131,0.001,0.002,0.133
1,132,0.0,0.001,0.14
1,133,0.001,0.002,0.138
1,134,0.002,0.004,0.128
1,135,0.0,0.001,0.147
1,136,0.0,0.001,0.145
1,137,0.001,0.003,0.131
1,138,0.001,0.003,0.131
1,139,0.001,0.002,0.139
1,140,0.001,0.002,0.139
1,141,0.001,0.003,0.133
1,142,0.0,0.001,0.143
1,143,0.001,0.002,0.14
1,144,0.001,0.003,0.134
1,145,0.001,0.002,0.14
1,146,0.0,0.001,0.149
1,147,0.0,0.001,0.147
1,148,0.0,0.001,0.153
1,149,0.0,0.001,0.149
1,150,0.0,0.001,0.148
1,151,0.0,0.001,0.15
1,152,0.0,0.001,0.152
1,153,0.001,0.002,0.144
1,154,0.0,0.001,0.151
1,155,0.0,0.001,0.152
1,156,0.001,0.002,0.141
1,157,0.001,0.002,0.145
1,158,0.001,0.003,0.139
1,159,0.001,0.002,0.148
1,160,0.001,0.002,0.144
1,161,0.001,0.002,0.143
1,162,0.001,0.003,0.142
1,163,0.001,0.003,0.144
1,164,0.001,0.003,0.141
1,165,0.001,0.004,0.138
1,166,0.001,0.002,0.15
1,167,0.001,0.004,0.141
1,168,0.002,0.004,0.139
1,169,0.004,0.009,0.128
1,170,0.001,0.003,0.144
1,171,0.001,0.003,0.149
1,172,0.002,0.004,0.142
1,173,0.003,0.007,0.135
1,174,0.004,0.01,0.129
1,175,0.006,0.013,0.125
1,176,0.004,0.009,0.133
1,177,0.003,0.007,0.137
1,178,0.006,0.013,0.128
1,179,0.005,0.011,0.131
1,180,0.007,0.015,0.126
1,181,0.008,0.017,0.125
1,182,0.006,0.013,0.13
1,183,0.008,0.017,0.125
1,184,0.006,0.014,0.13
1,185,0.007,0.015,0.129
1,186,0.008,0.017,0.128
1,187,0.015,0.029,0.118
1,188,0.006,0.013,0.134
1,189,0.008,0.017,0.13
1,190,0.009,0.019,0.128
1,191,0.019,0.036,0.116
1,192,0.009,0.019,0.129
1,193,0.012,0.024,0.125
1,194,0.014,0.028,0.123
1,195,0.01,0.021,0.129
1,196,0.009,0.018,0.133
1,197,0.008,0.017,0.135
1,198,0.007,0.015,0.139
1,199,0.008,0.018,0.136
1,200,0.005,0.012,0.144
1,201,0.005,0.011,0.147
1,202,0.002,0.006,0.158
1,203,0.003,0.008,0.154
1,204,0.002,0.006,0.16
1,205,0.002,0.005,0.166
1,206,0.002,0.005,0.164
1,207,0.002,0.005,0.166
1,208,0.002,0.006,0.164
1,209,0.001,0.002,0.18
1,210,0.002,0.005,0.165
1,211,0.001,0.003,0.175
1,212,0.001,0.003,0.176
1,213,0.0,0.001,0.191
1,214,0.001,0.002,0.182
1,215,0.001,0.004,0.174
1,216,0.001,0.003,0.178
1,217,0.001,0.003,0.181
1,218,0.001,0.003,0.18
1,219,0.003,0.007,0.165
1,220,0.002,0.005,0.171
1,221,0.004,0.01,0.159
1,222,0.003,0.008,0.165
1,223,0.004,0.009,0.162
1,224,0.007,0.016,0.152
1,39,0.011,0.022,0.084
1,40,0.022,0.041,0.075
1,41,0.033,0.057,0.07
1,42,0.019,0.035,0.077
1,43,0.015,0.029,0.081
1,44,0.01,0.021,0.084
1,45,0.004,0.01,0.094
1,46,0.008,0.018,0.087
1,47,0.029,0.052,0.072
1,48,0.015,0.029,0.081
1,49,0.016,0.03,0.08
1,50,0.025,0.046,0.074
1,51,0.02,0.037,0.078
1,52,0.007,0.015,0.09
1,53,0.021,0.038,0.077
1,54,0.016,0.031,0.08
1,55,0.011,0.022,0.086
1,56,0.008,0.017,0.089
1,57,0.007,0.016,0.09
1,58,0.007,0.016,0.09
1,59,0.014,0.028,0.083
1,60,0.015,0.029,0.083
1,61,0.006,0.014,0.093
1,62,0.026,0.047,0.076
1,63,0.029,0.052,0.074
1,64,0.017,0.032,0.081
1,65,0.041,0.07,0.07
1,66,0.032,0.055,0.074
1,67,0.078,0.12,0.061
1,68,0.049,0.081,0.068
1,69,0.048,0.08,0.068
1,70,0.051,0.083,0.068
1,71,0.062,0.099,0.065
1,72,0.051,0.084,0.068
1,73,0.056,0.09,0.067
1,74,0.037,0.064,0.073
1,75,0.029,0.051,0.077
1,76,0.027,0.048,0.078
1,77,0.052,0.085,0.069
1,78,0.012,0.024,0.089
1,79,0.041,0.069,0.072
1,80,0.027,0.049,0.079
1,81,0.024,0.043,0.081
1,82,0.022,0.041,0.082
1,83,0.012,0.024,0.09
1,84,0.01,0.02,0.093
1,85,0.004,0.01,0.103
1,86,0.005,0.011,0.103
1,87,0.009,0.019,0.094
1,88,0.018,0.034,0.086
1,89,0.012,0.024,0.092
1,90,0.018,0.035,0.086
1,91,0.029,0.052,0.08
1,92,0.012,0.023,0.093
1,93,0.012,0.024,0.093
1,94,0.018,0.034,0.087
1,95,0.025,0.045,0.083
1,96,0.022,0.041,0.085
1,97,0.017,0.032,0.088
1,98,0.042,0.07,0.076
1,99,0.015,0.028,0.091
10,10,0.077,0.12,0.058
10,100,0.001,0.003,0.12
10,101,0.001,0.004,0.119
10,102,0.008,0.016,0.1
10,103,0.002,0.004,0.119
10,104,0.003,0.007,0.113
10,105,0.003,0.008,0.111
10,106,0.003,0.007,0.113
10,107,0.005,0.011,0.106
10,108,0.009,0.018,0.1
10,109,0.01,0.02,0.099
10,11,0.056,0.09,0.062
10,110,0.003,0.007,0.114
10,111,0.003,0.007,0.114
10,112,0.004,0.008,0.112
10,113,0.007,0.014,0.104
10,114,0.003,0.007,0.114
10,115,0.001,0.004,0.122
10,116,0.003,0.008,0.113
10,117,0.005,0.012,0.108
10,118,0.003,0.007,0.116
10,119,0.004,0.009,0.112
10,12,0.045,0.075,0.065
10,120,0.003,0.007,0.117
10,121,0.002,0.005,0.12
10,122,0.001,0.004,0.125
10,123,0.002,0.006,0.119
10,124,0.001,0.004,0.126
10,125,0.002,0.005,0.121
10,126,0.001,0.003,0.129
10,127,0.001,0.002,0.133
10,128,0.0,0.002,0.138
10,129,0.001,0.003,0.13
10,13,0.025,0.045,0.072
10,130,0.0,0.001,0.144
10,131,0.0,0.001,0.141
10,132,0.001,0.002,0.135
10,133,0.001,0.002,0.133
10,134,0.0,0.001,0.14
10,135,0.0,0.001,0.148
10,136,0.0,0.0,0.158
10,137,0.001,0.002,0.138
10,138,0.001,0.003,0.131
10,139,0.001,0.002,0.134
10,14,0.044,0.074,0.064
10,140,0.0,0.001,0.141
10,141,0.001,0.002,0.138
10,142,0.001,0.002,0.14
10,143,0.0,0.0,0.155
10,144,0.0,0.001,0.143
10,145,0.001,0.002,0.14
10,146,0.0,0.001,0.151
10,147,0.0,0.001,0.143
10,148,0.0,0.001,0.147
10,149,0.0,0.001,0.147
10,15,0.015,0.029,0.078
10,150,0.0,0.001,0.148
10,151,0.0,0.001,0.155
10,152,0.0,0.0,0.158
10,153,0.0,0.0,0.167
10,154,0.0,0.0,0.166
10,155,0.0,0.0,0.164
10,156,0.0,0.0,0.172
10,157,0.0,0.0,0.169
10,158,0.0,0.0,0.161
10,159,0.0,0.0,0.158
10,16,0.038,0.064,0.066
10,160,0.0,0.0,0.17
10,161,0.0,0.0,0.165
10,162,0.0,0.0,0.159
10,163,0.0,0.001,0.145
10,164,0.0,0.001,0.15
10,165,0.001,0.002,0.143
10,166,0.001,0.002,0.14
10,167,0.001,0.003,0.135
10,168,0.001,0.003,0.135
10,169,0.001,0.003,0.137
10,17,0.019,0.035,0.075
10,170,0.001,0.004,0.134
10,171,0.001,0.002,0.139
10,172,0.001,0.002,0.139
10,173,0.001,0.003,0.137
10,174,0.002,0.006,0.127
10,175,0.001,0.002,0.14
10,176,0.001,0.003,0.135
10,177,0.004,0.009,0.123
10,178,0.003,0.007,0.127
10,179,0.006,0.013,0.117
10,18,0.018,0.034,0.076
10,180,0.002,0.005,0.132
10,181,0.004,0.009,0.124
10,182,0.002,0.006,0.131
10,183,0.001,0.004,0.137
10,184,0.001,0.004,0.138
10,185,0.001,0.004,0.138
10,186,0.004,0.01,0.125
10,187,0.004,0.01,0.125
