slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.02,0.037,0.087
1,101,0.004,0.01,0.107
1,102,0.003,0.007,0.112
1,103,0.006,0.013,0.105
1,104,0.005,0.011,0.107
1,105,0.006,0.013,0.105
1,106,0.005,0.011,0.107
1,107,0.007,0.015,0.103
1,108,0.008,0.018,0.101
1,109,0.003,0.007,0.115
1,110,0.004,0.01,0.11
1,111,0.006,0.014,0.105
1,112,0.002,0.005,0.119
1,113,0.001,0.004,0.123
1,114,0.002,0.004,0.122
1,115,0.001,0.003,0.13
1,116,0.001,0.002,0.132
1,117,0.001,0.003,0.127
1,118,0.001,0.004,0.126
1,119,0.001,0.003,0.127
1,120,0.001,0.002,0.136
1,121,0.001,0.003,0.131
1,122,0.001,0.004,0.127
1,123,0.001,0.004,0.128
1,124,0.001,0.003,0.13
1,125,0.002,0.005,0.123
1,126,0.001,0.002,0.134
1,127,0.001,0.002,0.138
1,128,0.0,0.001,0.147
1,129,0.0,0.001,0.14
1,130,0.001,0.002,0.14
1,131,0.0,0.001,0.147
1,132,0.0,0.001,0.153
1,133,0.0,0.001,0.152
1,134,0.0,0.002,0.141
1,135,0.0,0.0,0.16
1,136,0.0,0.0,0.158
1,137,0.0,0.001,0.144
1,138,0.0,0.001,0.143
1,139,0.0,0.001,0.152
1,140,0.0,0.001,0.153
1,141,0.0,0.001,0.147
1,142,0.0,0.001,0.157
1,143,0.0,0.001,0.154
1,144,0.0,0.001,0.147
1,145,0.0,0.001,0.155
1,146,0.0,0.0,0.162
1,147,0.0,0.0,0.16
1,148,0.0,0.0,0.167
1,149,0.0,0.0,0.162
1,150,0.0,0.0,0.161
1,151,0.0,0.0,0.163
1,152,0.0,0.0,0.165
1,153,0.0,0.001,0.156
1,154,0.0,0.0,0.164
1,155,0.0,0.0,0.165
1,156,0.0,0.001,0.154
1,157,0.0,0.001,0.158
1,158,0.0,0.001,0.152
1,159,0.0,0.001,0.162
1,160,0.0,0.001,0.157
1,161,0.0,0.001,0.156
1,162,0.0,0.001,0.156
1,163,0.0,0.001,0.157
1,164,0.0,0.001,0.155
1,165,0.001,0.002,0.152
1,166,0.0,0.001,0.162
1,167,0.001,0.002,0.153
1,168,0.001,0.002,0.151
1,169,0.002,0.005,0.139
1,170,0.001,0.002,0.156
1,171,0.0,0.001,0.161
1,172,0.001,0.002,0.155
1,173,0.001,0.004,0.147
1,174,0.002,0.005,0.142
1,175,0.003,0.007,0.138
1,176,0.002,0.004,0.145
1,177,0.001,0.003,0.149
1,178,0.003,0.006,0.141
1,179,0.002,0.006,0.142
1,180,0.003,0.008,0.138
1,181,0.004,0.009,0.137
1,182,0.003,0.007,0.141
1,183,0.004,0.009,0.137
1,184,0.003,0.007,0.142
1,185,0.004,0.009,0.14
1,186,0.004,0.009,0.139
1,187,0.008,0.017,0.129
1,188,0.003,0.007,0.146
1,189,0.004,0.01,0.141
1,190,0.004,0.01,0.14
1,191,0.01,0.021,0.128
1,192,0.005,0.011,0.14
1,193,0.006,0.014,0.137
1,194,0.007,0.016,0.135
1,195,0.005,0.011,0.142
1,196,0.004,0.01,0.146
1,197,0.004,0.009,0.147
1,198,0.003,0.007,0.152
1,199,0.004,0.009,0.149
1,200,0.002,0.006,0.158
1,201,0.002,0.006,0.159
1,202,0.001,0.003,0.171
1,203,0.001,0.004,0.168
1,204,0.001,0.003,0.175
1,205,0.001,0.002,0.181
1,206,0.001,0.002,0.179
1,207,0.001,0.002,0.181
1,208,0.001,0.002,0.179
1,209,0.0,0.001,0.196
1,210,0.001,0.002,0.182
1,211,0.0,0.001,0.191
1,212,0.0,0.001,0.192
1,213,0.0,0.001,0.208
1,214,0.0,0.001,0.199
1,215,0.001,0.002,0.191
1,216,0.0,0.001,0.194
1,217,0.0,0.001,0.197
1,218,0.0,0.001,0.196
1,219,0.001,0.003,0.183
1,220,0.001,0.002,0.187
1,221,0.002,0.005,0.175
1,222,0.001,0.004,0.18
1,223,0.002,0.004,0.178
1,224,0.003,0.008,0.167
1,39,0.003,0.007,0.098
1,40,0.006,0.013,0.091
1,41,0.01,0.021,0.085
1,42,0.005,0.011,0.094
1,43,0.004,0.01,0.096
1,44,0.003,0.007,0.099
1,45,0.001,0.003,0.108
1,46,0.002,0.005,0.102
1,47,0.009,0.018,0.087
1,48,0.004,0.01,0.095
1,49,0.004,0.009,0.096
1,50,0.008,0.017,0.088
1,51,0.006,0.014,0.092
1,52,0.002,0.005,0.104
1,53,0.006,0.014,0.091
1,54,0.006,0.013,0.093
1,55,0.003,0.008,0.099
1,56,0.002,0.006,0.103
1,57,0.002,0.005,0.105
1,58,0.002,0.006,0.103
1,59,0.004,0.009,0.098
1,60,0.004,0.01,0.097
1,61,0.001,0.004,0.109
1,62,0.008,0.018,0.09
1,63,0.009,0.02,0.089
1,64,0.006,0.013,0.095
1,65,0.015,0.029,0.084
1,66,0.01,0.021,0.089
1,67,0.025,0.046,0.077
1,68,0.016,0.032,0.083
1,69,0.018,0.034,0.082
1,70,0.017,0.033,0.083
1,71,0.023,0.043,0.079
1,72,0.02,0.038,0.081
1,73,0.02,0.037,0.082
1,74,0.013,0.027,0.087
1,75,0.01,0.02,0.091
1,76,0.01,0.02,0.092
1,77,0.023,0.042,0.081
1,78,0.005,0.011,0.101
1,79,0.016,0.03,0.086
1,80,0.01,0.021,0.092
1,81,0.01,0.02,0.093
1,82,0.009,0.019,0.094
1,83,0.004,0.01,0.103
1,84,0.003,0.007,0.107
1,85,0.002,0.004,0.115
1,86,0.001,0.004,0.116
1,87,0.003,0.007,0.108
1,88,0.007,0.014,0.099
1,89,0.004,0.01,0.105
1,90,0.006,0.014,0.1
1,91,0.011,0.022,0.094
1,92,0.004,0.01,0.106
1,93,0.004,0.009,0.107
1,94,0.007,0.015,0.1
1,95,0.009,0.02,0.096
1,96,0.009,0.018,0.098
1,97,0.007,0.014,0.101
1,98,0.018,0.034,0.088
1,99,0.006,0.013,0.103
10,10,0.027,0.048,0.073
10,100,0.0,0.001,0.133
10,101,0.0,0.001,0.132
10,102,0.003,0.006,0.114
10,103,0.0,0.001,0.132
10,104,0.001,0.003,0.126
10,105,0.001,0.003,0.125
10,106,0.001,0.002,0.128
10,107,0.002,0.004,0.12
10,108,0.003,0.007,0.113
10,109,0.003,0.008,0.112
10,11,0.018,0.034,0.078
10,110,0.001,0.002,0.129
10,111,0.001,0.002,0.129
10,112,0.001,0.003,0.127
10,113,0.002,0.005,0.119
10,114,0.001,0.003,0.128
10,115,0.0,0.001,0.137
10,116,0.001,0.003,0.127
10,117,0.002,0.004,0.123
10,118,0.001,0.002,0.13
10,119,0.001,0.003,0.126
10,12,0.013,0.025,0.081
10,120,0.001,0.003,0.13
10,121,0.001,0.002,0.135
10,122,0.0,0.001,0.14
10,123,0.001,0.002,0.134
10,124,0.0,0.001,0.141
10,125,0.001,0.002,0.136
10,126,0.0,0.001,0.144
10,127,0.0,0.001,0.147
10,128,0.0,0.0,0.154
10,129,0.0,0.001,0.145
10,13,0.007,0.015,0.087
10,130,0.0,0.0,0.158
10,131,0.0,0.0,0.156
10,132,0.0,0.001,0.15
10,133,0.0,0.001,0.15
10,134,0.0,0.0,0.156
10,135,0.0,0.0,0.164
10,136,0.0,0.0,0.174
10,137,0.0,0.001,0.153
10,138,0.0,0.001,0.147
10,139,0.0,0.001,0.15
10,14,0.012,0.024,0.081
10,140,0.0,0.0,0.157
10,141,0.0,0.001,0.153
10,142,0.0,0.001,0.154
10,143,0.0,0.0,0.169
10,144,0.0,0.0,0.158
10,145,0.0,0.001,0.155
10,146,0.0,0.0,0.165
10,147,0.0,0.0,0.158
10,148,0.0,0.0,0.162
10,149,0.0,0.0,0.162
10,15,0.004,0.009,0.093
10,150,0.0,0.0,0.163
10,151,0.0,0.0,0.17
10,152,0.0,0.0,0.172
10,153,0.0,0.0,0.181
10,154,0.0,0.0,0.181
10,155,0.0,0.0,0.178
10,156,0.0,0.0,0.186
10,157,0.0,0.0,0.182
