slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.248,0.323,0.043
1,101,0.091,0.137,0.062
1,102,0.066,0.104,0.068
1,103,0.097,0.145,0.062
1,104,0.07,0.11,0.068
1,105,0.085,0.13,0.064
1,106,0.071,0.111,0.068
1,107,0.108,0.159,0.061
1,108,0.125,0.181,0.058
1,109,0.066,0.104,0.069
1,110,0.068,0.107,0.069
1,111,0.096,0.144,0.063
1,112,0.044,0.074,0.076
1,113,0.035,0.06,0.081
1,114,0.043,0.072,0.077
1,115,0.027,0.049,0.085
1,116,0.021,0.039,0.089
1,117,0.031,0.055,0.083
1,118,0.042,0.071,0.079
1,119,0.036,0.061,0.081
1,120,0.015,0.03,0.094
1,121,0.022,0.041,0.089
1,122,0.029,0.051,0.085
1,123,0.035,0.06,0.083
1,124,0.027,0.049,0.087
1,125,0.048,0.079,0.078
1,126,0.028,0.05,0.087
1,127,0.018,0.034,0.093
1,128,0.014,0.028,0.097
1,129,0.019,0.036,0.093
1,130,0.017,0.033,0.094
1,131,0.013,0.026,0.098
1,132,0.008,0.017,0.105
1,133,0.01,0.021,0.102
1,134,0.021,0.038,0.092
1,135,0.005,0.012,0.111
1,136,0.006,0.013,0.11
1,137,0.015,0.03,0.097
1,138,0.014,0.028,0.099
1,139,0.009,0.018,0.106
1,140,0.011,0.022,0.102
1,141,0.016,0.031,0.097
1,142,0.008,0.018,0.107
1,143,0.01,0.021,0.105
1,144,0.015,0.029,0.099
1,145,0.012,0.023,0.103
1,146,0.005,0.011,0.116
1,147,0.005,0.012,0.114
1,148,0.004,0.01,0.117
1,149,0.006,0.013,0.114
1,150,0.006,0.013,0.113
1,151,0.005,0.012,0.115
1,152,0.005,0.01,0.117
1,153,0.009,0.018,0.109
1,154,0.006,0.014,0.113
1,155,0.006,0.013,0.115
1,156,0.011,0.023,0.106
1,157,0.009,0.018,0.11
1,158,0.012,0.025,0.105
1,159,0.009,0.018,0.111
1,160,0.011,0.023,0.107
1,161,0.011,0.023,0.108
1,162,0.014,0.027,0.105
1,163,0.011,0.023,0.109
1,164,0.014,0.028,0.105
1,165,0.017,0.032,0.103
1,166,0.007,0.015,0.117
1,167,0.014,0.027,0.107
1,168,0.014,0.027,0.107
1,169,0.026,0.048,0.097
1,170,0.012,0.023,0.111
1,171,0.008,0.017,0.117
1,172,0.017,0.032,0.107
1,173,0.02,0.038,0.104
1,174,0.032,0.056,0.097
1,175,0.042,0.071,0.092
1,176,0.027,0.049,0.1
1,177,0.024,0.044,0.103
1,178,0.039,0.066,0.095
1,179,0.031,0.055,0.099
1,180,0.042,0.071,0.094
1,181,0.048,0.079,0.092
1,182,0.033,0.057,0.099
1,183,0.046,0.076,0.094
1,184,0.038,0.064,0.098
1,185,0.037,0.063,0.099
1,186,0.039,0.067,0.098
1,187,0.063,0.1,0.089
1,188,0.034,0.059,0.102
1,189,0.042,0.071,0.098
1,190,0.049,0.081,0.096
1,191,0.088,0.133,0.084
1,192,0.044,0.073,0.099
1,193,0.059,0.094,0.094
1,194,0.071,0.112,0.09
1,195,0.056,0.09,0.096
1,196,0.048,0.079,0.099
1,197,0.043,0.073,0.102
1,198,0.043,0.072,0.103
1,199,0.048,0.08,0.101
1,200,0.038,0.065,0.106
1,201,0.027,0.049,0.113
1,202,0.018,0.034,0.122
1,203,0.026,0.047,0.115
1,204,0.022,0.04,0.12
1,205,0.016,0.032,0.126
1,206,0.017,0.033,0.125
1,207,0.016,0.031,0.127
1,208,0.02,0.038,0.122
1,209,0.01,0.02,0.137
1,210,0.022,0.04,0.122
1,211,0.013,0.026,0.132
1,212,0.012,0.024,0.134
1,213,0.007,0.015,0.145
1,214,0.011,0.022,0.137
1,215,0.016,0.032,0.13
1,216,0.012,0.025,0.136
