slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.681,0.746,0.015
1,101,0.383,0.466,0.032
1,102,0.294,0.374,0.039
1,103,0.35,0.432,0.035
1,104,0.269,0.346,0.041
1,105,0.317,0.398,0.037
1,106,0.293,0.372,0.039
1,107,0.393,0.476,0.032
1,108,0.447,0.529,0.029
1,109,0.311,0.391,0.038
1,110,0.293,0.372,0.04
1,111,0.362,0.445,0.034
1,112,0.223,0.295,0.046
1,113,0.177,0.243,0.051
1,114,0.221,0.293,0.047
1,115,0.162,0.225,0.054
1,116,0.118,0.172,0.06
1,117,0.182,0.249,0.051
1,118,0.217,0.289,0.048
1,119,0.192,0.26,0.05
1,120,0.094,0.141,0.065
1,121,0.122,0.177,0.06
1,122,0.143,0.202,0.057
1,123,0.175,0.24,0.053
1,124,0.142,0.202,0.057
1,125,0.216,0.288,0.048
1,126,0.148,0.209,0.057
1,127,0.109,0.16,0.063
1,128,0.1,0.149,0.065
1,129,0.117,0.17,0.062
1,130,0.102,0.152,0.064
1,131,0.089,0.134,0.067
1,132,0.063,0.1,0.073
1,133,0.082,0.125,0.069
1,134,0.141,0.199,0.058
1,135,0.054,0.088,0.077
1,136,0.056,0.091,0.076
1,137,0.107,0.158,0.064
1,138,0.097,0.145,0.067
1,139,0.074,0.115,0.072
1,140,0.092,0.139,0.068
1,141,0.126,0.182,0.061
1,142,0.077,0.119,0.071
1,143,0.095,0.142,0.068
1,144,0.12,0.174,0.063
1,145,0.104,0.154,0.066
1,146,0.047,0.077,0.081
1,147,0.052,0.085,0.08
1,148,0.055,0.089,0.079
1,149,0.058,0.093,0.078
1,150,0.063,0.1,0.076
1,151,0.059,0.095,0.078
1,152,0.05,0.083,0.081
1,153,0.076,0.117,0.074
1,154,0.07,0.11,0.075
1,155,0.06,0.097,0.078
1,156,0.094,0.141,0.07
1,157,0.082,0.125,0.073
1,158,0.103,0.152,0.068
1,159,0.084,0.128,0.073
1,160,0.096,0.144,0.07
