slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.05,0.082,-0.072
1,101,0.043,0.072,-0.075
1,102,0.074,0.115,-0.066
1,103,0.1,0.149,-0.061
1,104,0.098,0.146,-0.062
1,105,0.091,0.137,-0.063
1,106,0.076,0.117,-0.067
1,107,0.086,0.131,-0.065
1,108,0.046,0.076,-0.075
1,109,0.04,0.069,-0.078
1,110,0.07,0.11,-0.069
1,111,0.103,0.153,-0.062
1,112,0.101,0.15,-0.062
1,113,0.134,0.192,-0.057
1,114,0.109,0.16,-0.062
1,115,0.106,0.156,-0.062
1,116,0.118,0.172,-0.06
1,117,0.071,0.111,-0.07
1,118,0.096,0.143,-0.065
1,119,0.085,0.13,-0.067
1,120,0.16,0.223,-0.055
1,121,0.107,0.158,-0.063
1,122,0.124,0.18,-0.06
1,123,0.097,0.145,-0.065
1,124,0.153,0.214,-0.056
1,125,0.129,0.185,-0.06
1,126,0.084,0.128,-0.068
1,127,0.096,0.144,-0.066
1,128,0.042,0.071,-0.08
1,129,0.06,0.096,-0.074
1,130,0.082,0.126,-0.069
1,131,0.05,0.082,-0.077
1,132,0.06,0.096,-0.075
1,133,0.049,0.081,-0.078
1,134,0.043,0.072,-0.081
1,135,0.035,0.06,-0.084
1,136,0.047,0.078,-0.079
1,137,0.048,0.079,-0.079
1,138,0.066,0.105,-0.074
1,139,0.057,0.092,-0.077
1,140,0.046,0.076,-0.081
1,141,0.035,0.061,-0.085
1,142,0.034,0.059,-0.086
1,143,0.024,0.044,-0.092
1,144,0.038,0.065,-0.084
1,145,0.028,0.05,-0.09
1,146,0.047,0.078,-0.081
1,147,0.039,0.066,-0.085
1,148,0.013,0.026,-0.102
1,149,0.027,0.048,-0.091
1,150,0.019,0.036,-0.097
1,151,0.023,0.043,-0.094
1,152,0.053,0.086,-0.08
1,153,0.044,0.074,-0.084
1,154,0.013,0.026,-0.104
1,155,0.019,0.035,-0.099
1,156,0.028,0.05,-0.092
1,157,0.012,0.024,-0.105
1,158,0.028,0.05,-0.093
1,159,0.02,0.038,-0.098
1,160,0.025,0.046,-0.095
1,161,0.043,0.072,-0.086
1,162,0.03,0.053,-0.093
1,163,0.032,0.055,-0.092
1,164,0.043,0.072,-0.087
1,165,0.053,0.087,-0.084
1,166,0.094,0.141,-0.073
1,167,0.085,0.129,-0.075
1,168,0.116,0.169,-0.069
1,169,0.198,0.268,-0.057
1,170,0.135,0.192,-0.066
1,171,0.138,0.196,-0.066
1,172,0.098,0.146,-0.074
1,173,0.191,0.259,-0.059
1,174,0.127,0.183,-0.069
1,175,0.153,0.215,-0.065
1,176,0.19,0.258,-0.06
1,177,0.187,0.254,-0.06
1,178,0.235,0.309,-0.055
1,179,0.254,0.33,-0.053
1,180,0.217,0.288,-0.057
1,181,0.206,0.276,-0.059
1,182,0.232,0.306,-0.056
1,183,0.268,0.346,-0.052
1,184,0.231,0.305,-0.057
1,185,0.316,0.397,-0.048
1,186,0.273,0.35,-0.052
1,187,0.353,0.436,-0.045
1,188,0.193,0.262,-0.063
1,189,0.19,0.258,-0.064
1,190,0.159,0.222,-0.069
1,191,0.172,0.237,-0.067
1,192,0.232,0.305,-0.059
1,193,0.222,0.294,-0.061
1,194,0.164,0.228,-0.069
1,195,0.122,0.177,-0.077
1,196,0.111,0.162,-0.08
1,197,0.186,0.253,-0.067
1,198,0.129,0.186,-0.077
1,199,0.126,0.181,-0.078
1,200,0.093,0.14,-0.086
1,201,0.15,0.211,-0.074
1,202,0.169,0.234,-0.071
1,203,0.103,0.153,-0.085
1,204,0.092,0.139,-0.088
1,205,0.092,0.139,-0.088
1,206,0.072,0.113,-0.094
1,207,0.077,0.119,-0.093
1,208,0.084,0.129,-0.091
1,209,0.065,0.103,-0.098
1,210,0.059,0.095,-0.1
1,211,0.078,0.12,-0.094
1,212,0.079,0.122,-0.094
1,213,0.05,0.082,-0.106
1,214,0.038,0.065,-0.112
1,215,0.059,0.095,-0.102
1,216,0.055,0.089,-0.105
1,217,0.058,0.093,-0.104
1,218,0.045,0.076,-0.11
1,219,0.042,0.071,-0.112
1,220,0.081,0.125,-0.096
1,221,0.09,0.136,-0.094
1,222,0.062,0.099,-0.104
1,223,0.085,0.13,-0.096
1,224,0.079,0.122,-0.099
1,39,0.007,0.014,-0.089
1,40,0.005,0.01,-0.093
1,41,0.018,0.033,-0.077
1,42,0.003,0.008,-0.096
1,43,0.009,0.018,-0.086
1,44,0.007,0.015,-0.088
1,45,0.008,0.017,-0.087
1,46,0.002,0.006,-0.1
1,47,0.006,0.014,-0.09
1,48,0.008,0.017,-0.087
1,49,0.001,0.003,-0.106
1,50,0.011,0.022,-0.084
1,51,0.013,0.026,-0.082
1,52,0.007,0.015,-0.089
1,53,0.004,0.009,-0.096
1,54,0.018,0.034,-0.078
1,55,0.013,0.027,-0.082
1,56,0.003,0.007,-0.099
1,57,0.003,0.008,-0.098
1,58,0.019,0.035,-0.079
1,59,0.003,0.008,-0.098
1,60,0.009,0.019,-0.087
1,61,0.003,0.007,-0.101
1,62,0.006,0.014,-0.093
1,63,0.013,0.025,-0.084
1,64,0.016,0.031,-0.081
1,65,0.018,0.035,-0.08
1,66,0.005,0.011,-0.096
1,67,0.004,0.009,-0.099
1,68,0.011,0.023,-0.086
1,69,0.014,0.028,-0.084
1,70,0.004,0.01,-0.098
1,71,0.003,0.006,-0.104
1,72,0.01,0.021,-0.089
1,73,0.006,0.012,-0.096
1,74,0.005,0.011,-0.097
1,75,0.006,0.013,-0.097
1,76,0.008,0.017,-0.093
1,77,0.025,0.045,-0.079
1,78,0.013,0.026,-0.087
1,79,0.005,0.011,-0.099
1,80,0.009,0.018,-0.093
1,81,0.015,0.029,-0.086
1,82,0.013,0.026,-0.088
1,83,0.005,0.011,-0.1
1,84,0.004,0.009,-0.104
1,85,0.005,0.012,-0.1
1,86,0.003,0.008,-0.106
1,87,0.007,0.016,-0.096
1,88,0.008,0.018,-0.095
1,89,0.006,0.013,-0.1
1,90,0.004,0.009,-0.104
1,91,0.007,0.016,-0.097
1,92,0.018,0.033,-0.087
1,93,0.007,0.015,-0.099
1,94,0.018,0.035,-0.086
1,95,0.011,0.022,-0.093
1,96,0.034,0.058,-0.078
1,97,0.026,0.047,-0.082
1,98,0.028,0.051,-0.081
1,99,0.035,0.06,-0.078
10,10,0.001,0.003,-0.109
10,100,0.006,0.014,-0.101
10,101,0.007,0.016,-0.099
10,102,0.009,0.018,-0.098
10,103,0.006,0.012,-0.103
10,104,0.005,0.012,-0.104
10,105,0.002,0.005,-0.117
10,106,0.002,0.004,-0.118
10,107,0.005,0.012,-0.105
10,108,0.011,0.022,-0.096
10,109,0.011,0.022,-0.096
10,11,0.001,0.004,-0.104
10,110,0.007,0.014,-0.103
10,111,0.004,0.01,-0.108
10,112,0.004,0.009,-0.11
10,113,0.003,0.008,-0.111
10,114,0.004,0.009,-0.111
10,115,0.002,0.006,-0.117
10,116,0.005,0.011,-0.107
10,117,0.005,0.011,-0.109
10,118,0.008,0.018,-0.101
10,119,0.005,0.011,-0.108
10,12,0.0,0.001,-0.123
10,120,0.004,0.01,-0.11
10,121,0.003,0.008,-0.114
10,122,0.004,0.009,-0.112
10,123,0.003,0.006,-0.117
10,124,0.002,0.006,-0.118
10,125,0.001,0.004,-0.125
10,126,0.002,0.005,-0.12
10,127,0.003,0.007,-0.117
10,128,0.002,0.004,-0.123
10,129,0.002,0.004,-0.123
10,13,0.001,0.003,-0.104
10,130,0.002,0.006,-0.119
10,131,0.002,0.004,-0.124
10,132,0.002,0.005,-0.121
10,133,0.002,0.005,-0.121
10,134,0.004,0.01,-0.113
10,135,0.006,0.013,-0.109
10,136,0.008,0.017,-0.105
10,137,0.005,0.011,-0.111
10,138,0.005,0.011,-0.112
10,139,0.003,0.008,-0.117
10,14,0.0,0.0,-0.126
10,140,0.005,0.011,-0.113
10,141,0.008,0.018,-0.105
10,142,0.014,0.027,-0.099
10,143,0.014,0.027,-0.099
10,144,0.007,0.015,-0.108
10,145,0.008,0.016,-0.107
10,146,0.017,0.032,-0.096
10,147,0.01,0.021,-0.103
10,148,0.012,0.024,-0.101
10,149,0.012,0.024,-0.102
10,15,0.0,0.001,-0.118
10,150,0.006,0.013,-0.111
10,151,0.007,0.015,-0.11
10,152,0.011,0.023,-0.103
10,153,0.005,0.011,-0.114
10,154,0.005,0.011,-0.114
10,155,0.007,0.015,-0.109
10,156,0.005,0.011,-0.115
10,157,0.006,0.013,-0.112
10,158,0.013,0.025,-0.101
10,159,0.02,0.038,-0.094
10,16,0.001,0.002,-0.11
10,160,0.008,0.017,-0.108
10,161,0.017,0.032,-0.098
10,162,0.013,0.026,-0.101
10,163,0.013,0.026,-0.101
10,164,0.015,0.03,-0.099
10,165,0.023,0.043,-0.092
10,166,0.017,0.033,-0.098
10,167,0.029,0.051,-0.09
10,168,0.021,0.039,-0.095
10,169,0.033,0.057,-0.088
10,17,0.0,0.001,-0.113
10,170,0.054,0.088,-0.079
10,171,0.048,0.079,-0.082
10,172,0.041,0.07,-0.084
10,173,0.048,0.079,-0.082
10,174,0.06,0.096,-0.078
10,175,0.064,0.101,-0.077
10,176,0.038,0.065,-0.086
10,177,0.055,0.089,-0.08
10,178,0.049,0.081,-0.082
10,179,0.095,0.142,-0.07
10,18,0.0,0.0,-0.121
10,180,0.073,0.114,-0.076
10,181,0.086,0.131,-0.073
10,182,0.053,0.086,-0.082
10,183,0.061,0.098,-0.08
10,184,0.094,0.141,-0.072
10,185,0.049,0.081,-0.085
10,186,0.08,0.123,-0.076
10,187,0.065,0.103,-0.08
10,188,0.105,0.155,-0.071
10,189,0.119,0.173,-0.069
10,19,0.001,0.002,-0.109
10,190,0.068,0.107,-0.081
10,191,0.061,0.097,-0.083
10,192,0.053,0.086,-0.086
10,193,0.057,0.092,-0.086
10,194,0.075,0.116,-0.081
10,195,0.072,0.113,-0.082
10,196,0.105,0.155,-0.074
10,197,0.162,0.226,-0.064
10,198,0.136,0.194,-0.069
10,199,0.191,0.26,-0.061
10,20,0.001,0.003,-0.104
10,200,0.282,0.361,-0.05
10,201,0.145,0.205,-0.069
10,202,0.224,0.297,-0.058
10,203,0.301,0.381,-0.05
10,204,0.206,0.276,-0.061
10,205,0.185,0.252,-0.065
10,206,0.259,0.336,-0.055
10,207,0.329,0.41,-0.048
10,208,0.343,0.425,-0.047
10,209,0.36,0.443,-0.046
10,21,0.001,0.003,-0.103
10,210,0.504,0.584,-0.034
10,211,0.592,0.667,-0.027
10,212,0.38,0.463,-0.045
10,213,0.367,0.45,-0.047
10,214,0.407,0.49,-0.043
10,215,0.412,0.495,-0.043
10,216,0.516,0.596,-0.034
10,217,0.472,0.554,-0.038
10,218,0.543,0.621,-0.033
10,219,0.372,0.455,-0.048
10,22,0.001,0.003,-0.104
10,220,0.29,0.369,-0.058
10,221,0.306,0.386,-0.056
10,222,0.284,0.362,-0.059
10,223,0.261,0.338,-0.062
10,224,0.266,0.343,-0.062
10,225,0.375,0.458,-0.05
10,226,0.247,0.323,-0.065
10,227,0.222,0.294,-0.069
10,228,0.147,0.208,-0.083
10,229,0.198,0.267,-0.074
10,23,0.0,0.001,-0.115
10,230,0.199,0.269,-0.074
10,231,0.164,0.227,-0.081
10,232,0.215,0.286,-0.072
10,233,0.17,0.235,-0.08
10,234,0.193,0.262,-0.076
10,235,0.182,0.249,-0.079
10,236,0.147,0.207,-0.086
10,237,0.173,0.238,-0.081
10,238,0.209,0.28,-0.075
10,239,0.284,0.363,-0.064
10,24,0.002,0.005,-0.098
10,240,0.19,0.258,-0.079
10,241,0.281,0.359,-0.065
10,242,0.311,0.391,-0.061
10,243,0.235,0.309,-0.072
10,244,0.253,0.329,-0.07
10,245,0.264,0.341,-0.069
10,246,0.232,0.305,-0.074
10,247,0.27,0.348,-0.069
10,248,0.216,0.288,-0.077
10,249,0.162,0.225,-0.088
10,25,0.001,0.002,-0.108
10,250,0.211,0.282,-0.08
10,251,0.253,0.329,-0.073
10,26,0.001,0.003,-0.103
10,27,0.001,0.004,-0.101
10,28,0.001,0.002,-0.11
10,29,0.001,0.002,-0.11
10,30,0.002,0.004,-0.101
10,31,0.001,0.003,-0.104
10,32,0.0,0.002,-0.11
10,33,0.002,0.006,-0.097
10,34,0.001,0.003,-0.105
10,35,0.0,0.001,-0.114
10,36,0.0,0.002,-0.111
10,37,0.002,0.004,-0.101
10,38,0.0,0.001,-0.112
10,39,0.0,0.0,-0.129
10,40,0.0,0.0,-0.123
10,41,0.0,0.001,-0.117
10,42,0.0,0.0,-0.127
10,43,0.0,0.0,-0.129
10,44,0.0,0.0,-0.129
10,45,0.0,0.0,-0.126
10,46,0.0,0.001,-0.119
10,47,0.0,0.0,-0.124
10,48,0.0,0.0,-0.136
10,49,0.0,0.0,-0.131
10,50,0.0,0.0,-0.126
10,51,0.0,0.0,-0.128
10,52,0.0,0.001,-0.121
10,53,0.001,0.002,-0.112
10,54,0.0,0.0,-0.126
10,55,0.0,0.0,-0.133
10,56,0.001,0.002,-0.113
10,57,0.0,0.0,-0.13
10,58,0.0,0.0,-0.136
10,59,0.0,0.001,-0.126
10,60,0.0,0.0,-0.129
10,61,0.0,0.0,-0.128
10,62,0.0,0.0,-0.13
10,63,0.0,0.002,-0.116
10,64,0.001,0.002,-0.115
10,65,0.001,0.002,-0.113
10,66,0.001,0.002,-0.115
10,67,0.0,0.002,-0.117
10,68,0.0,0.001,-0.118
10,69,0.001,0.003,-0.111
10,7,0.005,0.011,-0.095
10,70,0.001,0.002,-0.114
10,71,0.002,0.004,-0.107
10,72,0.001,0.002,-0.119
10,73,0.002,0.005,-0.107
10,74,0.003,0.007,-0.103
10,75,0.002,0.006,-0.105
10,76,0.001,0.002,-0.116
10,77,0.006,0.013,-0.096
10,78,0.005,0.012,-0.098
10,79,0.001,0.003,-0.112
10,8,0.01,0.021,-0.085
10,80,0.003,0.007,-0.105
10,81,0.0,0.002,-0.123
10,82,0.003,0.008,-0.103
10,83,0.009,0.018,-0.093
10,84,0.004,0.009,-0.103
10,85,0.003,0.007,-0.107
10,86,0.006,0.014,-0.097
10,87,0.004,0.009,-0.104
10,88,0.004,0.009,-0.104
