slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.015,0.03,-0.089
1,101,0.023,0.042,-0.083
1,102,0.03,0.052,-0.08
1,103,0.036,0.062,-0.077
1,104,0.077,0.119,-0.065
1,105,0.057,0.092,-0.071
1,106,0.059,0.094,-0.07
1,107,0.032,0.056,-0.08
1,108,0.033,0.057,-0.08
1,109,0.032,0.056,-0.08
1,110,0.05,0.083,-0.074
1,111,0.036,0.062,-0.079
1,112,0.046,0.076,-0.075
1,113,0.058,0.094,-0.072
1,114,0.034,0.059,-0.081
1,115,0.049,0.081,-0.075
1,116,0.088,0.134,-0.065
1,117,0.053,0.087,-0.074
1,118,0.031,0.055,-0.083
1,119,0.04,0.068,-0.079
1,120,0.102,0.152,-0.063
1,121,0.1,0.149,-0.064
1,122,0.096,0.144,-0.064
1,123,0.061,0.098,-0.073
1,124,0.069,0.108,-0.071
1,125,0.043,0.073,-0.079
1,126,0.068,0.107,-0.071
1,127,0.089,0.135,-0.066
1,128,0.068,0.107,-0.072
1,129,0.069,0.108,-0.071
1,130,0.101,0.151,-0.064
1,131,0.094,0.141,-0.066
1,132,0.115,0.168,-0.062
1,133,0.074,0.115,-0.071
1,134,0.049,0.081,-0.078
1,135,0.099,0.148,-0.065
1,136,0.102,0.151,-0.065
1,137,0.083,0.127,-0.069
1,138,0.109,0.16,-0.064
1,139,0.097,0.145,-0.066
1,140,0.057,0.092,-0.076
1,141,0.051,0.084,-0.078
1,142,0.076,0.117,-0.071
1,143,0.073,0.114,-0.072
1,144,0.06,0.096,-0.076
1,145,0.05,0.082,-0.079
1,146,0.149,0.209,-0.059
1,147,0.157,0.219,-0.058
1,148,0.11,0.161,-0.065
1,149,0.119,0.173,-0.063
1,150,0.112,0.165,-0.065
1,151,0.122,0.177,-0.063
1,152,0.111,0.162,-0.065
1,153,0.1,0.149,-0.068
1,154,0.089,0.135,-0.07
1,155,0.107,0.158,-0.067
1,156,0.097,0.146,-0.069
1,157,0.13,0.187,-0.063
1,158,0.106,0.157,-0.067
1,159,0.09,0.137,-0.071
1,160,0.087,0.133,-0.072
1,161,0.087,0.132,-0.072
1,162,0.065,0.102,-0.078
1,163,0.086,0.131,-0.073
1,164,0.071,0.111,-0.077
1,165,0.088,0.134,-0.073
1,166,0.137,0.195,-0.064
1,167,0.095,0.143,-0.072
1,168,0.143,0.202,-0.063
1,169,0.122,0.177,-0.067
1,170,0.117,0.17,-0.069
1,171,0.125,0.18,-0.067
1,172,0.065,0.102,-0.082
1,173,0.087,0.133,-0.076
1,174,0.07,0.11,-0.081
1,175,0.063,0.1,-0.083
1,176,0.082,0.125,-0.078
1,177,0.057,0.091,-0.086
1,178,0.045,0.075,-0.091
1,179,0.08,0.123,-0.08
1,180,0.056,0.09,-0.088
1,181,0.049,0.08,-0.091
1,182,0.11,0.161,-0.074
1,183,0.071,0.111,-0.084
1,184,0.093,0.14,-0.079
1,185,0.117,0.171,-0.074
1,186,0.111,0.163,-0.075
1,187,0.081,0.125,-0.083
1,188,0.105,0.155,-0.078
1,189,0.102,0.152,-0.078
1,190,0.085,0.13,-0.083
1,191,0.055,0.089,-0.093
1,192,0.116,0.169,-0.077
1,193,0.09,0.136,-0.083
1,194,0.052,0.085,-0.096
1,195,0.058,0.094,-0.094
1,196,0.088,0.133,-0.085
1,197,0.086,0.13,-0.086
1,198,0.056,0.091,-0.096
1,199,0.077,0.119,-0.089
1,200,0.056,0.091,-0.097
1,201,0.124,0.179,-0.078
1,202,0.12,0.174,-0.08
1,203,0.098,0.146,-0.085
1,204,0.079,0.121,-0.091
1,205,0.12,0.174,-0.081
1,206,0.135,0.193,-0.078
1,207,0.143,0.203,-0.076
1,208,0.124,0.179,-0.081
1,209,0.139,0.197,-0.078
1,210,0.099,0.147,-0.087
1,211,0.144,0.203,-0.077
1,212,0.172,0.237,-0.072
1,213,0.158,0.221,-0.075
1,214,0.155,0.216,-0.076
1,215,0.146,0.206,-0.078
1,216,0.195,0.264,-0.07
1,217,0.199,0.269,-0.069
1,218,0.17,0.234,-0.075
1,219,0.127,0.183,-0.083
1,220,0.182,0.249,-0.073
1,221,0.131,0.188,-0.083
1,222,0.215,0.287,-0.068
1,223,0.17,0.235,-0.076
