slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.031,0.055,-0.081
1,101,0.046,0.077,-0.074
1,102,0.042,0.07,-0.076
1,103,0.052,0.085,-0.073
1,104,0.085,0.129,-0.065
1,105,0.069,0.109,-0.069
1,106,0.105,0.155,-0.062
1,107,0.049,0.08,-0.075
1,108,0.066,0.104,-0.07
1,109,0.103,0.152,-0.062
1,110,0.149,0.209,-0.055
1,111,0.147,0.207,-0.056
1,112,0.155,0.217,-0.055
1,113,0.181,0.247,-0.052
1,114,0.102,0.152,-0.063
1,115,0.145,0.205,-0.057
1,116,0.171,0.236,-0.053
1,117,0.162,0.225,-0.055
1,118,0.114,0.167,-0.062
1,119,0.128,0.184,-0.06
1,120,0.223,0.296,-0.048
1,121,0.258,0.334,-0.045
1,122,0.239,0.314,-0.046
1,123,0.193,0.262,-0.052
1,124,0.197,0.266,-0.051
1,125,0.105,0.155,-0.064
1,126,0.133,0.19,-0.06
1,127,0.164,0.227,-0.056
1,128,0.144,0.203,-0.059
1,129,0.116,0.17,-0.063
1,130,0.142,0.201,-0.059
1,131,0.161,0.224,-0.056
1,132,0.207,0.278,-0.051
1,133,0.163,0.227,-0.056
1,134,0.125,0.181,-0.062
1,135,0.174,0.24,-0.055
1,136,0.165,0.229,-0.056
1,137,0.152,0.213,-0.058
1,138,0.198,0.267,-0.053
1,139,0.184,0.251,-0.054
1,140,0.145,0.204,-0.06
1,141,0.162,0.225,-0.057
1,142,0.205,0.276,-0.052
1,143,0.322,0.403,-0.041
1,144,0.261,0.337,-0.046
1,145,0.184,0.251,-0.055
1,146,0.348,0.431,-0.039
1,147,0.39,0.474,-0.036
1,148,0.272,0.35,-0.046
1,149,0.26,0.337,-0.047
1,150,0.307,0.387,-0.043
1,151,0.308,0.388,-0.043
1,152,0.226,0.298,-0.051
1,153,0.238,0.312,-0.05
1,154,0.217,0.289,-0.052
1,155,0.211,0.282,-0.053
1,156,0.189,0.257,-0.056
1,157,0.241,0.315,-0.05
1,158,0.202,0.272,-0.054
1,159,0.164,0.227,-0.06
1,160,0.14,0.199,-0.063
1,161,0.187,0.254,-0.057
1,162,0.149,0.21,-0.062
1,163,0.176,0.241,-0.059
1,164,0.168,0.232,-0.06
1,165,0.202,0.272,-0.056
1,166,0.293,0.373,-0.046
1,167,0.265,0.342,-0.049
1,168,0.319,0.4,-0.044
1,169,0.287,0.366,-0.047
1,170,0.25,0.326,-0.051
1,171,0.275,0.353,-0.049
1,172,0.152,0.214,-0.065
1,173,0.216,0.287,-0.056
1,174,0.227,0.3,-0.055
1,175,0.153,0.214,-0.066
1,176,0.181,0.248,-0.062
1,177,0.136,0.194,-0.069
1,178,0.106,0.157,-0.075
1,179,0.161,0.224,-0.065
1,180,0.162,0.225,-0.066
1,181,0.095,0.142,-0.079
1,182,0.134,0.192,-0.071
1,183,0.113,0.165,-0.075
1,184,0.131,0.188,-0.072
1,185,0.183,0.25,-0.064
1,186,0.195,0.263,-0.063
1,187,0.172,0.237,-0.067
1,188,0.274,0.352,-0.054
1,189,0.198,0.267,-0.063
1,190,0.201,0.27,-0.063
1,191,0.135,0.192,-0.074
1,192,0.274,0.351,-0.055
1,193,0.261,0.337,-0.056
1,194,0.245,0.32,-0.059
1,195,0.215,0.286,-0.063
1,196,0.258,0.334,-0.057
1,197,0.268,0.345,-0.057
1,198,0.229,0.302,-0.062
1,199,0.278,0.356,-0.056
1,200,0.223,0.295,-0.063
1,201,0.403,0.487,-0.043
1,202,0.376,0.459,-0.046
1,203,0.323,0.404,-0.052
1,204,0.357,0.439,-0.049
1,205,0.301,0.381,-0.055
1,206,0.423,0.506,-0.043
1,207,0.407,0.49,-0.044
1,208,0.301,0.381,-0.055
1,209,0.348,0.43,-0.05
1,210,0.321,0.402,-0.053
1,211,0.402,0.485,-0.045
1,212,0.4,0.483,-0.046
1,213,0.484,0.566,-0.038
1,214,0.433,0.516,-0.043
1,215,0.405,0.488,-0.046
1,216,0.562,0.639,-0.032
1,217,0.655,0.723,-0.025
1,218,0.515,0.595,-0.036
1,219,0.437,0.52,-0.043
1,220,0.638,0.708,-0.026
1,221,0.558,0.635,-0.033
1,222,0.737,0.793,-0.019
1,223,0.728,0.785,-0.02
1,224,0.777,0.826,-0.016
1,39,0.005,0.012,-0.092
1,40,0.002,0.005,-0.102
1,41,0.006,0.013,-0.091
1,42,0.001,0.003,-0.11
1,43,0.008,0.018,-0.088
1,44,0.009,0.018,-0.087
1,45,0.012,0.024,-0.083
1,46,0.005,0.012,-0.092
1,47,0.006,0.014,-0.091
1,48,0.009,0.019,-0.086
1,49,0.003,0.008,-0.099
1,50,0.008,0.016,-0.089
1,51,0.015,0.03,-0.081
1,52,0.009,0.02,-0.087
1,53,0.004,0.01,-0.096
1,54,0.018,0.034,-0.079
1,55,0.014,0.027,-0.083
1,56,0.011,0.022,-0.086
1,57,0.014,0.028,-0.083
1,58,0.022,0.041,-0.077
1,59,0.005,0.012,-0.095
1,60,0.006,0.014,-0.093
1,61,0.007,0.016,-0.092
1,62,0.004,0.009,-0.099
1,63,0.005,0.011,-0.096
1,64,0.009,0.019,-0.089
1,65,0.006,0.013,-0.095
1,66,0.004,0.009,-0.1
1,67,0.0,0.001,-0.122
1,68,0.002,0.004,-0.109
1,69,0.003,0.007,-0.103
1,70,0.003,0.008,-0.102
1,71,0.004,0.01,-0.1
1,72,0.008,0.016,-0.093
1,73,0.003,0.008,-0.102
1,74,0.005,0.012,-0.098
1,75,0.006,0.014,-0.097
1,76,0.008,0.017,-0.094
1,77,0.028,0.05,-0.078
1,78,0.059,0.094,-0.067
1,79,0.016,0.032,-0.085
1,80,0.034,0.059,-0.076
1,81,0.058,0.094,-0.068
1,82,0.034,0.059,-0.076
1,83,0.027,0.049,-0.079
1,84,0.023,0.042,-0.082
1,85,0.058,0.094,-0.069
1,86,0.057,0.091,-0.069
1,87,0.025,0.045,-0.082
1,88,0.013,0.027,-0.09
1,89,0.027,0.049,-0.081
1,90,0.018,0.034,-0.086
1,91,0.019,0.036,-0.086
1,92,0.036,0.061,-0.078
1,93,0.013,0.026,-0.091
1,94,0.035,0.061,-0.078
1,95,0.023,0.043,-0.084
1,96,0.01,0.021,-0.095
1,97,0.031,0.054,-0.08
1,98,0.039,0.067,-0.077
1,99,0.052,0.085,-0.073
10,10,0.002,0.006,-0.1
10,100,0.202,0.271,-0.048
10,101,0.179,0.245,-0.05
10,102,0.092,0.138,-0.063
10,103,0.134,0.191,-0.056
10,104,0.188,0.256,-0.05
10,105,0.083,0.127,-0.065
10,106,0.106,0.157,-0.061
10,107,0.189,0.256,-0.05
10,108,0.139,0.198,-0.056
10,109,0.136,0.194,-0.057
10,11,0.002,0.006,-0.1
10,110,0.119,0.173,-0.06
10,111,0.079,0.122,-0.067
10,112,0.117,0.171,-0.06
10,113,0.113,0.165,-0.061
10,114,0.147,0.208,-0.056
10,115,0.27,0.348,-0.043
10,116,0.217,0.289,-0.048
10,117,0.081,0.124,-0.068
10,118,0.147,0.207,-0.056
10,119,0.097,0.145,-0.064
10,12,0.003,0.007,-0.098
10,120,0.192,0.26,-0.051
10,121,0.096,0.144,-0.065
10,122,0.078,0.12,-0.069
10,123,0.074,0.115,-0.07
10,124,0.06,0.096,-0.074
10,125,0.056,0.091,-0.075
10,126,0.09,0.137,-0.067
10,127,0.112,0.164,-0.063
10,128,0.051,0.084,-0.077
10,129,0.086,0.131,-0.068
10,13,0.004,0.01,-0.092
10,130,0.097,0.145,-0.066
10,131,0.088,0.134,-0.068
10,132,0.08,0.123,-0.07
10,133,0.056,0.09,-0.076
10,134,0.055,0.089,-0.077
10,135,0.055,0.089,-0.077
10,136,0.075,0.116,-0.071
10,137,0.063,0.1,-0.074
10,138,0.076,0.117,-0.071
10,139,0.055,0.09,-0.077
10,14,0.001,0.004,-0.103
10,140,0.045,0.075,-0.081
10,141,0.096,0.143,-0.067
10,142,0.114,0.167,-0.064
10,143,0.129,0.185,-0.062
10,144,0.08,0.123,-0.071
10,145,0.056,0.091,-0.078
10,146,0.125,0.18,-0.063
10,147,0.071,0.11,-0.073
10,148,0.078,0.12,-0.072
10,149,0.077,0.119,-0.072
10,15,0.008,0.016,-0.086
10,150,0.079,0.122,-0.072
10,151,0.095,0.143,-0.068
10,152,0.11,0.162,-0.065
10,153,0.114,0.166,-0.065
10,154,0.17,0.234,-0.056
10,155,0.197,0.266,-0.053
10,156,0.204,0.274,-0.052
10,157,0.307,0.387,-0.042
10,158,0.276,0.354,-0.045
10,159,0.308,0.388,-0.042
10,16,0.002,0.006,-0.098
10,160,0.336,0.418,-0.04
10,161,0.554,0.632,-0.024
10,162,0.34,0.422,-0.039
10,163,0.245,0.32,-0.048
10,164,0.327,0.408,-0.041
10,165,0.198,0.267,-0.053
10,166,0.342,0.424,-0.039
10,167,0.5,0.581,-0.028
10,168,0.321,0.402,-0.041
10,169,0.321,0.402,-0.041
10,17,0.008,0.016,-0.086
10,170,0.38,0.463,-0.037
10,171,0.545,0.623,-0.025
10,172,0.438,0.521,-0.032
10,173,0.411,0.494,-0.034
10,174,0.323,0.404,-0.041
10,175,0.331,0.413,-0.041
10,176,0.443,0.526,-0.032
10,177,0.29,0.369,-0.045
10,178,0.349,0.431,-0.04
10,179,0.317,0.398,-0.042
10,18,0.009,0.019,-0.083
10,180,0.343,0.425,-0.04
10,181,0.342,0.424,-0.041
10,182,0.437,0.52,-0.034
10,183,0.397,0.481,-0.037
10,184,0.358,0.441,-0.04
10,185,0.302,0.382,-0.045
10,186,0.286,0.365,-0.047
10,187,0.272,0.35,-0.048
10,188,0.31,0.39,-0.045
10,189,0.25,0.325,-0.051
10,19,0.01,0.021,-0.083
10,190,0.177,0.242,-0.06
10,191,0.219,0.291,-0.055
10,192,0.254,0.329,-0.051
10,193,0.257,0.333,-0.052
10,194,0.223,0.296,-0.056
10,195,0.4,0.483,-0.039
10,196,0.298,0.378,-0.048
10,197,0.268,0.345,-0.052
10,198,0.178,0.244,-0.063
10,199,0.269,0.347,-0.052
10,20,0.001,0.004,-0.102
10,200,0.28,0.359,-0.051
10,201,0.2,0.27,-0.061
10,202,0.308,0.389,-0.049
10,203,0.42,0.503,-0.039
10,204,0.451,0.534,-0.037
10,205,0.432,0.515,-0.039
10,206,0.554,0.632,-0.029
10,207,0.574,0.651,-0.028
10,208,0.606,0.679,-0.026
10,209,0.62,0.692,-0.025
10,21,0.008,0.017,-0.085
10,210,0.7,0.762,-0.02
10,211,0.648,0.716,-0.024
10,212,0.612,0.685,-0.026
10,213,0.753,0.806,-0.016
10,214,0.771,0.821,-0.015
10,215,0.584,0.659,-0.029
10,216,0.636,0.705,-0.025
10,217,0.7,0.762,-0.021
10,218,0.852,0.887,-0.01
10,219,0.639,0.708,-0.026
10,22,0.011,0.023,-0.081
10,220,0.641,0.711,-0.026
10,221,0.663,0.73,-0.024
10,222,0.651,0.719,-0.025
10,223,0.522,0.602,-0.036
10,224,0.523,0.603,-0.036
10,225,0.493,0.575,-0.039
10,226,0.544,0.623,-0.035
10,227,0.385,0.469,-0.05
10,228,0.349,0.432,-0.054
10,229,0.358,0.44,-0.053
10,23,0.002,0.006,-0.097
10,230,0.354,0.437,-0.054
10,231,0.397,0.48,-0.05
10,232,0.287,0.366,-0.063
10,233,0.368,0.451,-0.053
10,234,0.347,0.429,-0.056
10,235,0.52,0.6,-0.038
10,236,0.402,0.485,-0.05
10,237,0.315,0.395,-0.06
10,238,0.647,0.716,-0.028
10,239,0.491,0.572,-0.042
10,24,0.005,0.011,-0.09
10,240,0.571,0.647,-0.034
10,241,0.682,0.746,-0.025
10,242,0.641,0.71,-0.029
10,243,0.607,0.68,-0.032
10,244,0.635,0.705,-0.029
10,245,0.575,0.651,-0.035
10,246,0.571,0.647,-0.035
10,247,0.651,0.719,-0.028
10,248,0.601,0.674,-0.033
10,249,0.598,0.672,-0.034
10,25,0.005,0.012,-0.089
10,250,0.726,0.784,-0.023
10,251,0.658,0.725,-0.029
10,26,0.009,0.018,-0.084
10,27,0.008,0.016,-0.085
10,28,0.002,0.006,-0.098
10,29,0.005,0.011,-0.09
10,30,0.008,0.018,-0.085
10,31,0.005,0.012,-0.089
10,32,0.006,0.013,-0.088
10,33,0.003,0.007,-0.096
10,34,0.006,0.014,-0.088
10,35,0.004,0.01,-0.092
10,36,0.003,0.007,-0.095
10,37,0.005,0.011,-0.091
10,38,0.004,0.01,-0.093
10,39,0.0,0.001,-0.12
10,40,0.002,0.004,-0.102
10,41,0.006,0.014,-0.088
10,42,0.0,0.001,-0.12
10,43,0.0,0.002,-0.113
10,44,0.001,0.002,-0.11
10,45,0.002,0.005,-0.101
10,46,0.0,0.001,-0.118
10,47,0.001,0.002,-0.11
10,48,0.001,0.002,-0.114
10,49,0.001,0.002,-0.113
10,50,0.001,0.004,-0.106
10,51,0.001,0.004,-0.105
10,52,0.001,0.002,-0.113
10,53,0.002,0.006,-0.1
10,54,0.005,0.012,-0.092
10,55,0.003,0.006,-0.1
10,56,0.004,0.01,-0.095
10,57,0.002,0.005,-0.103
10,58,0.001,0.002,-0.114
10,59,0.003,0.008,-0.098
10,60,0.006,0.013,-0.092
10,61,0.003,0.008,-0.099
10,62,0.006,0.014,-0.092
10,63,0.019,0.036,-0.079
10,64,0.016,0.031,-0.082
10,65,0.015,0.03,-0.082
10,66,0.023,0.042,-0.077
10,67,0.038,0.065,-0.071
10,68,0.021,0.04,-0.079
10,69,0.036,0.062,-0.072
10,7,0.003,0.007,-0.101
10,70,0.022,0.04,-0.079
10,71,0.058,0.093,-0.065
10,72,0.047,0.078,-0.069
10,73,0.063,0.1,-0.065
10,74,0.041,0.07,-0.071
10,75,0.058,0.093,-0.066
10,76,0.021,0.04,-0.08
10,77,0.036,0.062,-0.074
10,78,0.035,0.06,-0.074
10,79,0.056,0.09,-0.067
10,8,0.004,0.01,-0.096
10,80,0.022,0.041,-0.081
10,81,0.024,0.043,-0.08
10,82,0.03,0.052,-0.078
10,83,0.037,0.064,-0.075
10,84,0.077,0.119,-0.063
10,85,0.054,0.087,-0.069
10,86,0.051,0.084,-0.07
10,87,0.051,0.083,-0.071
10,88,0.032,0.056,-0.078
10,89,0.051,0.083,-0.071
10,9,0.003,0.008,-0.098
10,90,0.071,0.111,-0.066
10,91,0.086,0.13,-0.063
10,92,0.094,0.141,-0.062
10,93,0.089,0.134,-0.063
10,94,0.078,0.12,-0.065
10,95,0.134,0.191,-0.055
10,96,0.097,0.145,-0.062
10,97,0.11,0.162,-0.059
10,98,0.126,0.182,-0.057
10,99,0.058,0.094,-0.071
100,10,0.035,0.061,-0.075
100,100,0.266,0.344,-0.05
100,101,0.186,0.254,-0.059
100,102,0.253,0.329,-0.051
100,103,0.206,0.276,-0.057
100,104,0.304,0.384,-0.046
100,105,0.345,0.427,-0.043
100,106,0.263,0.34,-0.051
100,107,0.307,0.387,-0.047
100,108,0.367,0.449,-0.041
100,109,0.246,0.321,-0.053
100,11,0.06,0.097,-0.066
100,110,0.18,0.246,-0.061
100,111,0.315,0.396,-0.046
100,112,0.375,0.458,-0.041
100,113,0.312,0.392,-0.047
100,114,0.352,0.434,-0.043
100,115,0.357,0.439,-0.043
100,116,0.253,0.328,-0.053
100,117,0.155,0.217,-0.066
100,118,0.14,0.199,-0.069
100,119,0.114,0.167,-0.074
100,12,0.039,0.066,-0.072
100,120,0.123,0.177,-0.072
100,121,0.182,0.248,-0.062
100,122,0.215,0.286,-0.058
100,123,0.169,0.233,-0.064
100,124,0.207,0.277,-0.059
100,125,0.156,0.218,-0.066
100,126,0.196,0.265,-0.061
100,127,0.195,0.264,-0.061
100,128,0.158,0.22,-0.066
100,129,0.123,0.178,-0.072
100,13,0.062,0.098,-0.064
100,130,0.175,0.241,-0.064
100,131,0.215,0.287,-0.058
100,132,0.24,0.314,-0.055
100,133,0.161,0.224,-0.066
100,134,0.142,0.202,-0.069
100,135,0.19,0.258,-0.062
100,136,0.195,0.264,-0.061
100,137,0.158,0.22,-0.067
100,138,0.101,0.151,-0.077
100,139,0.078,0.12,-0.083
100,14,0.034,0.059,-0.073
100,140,0.083,0.127,-0.081
100,141,0.127,0.183,-0.072
100,142,0.144,0.203,-0.069
100,143,0.13,0.187,-0.071
100,144,0.149,0.209,-0.068
100,145,0.173,0.238,-0.064
100,146,0.109,0.16,-0.076
100,147,0.08,0.122,-0.083
