slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.32,0.401,0.036
1,101,0.366,0.449,0.033
1,102,0.293,0.373,0.038
1,103,0.405,0.488,0.03
1,104,0.241,0.315,0.043
1,105,0.197,0.267,0.047
1,106,0.465,0.548,0.027
1,107,0.236,0.31,0.044
1,108,0.255,0.331,0.042
1,109,0.297,0.376,0.039
1,110,0.397,0.48,0.032
1,111,0.651,0.719,0.017
1,112,0.409,0.492,0.031
1,113,0.603,0.676,0.02
1,114,0.438,0.521,0.029
1,115,0.458,0.541,0.028
1,116,0.406,0.489,0.031
1,117,0.338,0.42,0.036
1,118,0.404,0.487,0.032
1,119,0.309,0.39,0.039
1,120,0.307,0.387,0.039
1,121,0.427,0.51,0.03
1,122,0.551,0.629,0.023
1,123,0.547,0.625,0.023
1,124,0.467,0.549,0.028
1,125,0.378,0.461,0.034
1,126,0.302,0.382,0.04
1,127,0.272,0.349,0.043
1,128,0.315,0.396,0.039
1,129,0.248,0.323,0.045
1,130,0.219,0.291,0.048
1,131,0.408,0.491,0.032
1,132,0.357,0.439,0.036
1,133,0.26,0.337,0.044
1,134,0.224,0.296,0.048
1,135,0.205,0.275,0.05
1,136,0.164,0.227,0.055
1,137,0.244,0.319,0.046
1,138,0.271,0.348,0.044
1,139,0.157,0.22,0.056
1,140,0.198,0.267,0.051
1,141,0.2,0.27,0.051
1,142,0.142,0.201,0.059
1,143,0.133,0.19,0.06
1,144,0.096,0.143,0.067
1,145,0.11,0.162,0.064
1,146,0.11,0.162,0.064
1,147,0.177,0.243,0.054
1,148,0.171,0.236,0.055
1,149,0.115,0.167,0.064
1,150,0.128,0.184,0.061
1,151,0.12,0.174,0.063
1,152,0.053,0.087,0.078
1,153,0.048,0.08,0.081
1,154,0.078,0.12,0.072
1,155,0.055,0.09,0.079
1,156,0.054,0.087,0.079
1,157,0.047,0.078,0.082
1,158,0.05,0.083,0.081
1,159,0.031,0.054,0.09
1,160,0.047,0.078,0.083
1,161,0.064,0.101,0.077
1,162,0.06,0.096,0.079
1,163,0.061,0.097,0.079
1,164,0.033,0.058,0.09
1,165,0.051,0.083,0.083
1,166,0.059,0.095,0.08
1,167,0.079,0.122,0.075
1,168,0.087,0.132,0.073
1,169,0.143,0.202,0.063
1,170,0.15,0.211,0.062
1,171,0.083,0.127,0.075
1,172,0.044,0.073,0.088
1,173,0.076,0.118,0.078
1,174,0.204,0.274,0.056
1,175,0.168,0.232,0.061
1,176,0.137,0.195,0.066
1,177,0.151,0.212,0.064
1,178,0.116,0.169,0.071
1,179,0.137,0.195,0.067
1,180,0.157,0.219,0.064
1,181,0.16,0.223,0.064
1,182,0.134,0.191,0.069
1,183,0.156,0.218,0.065
1,184,0.112,0.164,0.074
1,185,0.151,0.212,0.067
1,186,0.136,0.194,0.07
1,187,0.182,0.249,0.063
1,188,0.133,0.19,0.071
1,189,0.122,0.177,0.073
1,190,0.168,0.232,0.066
1,191,0.169,0.234,0.066
1,192,0.18,0.246,0.065
1,193,0.259,0.335,0.055
1,194,0.25,0.325,0.056
1,195,0.183,0.25,0.065
1,196,0.176,0.242,0.067
1,197,0.209,0.28,0.062
1,198,0.166,0.23,0.069
1,199,0.167,0.231,0.069
1,200,0.14,0.199,0.074
1,201,0.196,0.265,0.065
1,202,0.168,0.232,0.07
1,203,0.119,0.173,0.079
1,204,0.153,0.214,0.073
1,205,0.167,0.231,0.071
1,206,0.199,0.268,0.066
1,207,0.266,0.343,0.058
1,208,0.124,0.18,0.08
1,209,0.11,0.162,0.083
1,210,0.154,0.215,0.075
1,211,0.177,0.243,0.071
1,212,0.144,0.204,0.077
1,213,0.161,0.224,0.074
1,214,0.151,0.212,0.076
1,215,0.141,0.2,0.079
1,216,0.189,0.257,0.07
1,217,0.163,0.227,0.075
1,218,0.099,0.148,0.089
1,219,0.141,0.2,0.079
1,220,0.157,0.219,0.077
1,221,0.174,0.24,0.074
1,222,0.2,0.269,0.07
1,223,0.175,0.241,0.074
1,224,0.178,0.245,0.074
1,39,0.41,0.494,0.026
1,40,0.468,0.55,0.023
1,41,0.248,0.323,0.037
1,42,0.319,0.4,0.032
1,43,0.317,0.398,0.032
1,44,0.297,0.377,0.033
1,45,0.34,0.422,0.031
1,46,0.559,0.637,0.019
1,47,0.45,0.533,0.024
1,48,0.437,0.52,0.025
1,49,0.351,0.433,0.03
1,50,0.373,0.456,0.029
1,51,0.347,0.429,0.031
1,52,0.367,0.449,0.029
1,53,0.317,0.398,0.032
1,54,0.241,0.316,0.038
1,55,0.106,0.157,0.053
1,56,0.224,0.297,0.04
1,57,0.229,0.303,0.039
1,58,0.098,0.146,0.054
1,59,0.149,0.21,0.047
1,60,0.101,0.15,0.054
1,61,0.121,0.176,0.051
1,62,0.122,0.177,0.051
1,63,0.094,0.141,0.055
1,64,0.127,0.183,0.051
1,65,0.163,0.226,0.046
1,66,0.1,0.149,0.055
1,67,0.126,0.182,0.051
1,68,0.138,0.197,0.05
1,69,0.16,0.222,0.047
1,70,0.171,0.236,0.046
1,71,0.103,0.153,0.055
1,72,0.168,0.233,0.047
1,73,0.216,0.287,0.042
1,74,0.142,0.202,0.05
1,75,0.129,0.186,0.052
1,76,0.137,0.195,0.051
1,77,0.276,0.354,0.037
1,78,0.189,0.257,0.045
1,79,0.212,0.283,0.043
1,80,0.224,0.297,0.042
1,81,0.237,0.312,0.041
1,82,0.199,0.268,0.045
1,83,0.123,0.177,0.054
1,84,0.181,0.247,0.047
1,85,0.143,0.202,0.051
1,86,0.188,0.256,0.046
1,87,0.215,0.287,0.044
1,88,0.208,0.278,0.045
1,89,0.121,0.175,0.055
1,90,0.143,0.203,0.052
1,91,0.269,0.346,0.039
1,92,0.179,0.245,0.048
1,93,0.119,0.173,0.056
1,94,0.191,0.259,0.047
1,95,0.201,0.271,0.046
1,96,0.174,0.239,0.049
1,97,0.209,0.28,0.045
1,98,0.281,0.36,0.039
1,99,0.259,0.335,0.041
10,10,0.314,0.394,0.032
10,100,0.978,0.983,-0.001
10,101,0.957,0.968,-0.002
10,102,0.89,0.917,0.005
10,103,0.948,0.961,0.002
10,104,0.82,0.861,0.008
10,105,0.616,0.688,0.018
10,106,0.858,0.892,0.007
10,107,0.549,0.627,0.022
10,108,0.725,0.782,0.013
10,109,0.717,0.776,0.013
10,11,0.442,0.525,0.024
10,110,0.626,0.697,0.018
10,111,0.443,0.526,0.029
10,112,0.554,0.631,0.022
10,113,0.39,0.473,0.032
10,114,0.352,0.434,0.035
10,115,0.643,0.712,0.017
10,116,0.527,0.607,0.024
10,117,0.391,0.474,0.032
10,118,0.557,0.635,0.022
10,119,0.288,0.367,0.04
10,12,0.349,0.431,0.03
10,120,0.438,0.521,0.029
10,121,0.284,0.363,0.041
10,122,0.385,0.468,0.033
10,123,0.498,0.579,0.026
10,124,0.397,0.481,0.032
10,125,0.393,0.476,0.033
10,126,0.309,0.39,0.039
10,127,0.459,0.541,0.028
10,128,0.213,0.284,0.048
10,129,0.245,0.32,0.045
10,13,0.273,0.35,0.034
10,130,0.279,0.357,0.042
10,131,0.334,0.416,0.037
10,132,0.403,0.487,0.032
10,133,0.494,0.576,0.026
10,134,0.33,0.411,0.038
10,135,0.25,0.325,0.045
10,136,0.419,0.502,0.031
10,137,0.334,0.416,0.038
10,138,0.408,0.491,0.032
10,139,0.464,0.546,0.029
10,14,0.304,0.384,0.032
10,140,0.355,0.437,0.036
10,141,0.341,0.423,0.037
10,142,0.254,0.33,0.045
10,143,0.249,0.325,0.045
