slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.299,0.379,0.038
1,101,0.39,0.473,0.031
1,102,0.292,0.371,0.038
1,103,0.433,0.516,0.029
1,104,0.244,0.319,0.043
1,105,0.223,0.296,0.045
1,106,0.502,0.583,0.025
1,107,0.243,0.318,0.043
1,108,0.283,0.361,0.04
1,109,0.338,0.42,0.036
1,110,0.482,0.564,0.026
1,111,0.737,0.793,0.013
1,112,0.511,0.591,0.025
1,113,0.754,0.807,0.012
1,114,0.549,0.627,0.023
1,115,0.571,0.647,0.021
1,116,0.477,0.559,0.027
1,117,0.425,0.508,0.03
1,118,0.494,0.576,0.026
1,119,0.375,0.458,0.034
1,120,0.387,0.47,0.033
1,121,0.534,0.613,0.024
1,122,0.703,0.764,0.015
1,123,0.659,0.726,0.017
1,124,0.551,0.629,0.023
1,125,0.419,0.502,0.031
1,126,0.392,0.475,0.033
1,127,0.33,0.412,0.038
1,128,0.408,0.491,0.032
1,129,0.31,0.39,0.039
1,130,0.256,0.333,0.044
1,131,0.455,0.538,0.029
1,132,0.453,0.536,0.029
1,133,0.348,0.43,0.037
1,134,0.314,0.394,0.04
1,135,0.282,0.361,0.042
1,136,0.244,0.319,0.046
1,137,0.291,0.37,0.042
1,138,0.347,0.429,0.037
1,139,0.219,0.291,0.049
1,140,0.269,0.347,0.044
1,141,0.255,0.331,0.045
1,142,0.198,0.267,0.051
1,143,0.221,0.293,0.049
1,144,0.15,0.211,0.058
1,145,0.161,0.223,0.056
1,146,0.179,0.245,0.054
1,147,0.265,0.342,0.045
1,148,0.242,0.317,0.047
1,149,0.189,0.257,0.053
1,150,0.248,0.324,0.047
1,151,0.212,0.283,0.051
1,152,0.12,0.174,0.063
1,153,0.114,0.166,0.065
1,154,0.163,0.226,0.057
1,155,0.128,0.184,0.063
1,156,0.128,0.184,0.063
1,157,0.11,0.162,0.066
1,158,0.114,0.166,0.066
1,159,0.08,0.123,0.073
1,160,0.113,0.165,0.066
1,161,0.152,0.213,0.06
1,162,0.143,0.202,0.062
1,163,0.138,0.196,0.063
1,164,0.083,0.127,0.073
1,165,0.135,0.192,0.064
1,166,0.16,0.222,0.06
1,167,0.194,0.263,0.056
1,168,0.202,0.271,0.055
1,169,0.275,0.353,0.047
1,170,0.264,0.341,0.049
1,171,0.181,0.247,0.058
1,172,0.096,0.143,0.073
1,173,0.148,0.209,0.064
1,174,0.34,0.422,0.042
1,175,0.259,0.336,0.05
1,176,0.234,0.308,0.053
1,177,0.252,0.328,0.051
1,178,0.185,0.253,0.06
1,179,0.227,0.3,0.055
1,180,0.261,0.337,0.051
1,181,0.228,0.301,0.055
1,182,0.185,0.252,0.061
1,183,0.218,0.29,0.057
1,184,0.151,0.212,0.067
1,185,0.193,0.262,0.061
1,186,0.179,0.246,0.063
1,187,0.24,0.314,0.056
1,188,0.215,0.287,0.059
1,189,0.182,0.249,0.064
1,190,0.234,0.308,0.057
1,191,0.237,0.311,0.057
1,192,0.261,0.338,0.054
1,193,0.353,0.435,0.045
1,194,0.372,0.455,0.044
1,195,0.264,0.341,0.055
1,196,0.232,0.305,0.059
1,197,0.295,0.374,0.052
1,198,0.274,0.352,0.055
1,199,0.281,0.359,0.054
1,200,0.248,0.324,0.058
1,201,0.318,0.399,0.051
1,202,0.311,0.392,0.051
1,203,0.235,0.309,0.061
1,204,0.256,0.332,0.058
1,205,0.267,0.344,0.057
1,206,0.31,0.391,0.052
1,207,0.433,0.516,0.041
1,208,0.216,0.288,0.064
1,209,0.215,0.286,0.065
1,210,0.256,0.332,0.06
1,211,0.276,0.354,0.057
1,212,0.249,0.324,0.061
1,213,0.29,0.369,0.056
1,214,0.249,0.324,0.061
1,215,0.243,0.318,0.062
1,216,0.315,0.396,0.054
1,217,0.312,0.392,0.054
1,218,0.189,0.256,0.071
1,219,0.229,0.302,0.065
1,220,0.273,0.351,0.06
1,221,0.282,0.36,0.059
1,222,0.35,0.432,0.051
1,223,0.279,0.358,0.059
1,224,0.304,0.384,0.057
1,39,0.281,0.36,0.035
1,40,0.302,0.382,0.033
1,41,0.166,0.229,0.045
1,42,0.176,0.242,0.043
1,43,0.226,0.298,0.039
1,44,0.16,0.223,0.045
1,45,0.244,0.319,0.037
1,46,0.349,0.432,0.03
1,47,0.254,0.33,0.037
1,48,0.237,0.312,0.038
1,49,0.218,0.289,0.04
1,50,0.232,0.306,0.039
1,51,0.214,0.286,0.04
1,52,0.207,0.277,0.041
1,53,0.197,0.266,0.042
1,54,0.149,0.21,0.047
1,55,0.061,0.097,0.061
1,56,0.143,0.202,0.048
1,57,0.154,0.216,0.047
1,58,0.079,0.122,0.058
1,59,0.09,0.136,0.056
1,60,0.061,0.097,0.062
1,61,0.102,0.152,0.054
1,62,0.096,0.143,0.055
1,63,0.067,0.105,0.061
1,64,0.089,0.135,0.056
1,65,0.095,0.143,0.056
1,66,0.077,0.12,0.059
1,67,0.073,0.113,0.06
1,68,0.076,0.118,0.06
1,69,0.102,0.152,0.055
1,70,0.11,0.161,0.054
1,71,0.057,0.092,0.064
1,72,0.11,0.162,0.054
1,73,0.126,0.181,0.052
1,74,0.087,0.132,0.058
1,75,0.082,0.126,0.06
1,76,0.074,0.115,0.062
1,77,0.208,0.279,0.043
1,78,0.145,0.205,0.05
1,79,0.12,0.174,0.054
1,80,0.184,0.251,0.046
1,81,0.183,0.249,0.046
1,82,0.142,0.201,0.051
1,83,0.117,0.17,0.055
1,84,0.159,0.221,0.05
1,85,0.127,0.183,0.054
1,86,0.186,0.253,0.047
1,87,0.164,0.227,0.049
1,88,0.159,0.222,0.05
1,89,0.099,0.148,0.059
1,90,0.127,0.183,0.054
1,91,0.22,0.292,0.044
1,92,0.194,0.263,0.047
1,93,0.107,0.158,0.058
1,94,0.18,0.246,0.048
1,95,0.186,0.253,0.048
1,96,0.128,0.184,0.055
1,97,0.171,0.236,0.049
1,98,0.224,0.296,0.044
1,99,0.22,0.293,0.045
10,10,0.249,0.325,0.037
10,100,0.995,0.996,-0.0
10,101,0.962,0.972,-0.002
10,102,0.852,0.887,0.007
10,103,0.935,0.951,0.003
10,104,0.83,0.87,0.008
10,105,0.649,0.717,0.017
10,106,0.872,0.903,0.006
10,107,0.6,0.674,0.019
10,108,0.769,0.819,0.011
10,109,0.693,0.755,0.015
10,11,0.319,0.4,0.032
10,110,0.638,0.707,0.018
10,111,0.483,0.565,0.026
10,112,0.638,0.707,0.018
10,113,0.472,0.554,0.027
10,114,0.438,0.521,0.029
10,115,0.781,0.83,0.01
10,116,0.646,0.715,0.017
10,117,0.461,0.544,0.028
10,118,0.7,0.762,0.015
10,119,0.347,0.429,0.036
10,12,0.27,0.347,0.035
10,120,0.587,0.662,0.021
10,121,0.371,0.454,0.034
10,122,0.483,0.565,0.027
10,123,0.573,0.649,0.022
10,124,0.468,0.55,0.028
10,125,0.438,0.521,0.03
10,126,0.349,0.431,0.036
10,127,0.518,0.598,0.025
10,128,0.258,0.334,0.044
10,129,0.337,0.418,0.037
10,13,0.212,0.283,0.039
10,130,0.352,0.435,0.036
10,131,0.446,0.529,0.029
10,132,0.48,0.562,0.027
10,133,0.581,0.657,0.021
10,134,0.435,0.518,0.03
10,135,0.36,0.443,0.036
10,136,0.596,0.67,0.021
10,137,0.486,0.568,0.027
10,138,0.616,0.688,0.02
10,139,0.647,0.715,0.018
10,14,0.221,0.293,0.038
10,140,0.515,0.595,0.026
10,141,0.484,0.566,0.027
10,142,0.414,0.497,0.032
10,143,0.428,0.511,0.031
10,144,0.339,0.421,0.038
10,145,0.402,0.485,0.033
10,146,0.406,0.489,0.033
10,147,0.301,0.38,0.041
10,148,0.224,0.296,0.048
10,149,0.188,0.255,0.052
10,15,0.414,0.497,0.026
10,150,0.181,0.248,0.053
10,151,0.297,0.376,0.042
10,152,0.18,0.246,0.053
10,153,0.172,0.236,0.054
10,154,0.239,0.313,0.047
10,155,0.414,0.497,0.033
10,156,0.351,0.433,0.037
10,157,0.258,0.334,0.045
10,158,0.366,0.449,0.036
10,159,0.354,0.436,0.037
10,16,0.323,0.405,0.031
10,160,0.271,0.348,0.044
10,161,0.38,0.463,0.035
10,162,0.346,0.428,0.038
10,163,0.215,0.287,0.05
10,164,0.307,0.387,0.041
10,165,0.276,0.354,0.044
10,166,0.353,0.436,0.037
10,167,0.446,0.529,0.031
10,168,0.332,0.414,0.039
10,169,0.418,0.501,0.033
10,17,0.299,0.379,0.032
10,170,0.512,0.592,0.027
10,171,0.579,0.654,0.023
10,172,0.444,0.527,0.031
10,173,0.321,0.402,0.04
10,174,0.335,0.417,0.039
10,175,0.225,0.298,0.05
10,176,0.43,0.513,0.032
10,177,0.37,0.452,0.037
10,178,0.397,0.48,0.035
10,179,0.222,0.295,0.05
10,18,0.399,0.482,0.026
10,180,0.378,0.461,0.037
10,181,0.229,0.302,0.05
10,182,0.358,0.441,0.038
10,183,0.252,0.327,0.048
10,184,0.157,0.22,0.06
10,185,0.222,0.294,0.052
10,186,0.438,0.521,0.033
10,187,0.366,0.448,0.039
10,188,0.373,0.456,0.038
10,189,0.311,0.392,0.044
10,19,0.328,0.41,0.03
10,190,0.307,0.387,0.044
10,191,0.296,0.376,0.046
10,192,0.272,0.349,0.048
10,193,0.353,0.435,0.041
10,194,0.306,0.387,0.045
10,195,0.491,0.572,0.031
10,196,0.351,0.434,0.042
10,197,0.354,0.436,0.042
10,198,0.356,0.439,0.042
10,199,0.4,0.483,0.039
10,20,0.143,0.203,0.046
10,200,0.461,0.544,0.034
10,201,0.476,0.558,0.033
10,202,0.563,0.64,0.027
10,203,0.63,0.7,0.023
10,204,0.753,0.806,0.015
10,205,0.84,0.877,0.01
10,206,0.827,0.867,0.011
10,207,0.89,0.917,0.007
10,208,0.835,0.873,0.01
10,209,0.815,0.857,0.012
10,21,0.266,0.343,0.035
10,210,0.802,0.846,0.012
10,211,0.904,0.927,0.006
10,212,0.762,0.814,0.015
10,213,0.923,0.942,-0.005
10,214,0.847,0.883,0.01
10,215,0.988,0.991,0.001
10,216,0.851,0.886,0.01
10,217,0.938,0.954,-0.004
10,218,0.876,0.906,-0.008
10,219,0.895,0.92,-0.007
10,22,0.32,0.401,0.031
10,220,0.86,0.893,-0.009
10,221,0.9,0.924,-0.007
10,222,0.838,0.876,-0.011
10,223,0.941,0.956,-0.004
10,224,0.833,0.872,-0.012
10,225,0.872,0.902,-0.009
10,226,0.981,0.986,-0.001
10,227,0.824,0.865,0.012
10,228,0.988,0.991,0.001
10,229,0.984,0.988,0.001
10,23,0.232,0.306,0.037
10,230,0.882,0.91,0.008
10,231,0.865,0.898,0.01
10,232,0.666,0.732,0.025
10,233,0.692,0.755,0.023
10,234,0.77,0.82,0.017
10,235,0.865,0.898,0.01
10,236,0.638,0.708,0.027
10,237,0.593,0.668,0.031
10,238,0.824,0.864,0.013
10,239,0.726,0.784,0.021
10,24,0.156,0.218,0.044
10,240,0.506,0.586,0.039
10,241,0.724,0.782,0.021
10,242,0.738,0.793,0.02
10,243,0.775,0.824,0.017
