slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.01,0.021,-0.096
1,101,0.012,0.024,-0.094
1,102,0.01,0.02,-0.097
1,103,0.014,0.028,-0.092
1,104,0.027,0.048,-0.084
1,105,0.019,0.036,-0.089
1,106,0.033,0.058,-0.081
1,107,0.014,0.027,-0.094
1,108,0.016,0.031,-0.092
1,109,0.026,0.048,-0.085
1,110,0.045,0.075,-0.077
1,111,0.053,0.087,-0.074
1,112,0.047,0.078,-0.076
1,113,0.059,0.095,-0.073
1,114,0.027,0.049,-0.086
1,115,0.042,0.071,-0.079
1,116,0.059,0.094,-0.074
1,117,0.052,0.085,-0.076
1,118,0.032,0.057,-0.084
1,119,0.037,0.064,-0.082
1,120,0.073,0.114,-0.07
1,121,0.096,0.143,-0.066
1,122,0.085,0.13,-0.068
1,123,0.067,0.105,-0.073
1,124,0.068,0.107,-0.072
1,125,0.033,0.057,-0.085
1,126,0.038,0.065,-0.083
1,127,0.055,0.089,-0.077
1,128,0.046,0.076,-0.08
1,129,0.035,0.061,-0.084
1,130,0.044,0.074,-0.081
1,131,0.054,0.088,-0.077
1,132,0.067,0.105,-0.073
1,133,0.044,0.074,-0.081
1,134,0.031,0.055,-0.087
1,135,0.045,0.075,-0.081
1,136,0.04,0.068,-0.083
1,137,0.046,0.077,-0.081
1,138,0.062,0.099,-0.076
1,139,0.05,0.083,-0.08
1,140,0.036,0.062,-0.086
1,141,0.046,0.077,-0.081
1,142,0.054,0.088,-0.079
1,143,0.095,0.142,-0.069
1,144,0.07,0.11,-0.075
1,145,0.048,0.079,-0.082
1,146,0.107,0.157,-0.067
1,147,0.144,0.204,-0.061
1,148,0.093,0.14,-0.07
1,149,0.079,0.121,-0.073
1,150,0.084,0.129,-0.072
1,151,0.086,0.13,-0.072
1,152,0.046,0.077,-0.083
1,153,0.05,0.082,-0.082
1,154,0.049,0.081,-0.083
1,155,0.047,0.078,-0.084
1,156,0.04,0.068,-0.087
1,157,0.056,0.09,-0.081
1,158,0.045,0.075,-0.086
1,159,0.031,0.055,-0.092
1,160,0.028,0.05,-0.094
1,161,0.04,0.068,-0.088
1,162,0.028,0.051,-0.095
1,163,0.036,0.061,-0.091
1,164,0.031,0.055,-0.094
1,165,0.041,0.07,-0.089
1,166,0.064,0.102,-0.081
1,167,0.059,0.094,-0.083
1,168,0.085,0.13,-0.076
1,169,0.081,0.124,-0.078
1,170,0.067,0.106,-0.082
1,171,0.07,0.11,-0.081
1,172,0.03,0.053,-0.098
1,173,0.055,0.09,-0.087
1,174,0.063,0.1,-0.085
1,175,0.04,0.069,-0.094
1,176,0.048,0.079,-0.091
1,177,0.032,0.056,-0.099
1,178,0.025,0.046,-0.104
1,179,0.042,0.071,-0.095
1,180,0.044,0.073,-0.094
1,181,0.024,0.043,-0.106
1,182,0.039,0.067,-0.097
1,183,0.033,0.058,-0.101
1,184,0.041,0.069,-0.098
1,185,0.063,0.1,-0.09
1,186,0.066,0.104,-0.089
1,187,0.059,0.094,-0.092
1,188,0.1,0.149,-0.08
1,189,0.065,0.103,-0.09
1,190,0.073,0.114,-0.088
1,191,0.046,0.076,-0.099
1,192,0.109,0.161,-0.08
1,193,0.109,0.161,-0.08
1,194,0.097,0.145,-0.083
1,195,0.08,0.123,-0.088
1,196,0.105,0.155,-0.082
1,197,0.112,0.164,-0.081
1,198,0.084,0.128,-0.089
1,199,0.108,0.159,-0.083
1,200,0.079,0.121,-0.091
1,201,0.179,0.245,-0.07
1,202,0.156,0.218,-0.074
1,203,0.119,0.173,-0.082
1,204,0.145,0.205,-0.077
1,205,0.121,0.175,-0.082
1,206,0.194,0.262,-0.069
1,207,0.182,0.249,-0.071
1,208,0.119,0.173,-0.083
1,209,0.135,0.193,-0.08
1,210,0.134,0.192,-0.081
1,211,0.183,0.25,-0.072
1,212,0.172,0.237,-0.074
1,213,0.213,0.284,-0.068
1,214,0.194,0.262,-0.071
1,215,0.187,0.254,-0.072
1,216,0.288,0.367,-0.058
1,217,0.327,0.408,-0.054
1,218,0.238,0.313,-0.065
1,219,0.21,0.281,-0.07
1,220,0.355,0.437,-0.052
1,221,0.303,0.383,-0.058
1,222,0.439,0.522,-0.044
1,223,0.46,0.543,-0.042
1,224,0.492,0.573,-0.039
1,39,0.002,0.005,-0.101
1,40,0.001,0.002,-0.112
1,41,0.002,0.005,-0.103
1,42,0.0,0.001,-0.12
1,43,0.002,0.006,-0.1
1,44,0.003,0.008,-0.097
1,45,0.004,0.008,-0.097
1,46,0.002,0.005,-0.101
1,47,0.002,0.006,-0.101
1,48,0.004,0.009,-0.096
1,49,0.001,0.003,-0.11
1,50,0.003,0.007,-0.099
1,51,0.006,0.013,-0.092
1,52,0.004,0.009,-0.096
1,53,0.001,0.003,-0.108
1,54,0.006,0.014,-0.091
1,55,0.003,0.008,-0.099
1,56,0.003,0.007,-0.101
1,57,0.004,0.009,-0.097
1,58,0.005,0.011,-0.096
1,59,0.001,0.004,-0.108
1,60,0.001,0.003,-0.109
1,61,0.001,0.003,-0.111
1,62,0.001,0.002,-0.115
1,63,0.001,0.003,-0.113
1,64,0.002,0.005,-0.105
1,65,0.001,0.004,-0.109
1,66,0.001,0.002,-0.118
1,67,0.0,0.0,-0.136
1,68,0.0,0.001,-0.125
1,69,0.001,0.002,-0.118
1,70,0.001,0.002,-0.117
1,71,0.001,0.003,-0.115
1,72,0.002,0.005,-0.107
1,73,0.001,0.003,-0.115
1,74,0.001,0.003,-0.114
1,75,0.001,0.004,-0.112
1,76,0.002,0.005,-0.109
1,77,0.01,0.021,-0.091
1,78,0.021,0.039,-0.082
1,79,0.006,0.014,-0.097
1,80,0.011,0.023,-0.091
