slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.883,0.911,0.005
1,101,0.903,0.927,-0.004
1,102,0.907,0.93,-0.004
1,103,0.898,0.923,-0.005
1,104,0.822,0.863,-0.008
1,105,0.618,0.69,-0.018
1,106,0.833,0.871,-0.008
1,107,0.818,0.86,-0.009
1,108,0.767,0.818,-0.011
1,109,0.665,0.731,-0.016
1,110,0.62,0.691,-0.018
1,111,0.808,0.852,-0.009
1,112,0.543,0.621,-0.023
1,113,0.575,0.651,-0.021
1,114,0.517,0.597,-0.024
1,115,0.515,0.595,-0.025
1,116,0.598,0.672,-0.02
1,117,0.461,0.544,-0.028
1,118,0.613,0.685,-0.019
1,119,0.526,0.606,-0.024
1,120,0.418,0.501,-0.031
1,121,0.431,0.515,-0.03
1,122,0.413,0.497,-0.031
1,123,0.558,0.636,-0.022
1,124,0.545,0.623,-0.023
1,125,0.616,0.688,-0.019
1,126,0.414,0.498,-0.032
1,127,0.523,0.603,-0.025
1,128,0.426,0.51,-0.031
1,129,0.445,0.528,-0.03
1,130,0.438,0.521,-0.03
1,131,0.502,0.583,-0.026
1,132,0.398,0.481,-0.033
1,133,0.316,0.397,-0.039
1,134,0.281,0.36,-0.042
1,135,0.256,0.332,-0.044
1,136,0.196,0.265,-0.051
1,137,0.408,0.492,-0.033
1,138,0.404,0.487,-0.033
1,139,0.277,0.355,-0.043
1,140,0.264,0.34,-0.044
1,141,0.283,0.362,-0.043
1,142,0.219,0.291,-0.049
1,143,0.15,0.211,-0.058
1,144,0.175,0.24,-0.054
1,145,0.215,0.287,-0.05
1,146,0.166,0.23,-0.056
1,147,0.229,0.302,-0.049
1,148,0.247,0.323,-0.047
1,149,0.145,0.205,-0.059
1,150,0.086,0.131,-0.069
1,151,0.102,0.152,-0.066
1,152,0.05,0.082,-0.08
1,153,0.05,0.082,-0.08
1,154,0.08,0.123,-0.072
1,155,0.052,0.085,-0.08
1,156,0.052,0.085,-0.08
1,157,0.054,0.088,-0.079
1,158,0.058,0.093,-0.078
1,159,0.037,0.063,-0.087
1,160,0.044,0.073,-0.084
1,161,0.043,0.073,-0.084
1,162,0.055,0.09,-0.08
1,163,0.056,0.091,-0.08
1,164,0.041,0.07,-0.086
1,165,0.046,0.077,-0.084
1,166,0.03,0.053,-0.092
1,167,0.046,0.077,-0.085
1,168,0.061,0.098,-0.08
1,169,0.099,0.148,-0.071
1,170,0.132,0.189,-0.065
1,171,0.073,0.114,-0.078
1,172,0.062,0.099,-0.082
1,173,0.09,0.136,-0.075
1,174,0.168,0.232,-0.061
1,175,0.209,0.28,-0.056
1,176,0.161,0.224,-0.062
1,177,0.155,0.217,-0.064
1,178,0.192,0.26,-0.059
1,179,0.212,0.283,-0.056
1,180,0.18,0.246,-0.061
1,181,0.307,0.388,-0.047
1,182,0.282,0.36,-0.049
1,183,0.28,0.358,-0.05
1,184,0.303,0.383,-0.048
1,185,0.33,0.412,-0.045
1,186,0.262,0.339,-0.053
1,187,0.322,0.403,-0.047
1,188,0.17,0.235,-0.065
1,189,0.243,0.318,-0.055
1,190,0.277,0.355,-0.052
1,191,0.297,0.376,-0.05
1,192,0.276,0.354,-0.053
1,193,0.303,0.383,-0.05
1,194,0.244,0.319,-0.057
1,195,0.259,0.335,-0.055
1,196,0.272,0.35,-0.054
1,197,0.248,0.323,-0.057
1,198,0.175,0.241,-0.068
1,199,0.121,0.175,-0.078
1,200,0.124,0.179,-0.077
1,201,0.177,0.242,-0.068
1,202,0.104,0.154,-0.082
1,203,0.095,0.143,-0.085
1,204,0.124,0.179,-0.079
1,205,0.155,0.217,-0.073
1,206,0.184,0.251,-0.068
1,207,0.152,0.213,-0.074
1,208,0.121,0.176,-0.08
1,209,0.094,0.141,-0.087
1,210,0.138,0.196,-0.078
1,211,0.181,0.247,-0.07
1,212,0.125,0.18,-0.081
1,213,0.108,0.159,-0.085
1,214,0.136,0.193,-0.079
1,215,0.139,0.197,-0.079
1,216,0.133,0.19,-0.08
1,217,0.086,0.131,-0.092
1,218,0.095,0.143,-0.09
1,219,0.147,0.207,-0.078
1,220,0.131,0.188,-0.082
1,221,0.168,0.233,-0.075
1,222,0.135,0.193,-0.081
1,223,0.189,0.256,-0.072
1,224,0.166,0.23,-0.076
1,39,0.557,0.635,0.019
1,40,0.55,0.628,0.019
1,41,0.801,0.846,0.008
1,42,0.526,0.606,0.02
1,43,0.869,0.901,0.005
1,44,0.554,0.632,0.019
1,45,0.676,0.741,0.013
1,46,0.38,0.463,0.028
1,47,0.348,0.43,0.03
1,48,0.425,0.508,0.026
1,49,0.523,0.603,0.021
1,50,0.515,0.596,0.021
1,51,0.465,0.547,0.024
1,52,0.356,0.438,0.03
1,53,0.542,0.62,0.02
1,54,0.571,0.647,0.018
1,55,0.914,0.936,0.004
1,56,0.58,0.655,0.018
1,57,0.7,0.762,0.013
1,58,0.889,0.916,-0.005
1,59,0.623,0.694,0.016
1,60,0.851,0.886,0.006
1,61,0.928,0.946,-0.003
1,62,0.953,0.965,0.002
1,63,0.919,0.939,0.003
1,64,0.96,0.971,0.002
1,65,0.741,0.797,0.011
1,66,0.913,0.935,-0.004
1,67,0.587,0.662,0.018
1,68,0.566,0.643,0.019
1,69,0.714,0.773,0.012
1,70,0.644,0.713,0.016
1,71,0.652,0.72,0.015
1,72,0.626,0.697,0.017
1,73,0.539,0.618,0.021
1,74,0.701,0.762,0.013
1,75,0.716,0.775,0.012
1,76,0.562,0.639,0.02
1,77,0.678,0.743,0.014
1,78,0.797,0.842,0.009
1,79,0.421,0.504,0.028
1,80,0.795,0.841,0.009
1,81,0.749,0.803,0.011
1,82,0.695,0.757,0.014
1,83,0.927,0.945,-0.003
1,84,0.995,0.996,0.0
1,85,0.948,0.961,-0.002
1,86,0.967,0.975,-0.001
1,87,0.806,0.85,0.009
1,88,0.785,0.833,0.01
1,89,0.903,0.927,-0.004
1,90,0.988,0.991,-0.001
1,91,0.822,0.863,0.008
1,92,0.757,0.81,-0.011
1,93,0.922,0.942,-0.003
1,94,0.863,0.895,-0.006
1,95,0.92,0.94,-0.004
1,96,0.848,0.884,0.007
