slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.397,0.48,0.031
1,101,0.593,0.668,0.019
1,102,0.437,0.52,0.028
1,103,0.626,0.697,0.018
1,104,0.367,0.45,0.033
1,105,0.37,0.453,0.033
1,106,0.631,0.701,0.018
1,107,0.363,0.446,0.034
1,108,0.454,0.537,0.028
1,109,0.519,0.599,0.024
1,110,0.731,0.787,0.013
1,111,0.926,0.945,0.003
1,112,0.77,0.82,0.011
1,113,0.99,0.992,-0.0
1,114,0.775,0.824,0.011
1,115,0.803,0.848,0.009
1,116,0.664,0.731,0.017
1,117,0.664,0.73,0.017
1,118,0.739,0.795,0.013
1,119,0.569,0.646,0.022
1,120,0.607,0.68,0.02
1,121,0.767,0.818,0.011
1,122,0.973,0.98,0.001
1,123,0.894,0.92,0.005
1,124,0.753,0.807,0.012
1,125,0.567,0.644,0.022
1,126,0.632,0.703,0.019
1,127,0.527,0.606,0.025
1,128,0.673,0.738,0.016
1,129,0.546,0.625,0.024
1,130,0.405,0.489,0.033
1,131,0.57,0.646,0.022
1,132,0.685,0.749,0.016
1,133,0.587,0.662,0.021
1,134,0.577,0.653,0.022
1,135,0.517,0.597,0.026
1,136,0.51,0.59,0.026
1,137,0.447,0.53,0.03
1,138,0.575,0.651,0.022
1,139,0.445,0.528,0.03
1,140,0.488,0.57,0.028
1,141,0.429,0.512,0.032
1,142,0.407,0.49,0.033
1,143,0.533,0.612,0.025
1,144,0.385,0.468,0.035
1,145,0.35,0.432,0.038
1,146,0.452,0.534,0.03
1,147,0.555,0.632,0.024
1,148,0.487,0.569,0.028
1,149,0.486,0.568,0.028
1,150,0.676,0.741,0.017
1,151,0.538,0.617,0.025
1,152,0.468,0.55,0.03
1,153,0.482,0.564,0.029
1,154,0.55,0.628,0.025
1,155,0.508,0.589,0.027
1,156,0.518,0.598,0.027
1,157,0.478,0.56,0.029
1,158,0.459,0.542,0.031
1,159,0.411,0.494,0.034
1,160,0.471,0.553,0.03
1,161,0.575,0.651,0.024
1,162,0.587,0.662,0.023
1,163,0.538,0.616,0.026
1,164,0.404,0.487,0.036
1,165,0.6,0.674,0.022
1,166,0.656,0.723,0.019
1,167,0.704,0.765,0.016
1,168,0.716,0.776,0.016
1,169,0.737,0.793,0.015
1,170,0.649,0.718,0.02
1,171,0.613,0.685,0.022
1,172,0.402,0.486,0.037
1,173,0.473,0.555,0.032
1,174,0.749,0.803,0.014
1,175,0.57,0.647,0.025
1,176,0.575,0.651,0.025
1,177,0.588,0.663,0.024
1,178,0.462,0.545,0.033
1,179,0.571,0.647,0.026
1,180,0.616,0.688,0.023
1,181,0.477,0.559,0.033
1,182,0.386,0.469,0.04
1,183,0.439,0.522,0.036
1,184,0.33,0.411,0.046
1,185,0.368,0.451,0.042
1,186,0.345,0.427,0.045
1,187,0.446,0.529,0.036
1,188,0.507,0.588,0.032
1,189,0.431,0.514,0.038
1,190,0.47,0.552,0.035
1,191,0.467,0.55,0.035
1,192,0.53,0.609,0.031
1,193,0.607,0.68,0.025
1,194,0.704,0.765,0.019
1,195,0.531,0.611,0.031
1,196,0.41,0.493,0.041
1,197,0.528,0.607,0.031
1,198,0.617,0.689,0.025
1,199,0.613,0.685,0.026
1,200,0.608,0.681,0.026
1,201,0.665,0.732,0.022
1,202,0.729,0.786,0.018
1,203,0.66,0.727,0.023
1,204,0.561,0.638,0.03
1,205,0.55,0.628,0.031
1,206,0.611,0.683,0.026
1,207,0.81,0.853,0.013
1,208,0.509,0.59,0.035
1,209,0.596,0.67,0.028
1,210,0.55,0.628,0.031
1,211,0.555,0.633,0.031
1,212,0.571,0.647,0.03
1,213,0.646,0.715,0.024
1,214,0.532,0.611,0.033
1,215,0.546,0.624,0.032
1,216,0.621,0.693,0.027
1,217,0.715,0.774,0.02
1,218,0.501,0.582,0.036
1,219,0.48,0.562,0.038
1,220,0.608,0.681,0.028
1,221,0.564,0.641,0.032
1,222,0.715,0.774,0.02
1,223,0.539,0.618,0.034
1,224,0.63,0.701,0.027
1,39,0.233,0.307,0.038
1,40,0.188,0.256,0.043
1,41,0.147,0.208,0.047
1,42,0.106,0.157,0.052
1,43,0.193,0.262,0.042
1,44,0.085,0.129,0.056
1,45,0.224,0.297,0.039
1,46,0.191,0.26,0.042
1,47,0.132,0.188,0.049
1,48,0.105,0.155,0.053
1,49,0.151,0.211,0.047
1,50,0.159,0.221,0.046
1,51,0.155,0.217,0.046
1,52,0.124,0.179,0.05
1,53,0.148,0.208,0.047
1,54,0.134,0.192,0.049
1,55,0.059,0.095,0.062
1,56,0.142,0.201,0.048
1,57,0.151,0.211,0.047
1,58,0.136,0.194,0.049
1,59,0.096,0.144,0.055
1,60,0.068,0.107,0.06
1,61,0.172,0.237,0.045
1,62,0.15,0.21,0.048
1,63,0.102,0.151,0.054
1,64,0.109,0.161,0.053
1,65,0.078,0.12,0.059
1,66,0.122,0.177,0.052
1,67,0.074,0.115,0.06
1,68,0.069,0.108,0.061
1,69,0.103,0.152,0.055
1,70,0.118,0.172,0.053
1,71,0.062,0.099,0.064
1,72,0.134,0.192,0.051
1,73,0.101,0.151,0.056
1,74,0.088,0.134,0.058
1,75,0.089,0.135,0.059
1,76,0.066,0.105,0.063
1,77,0.23,0.303,0.042
1,78,0.195,0.264,0.045
1,79,0.099,0.148,0.057
1,80,0.247,0.322,0.04
1,81,0.227,0.3,0.042
1,82,0.172,0.237,0.048
1,83,0.232,0.306,0.042
1,84,0.253,0.328,0.04
1,85,0.225,0.297,0.043
1,86,0.328,0.409,0.035
1,87,0.193,0.262,0.046
1,88,0.198,0.267,0.046
1,89,0.145,0.205,0.052
1,90,0.207,0.277,0.045
1,91,0.262,0.339,0.04
1,92,0.365,0.448,0.033
1,93,0.182,0.249,0.048
1,94,0.255,0.331,0.041
1,95,0.276,0.354,0.039
1,96,0.147,0.207,0.053
1,97,0.206,0.276,0.046
1,98,0.243,0.318,0.043
1,99,0.264,0.341,0.041
10,10,0.293,0.372,0.034
10,100,0.981,0.986,0.001
10,101,0.971,0.979,-0.001
10,102,0.836,0.874,0.008
10,103,0.938,0.953,0.003
10,104,0.906,0.929,0.004
10,105,0.781,0.829,0.01
10,106,0.925,0.944,0.003
10,107,0.794,0.84,0.01
10,108,0.952,0.964,0.002
