slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.677,0.742,-0.015
1,101,0.476,0.558,-0.026
1,102,0.451,0.533,-0.027
1,103,0.499,0.58,-0.025
1,104,0.487,0.569,-0.025
1,105,0.378,0.461,-0.032
1,106,0.562,0.639,-0.021
1,107,0.485,0.567,-0.026
1,108,0.404,0.488,-0.031
1,109,0.379,0.462,-0.033
1,110,0.379,0.462,-0.033
1,111,0.553,0.63,-0.022
1,112,0.348,0.43,-0.035
1,113,0.409,0.492,-0.031
1,114,0.387,0.47,-0.033
1,115,0.355,0.438,-0.035
1,116,0.418,0.501,-0.031
1,117,0.328,0.409,-0.037
1,118,0.37,0.453,-0.034
1,119,0.358,0.441,-0.035
1,120,0.306,0.386,-0.039
1,121,0.342,0.424,-0.036
1,122,0.348,0.43,-0.036
1,123,0.41,0.493,-0.032
1,124,0.379,0.462,-0.034
1,125,0.437,0.52,-0.03
1,126,0.291,0.37,-0.041
1,127,0.359,0.442,-0.035
1,128,0.283,0.361,-0.042
1,129,0.273,0.351,-0.042
1,130,0.303,0.383,-0.04
1,131,0.402,0.485,-0.032
1,132,0.285,0.364,-0.041
1,133,0.217,0.289,-0.048
1,134,0.185,0.252,-0.052
1,135,0.18,0.246,-0.053
1,136,0.138,0.196,-0.058
1,137,0.291,0.37,-0.042
1,138,0.271,0.349,-0.044
1,139,0.176,0.242,-0.053
1,140,0.183,0.249,-0.053
1,141,0.22,0.292,-0.049
1,142,0.156,0.219,-0.056
1,143,0.101,0.15,-0.066
1,144,0.107,0.158,-0.064
1,145,0.162,0.225,-0.056
1,146,0.106,0.157,-0.065
1,147,0.164,0.227,-0.056
1,148,0.171,0.236,-0.055
1,149,0.095,0.142,-0.067
1,150,0.054,0.088,-0.078
1,151,0.072,0.112,-0.073
1,152,0.028,0.05,-0.089
1,153,0.025,0.046,-0.091
1,154,0.043,0.073,-0.083
1,155,0.032,0.056,-0.088
1,156,0.029,0.052,-0.09
1,157,0.029,0.051,-0.09
1,158,0.038,0.064,-0.086
1,159,0.021,0.039,-0.096
1,160,0.029,0.052,-0.091
1,161,0.028,0.05,-0.092
1,162,0.027,0.048,-0.093
1,163,0.032,0.055,-0.09
1,164,0.024,0.044,-0.095
1,165,0.024,0.044,-0.095
1,166,0.019,0.035,-0.1
1,167,0.028,0.05,-0.094
1,168,0.033,0.058,-0.091
1,169,0.066,0.104,-0.079
1,170,0.088,0.134,-0.074
1,171,0.045,0.075,-0.087
1,172,0.035,0.061,-0.092
1,173,0.058,0.094,-0.083
1,174,0.108,0.16,-0.071
1,175,0.139,0.197,-0.066
1,176,0.105,0.155,-0.072
1,177,0.107,0.158,-0.072
1,178,0.125,0.18,-0.069
1,179,0.118,0.172,-0.071
1,180,0.116,0.17,-0.071
1,181,0.199,0.268,-0.059
1,182,0.206,0.276,-0.058
1,183,0.216,0.288,-0.057
1,184,0.217,0.289,-0.057
1,185,0.254,0.33,-0.053
1,186,0.226,0.299,-0.057
1,187,0.243,0.318,-0.055
1,188,0.139,0.197,-0.07
1,189,0.161,0.223,-0.067
1,190,0.214,0.286,-0.059
1,191,0.226,0.298,-0.058
1,192,0.216,0.287,-0.06
1,193,0.265,0.342,-0.054
1,194,0.199,0.268,-0.063
1,195,0.198,0.267,-0.063
1,196,0.25,0.326,-0.057
1,197,0.245,0.32,-0.057
1,198,0.151,0.212,-0.071
1,199,0.135,0.192,-0.075
1,200,0.119,0.173,-0.078
1,201,0.168,0.232,-0.07
1,202,0.114,0.167,-0.08
1,203,0.085,0.13,-0.087
1,204,0.145,0.205,-0.075
1,205,0.182,0.249,-0.069
1,206,0.208,0.278,-0.065
1,207,0.186,0.254,-0.068
1,208,0.148,0.209,-0.075
1,209,0.098,0.146,-0.086
1,210,0.181,0.247,-0.07
1,211,0.217,0.289,-0.065
1,212,0.16,0.223,-0.074
1,213,0.146,0.206,-0.077
1,214,0.177,0.243,-0.071
1,215,0.184,0.251,-0.071
1,216,0.212,0.284,-0.067
1,217,0.133,0.19,-0.08
1,218,0.13,0.186,-0.081
1,219,0.217,0.289,-0.066
1,220,0.196,0.265,-0.07
1,221,0.256,0.332,-0.062
1,222,0.228,0.302,-0.066
1,223,0.309,0.39,-0.056
1,224,0.264,0.341,-0.061
1,39,0.97,0.977,0.001
1,40,0.83,0.869,0.007
