slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.008,0.018,-0.099
1,101,0.01,0.02,-0.096
1,102,0.008,0.017,-0.1
1,103,0.014,0.027,-0.093
1,104,0.021,0.039,-0.087
1,105,0.015,0.029,-0.093
1,106,0.029,0.052,-0.083
1,107,0.01,0.021,-0.098
1,108,0.013,0.026,-0.095
1,109,0.021,0.039,-0.088
1,110,0.044,0.074,-0.077
1,111,0.057,0.092,-0.073
1,112,0.043,0.073,-0.078
1,113,0.058,0.093,-0.074
1,114,0.024,0.044,-0.088
1,115,0.04,0.068,-0.08
1,116,0.053,0.087,-0.075
1,117,0.05,0.082,-0.077
1,118,0.035,0.06,-0.083
1,119,0.037,0.064,-0.082
1,120,0.066,0.105,-0.072
1,121,0.089,0.135,-0.067
1,122,0.086,0.131,-0.068
1,123,0.066,0.105,-0.073
1,124,0.064,0.101,-0.074
1,125,0.029,0.051,-0.087
1,126,0.031,0.055,-0.086
1,127,0.042,0.07,-0.081
1,128,0.038,0.065,-0.083
1,129,0.031,0.054,-0.086
1,130,0.034,0.06,-0.085
1,131,0.044,0.074,-0.081
1,132,0.058,0.093,-0.076
1,133,0.036,0.062,-0.084
1,134,0.027,0.048,-0.089
1,135,0.035,0.06,-0.085
1,136,0.029,0.052,-0.088
1,137,0.033,0.057,-0.087
1,138,0.044,0.074,-0.082
1,139,0.038,0.064,-0.085
1,140,0.026,0.047,-0.091
1,141,0.033,0.057,-0.088
1,142,0.039,0.067,-0.085
1,143,0.067,0.106,-0.076
1,144,0.049,0.081,-0.081
1,145,0.032,0.056,-0.089
1,146,0.076,0.118,-0.074
1,147,0.107,0.158,-0.067
1,148,0.065,0.103,-0.077
1,149,0.056,0.091,-0.08
1,150,0.062,0.1,-0.078
1,151,0.059,0.095,-0.079
1,152,0.029,0.051,-0.092
1,153,0.032,0.057,-0.09
1,154,0.034,0.059,-0.089
1,155,0.031,0.055,-0.091
1,156,0.024,0.044,-0.096
1,157,0.033,0.058,-0.091
1,158,0.026,0.047,-0.095
1,159,0.018,0.034,-0.101
1,160,0.017,0.032,-0.103
1,161,0.025,0.045,-0.097
1,162,0.017,0.032,-0.103
1,163,0.022,0.041,-0.099
1,164,0.018,0.034,-0.103
1,165,0.026,0.046,-0.098
1,166,0.04,0.068,-0.09
1,167,0.04,0.069,-0.09
1,168,0.061,0.098,-0.083
1,169,0.053,0.087,-0.086
1,170,0.044,0.074,-0.09
1,171,0.043,0.073,-0.091
1,172,0.018,0.034,-0.107
