slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.005,0.012,-0.104
1,101,0.006,0.014,-0.102
1,102,0.005,0.012,-0.105
1,103,0.009,0.019,-0.099
1,104,0.015,0.03,-0.092
1,105,0.01,0.02,-0.098
1,106,0.018,0.035,-0.09
1,107,0.007,0.015,-0.103
1,108,0.009,0.019,-0.1
1,109,0.015,0.028,-0.094
1,110,0.029,0.052,-0.084
1,111,0.036,0.062,-0.081
1,112,0.028,0.05,-0.085
1,113,0.038,0.065,-0.08
1,114,0.015,0.03,-0.094
1,115,0.026,0.048,-0.087
1,116,0.036,0.063,-0.082
1,117,0.033,0.058,-0.084
1,118,0.021,0.038,-0.091
1,119,0.024,0.044,-0.089
1,120,0.049,0.081,-0.078
1,121,0.067,0.105,-0.072
1,122,0.061,0.098,-0.074
1,123,0.045,0.075,-0.08
1,124,0.044,0.074,-0.08
1,125,0.02,0.037,-0.093
1,126,0.023,0.042,-0.091
1,127,0.029,0.052,-0.087
1,128,0.025,0.046,-0.089
1,129,0.021,0.038,-0.093
1,130,0.025,0.046,-0.09
1,131,0.03,0.054,-0.087
1,132,0.04,0.068,-0.082
1,133,0.025,0.045,-0.091
1,134,0.018,0.034,-0.096
1,135,0.024,0.043,-0.091
1,136,0.02,0.037,-0.094
1,137,0.023,0.042,-0.093
1,138,0.031,0.054,-0.088
1,139,0.026,0.046,-0.091
1,140,0.017,0.032,-0.098
1,141,0.02,0.038,-0.095
1,142,0.025,0.045,-0.093
1,143,0.045,0.076,-0.083
1,144,0.034,0.058,-0.088
1,145,0.021,0.039,-0.096
1,146,0.054,0.087,-0.08
1,147,0.077,0.119,-0.074
1,148,0.047,0.078,-0.083
1,149,0.04,0.068,-0.085
1,150,0.043,0.073,-0.084
1,151,0.044,0.073,-0.084
1,152,0.022,0.04,-0.096
1,153,0.023,0.043,-0.096
1,154,0.023,0.043,-0.096
1,155,0.021,0.039,-0.098
1,156,0.018,0.033,-0.101
1,157,0.025,0.045,-0.096
1,158,0.021,0.038,-0.099
1,159,0.014,0.027,-0.105
1,160,0.013,0.026,-0.107
1,161,0.019,0.035,-0.101
1,162,0.013,0.025,-0.108
1,163,0.017,0.033,-0.104
1,164,0.015,0.029,-0.106
1,165,0.021,0.039,-0.101
1,166,0.034,0.059,-0.093
1,167,0.031,0.055,-0.095
1,168,0.047,0.079,-0.088
1,169,0.043,0.072,-0.09
1,170,0.036,0.062,-0.094
1,171,0.037,0.063,-0.094
1,172,0.014,0.028,-0.111
1,173,0.029,0.052,-0.099
1,174,0.034,0.06,-0.097
1,175,0.022,0.041,-0.105
1,176,0.026,0.047,-0.102
1,177,0.016,0.031,-0.111
1,178,0.012,0.024,-0.117
1,179,0.021,0.039,-0.108
1,180,0.022,0.041,-0.108
1,181,0.011,0.022,-0.12
1,182,0.019,0.035,-0.111
1,183,0.015,0.03,-0.115
1,184,0.019,0.036,-0.112
1,185,0.03,0.053,-0.105
1,186,0.03,0.053,-0.105
1,187,0.028,0.051,-0.107
1,188,0.051,0.084,-0.095
1,189,0.031,0.055,-0.106
1,190,0.033,0.058,-0.105
1,191,0.021,0.038,-0.115
1,192,0.057,0.092,-0.095
1,193,0.054,0.088,-0.097
1,194,0.047,0.078,-0.1
1,195,0.036,0.061,-0.106
1,196,0.047,0.078,-0.101
1,197,0.051,0.084,-0.1
1,198,0.038,0.066,-0.107
1,199,0.052,0.086,-0.1
1,200,0.036,0.062,-0.109
1,201,0.09,0.136,-0.088
1,202,0.08,0.123,-0.092
1,203,0.059,0.095,-0.099
1,204,0.07,0.11,-0.096
1,205,0.059,0.095,-0.1
1,206,0.104,0.154,-0.086
1,207,0.099,0.148,-0.088
1,208,0.056,0.091,-0.102
1,209,0.069,0.108,-0.098
1,210,0.069,0.108,-0.098
1,211,0.094,0.142,-0.09
1,212,0.088,0.133,-0.093
1,213,0.112,0.164,-0.087
1,214,0.095,0.142,-0.091
1,215,0.093,0.139,-0.093
1,216,0.162,0.226,-0.077
1,217,0.191,0.259,-0.072
1,218,0.125,0.18,-0.085
1,219,0.116,0.169,-0.088
1,220,0.216,0.288,-0.069
1,221,0.177,0.242,-0.076
1,222,0.293,0.372,-0.059
1,223,0.29,0.37,-0.06
1,224,0.324,0.405,-0.056
1,39,0.002,0.005,-0.103
1,40,0.001,0.002,-0.114
1,41,0.001,0.004,-0.105
1,42,0.0,0.001,-0.121
1,43,0.002,0.005,-0.103
1,44,0.003,0.006,-0.1
1,45,0.002,0.006,-0.1
1,46,0.002,0.004,-0.105
1,47,0.001,0.004,-0.106
1,48,0.002,0.006,-0.101
1,49,0.001,0.002,-0.114
1,50,0.002,0.005,-0.103
1,51,0.004,0.01,-0.096
1,52,0.003,0.007,-0.1
1,53,0.001,0.003,-0.111
1,54,0.005,0.011,-0.095
1,55,0.002,0.005,-0.105
1,56,0.002,0.005,-0.105
1,57,0.002,0.006,-0.103
1,58,0.003,0.007,-0.1
1,59,0.001,0.003,-0.113
1,60,0.001,0.002,-0.115
1,61,0.001,0.002,-0.115
1,62,0.0,0.002,-0.119
1,63,0.001,0.002,-0.118
1,64,0.001,0.004,-0.11
1,65,0.001,0.003,-0.114
1,66,0.0,0.001,-0.123
1,67,0.0,0.0,-0.14
1,68,0.0,0.001,-0.13
1,69,0.0,0.001,-0.124
1,70,0.0,0.001,-0.122
1,71,0.001,0.002,-0.121
1,72,0.001,0.004,-0.112
1,73,0.001,0.002,-0.12
1,74,0.001,0.002,-0.12
1,75,0.001,0.002,-0.118
1,76,0.001,0.003,-0.117
1,77,0.006,0.014,-0.097
1,78,0.013,0.025,-0.089
1,79,0.003,0.008,-0.104
1,80,0.007,0.014,-0.097
1,81,0.012,0.024,-0.09
1,82,0.006,0.013,-0.099
1,83,0.003,0.008,-0.106
1,84,0.004,0.009,-0.105
1,85,0.01,0.021,-0.093
1,86,0.01,0.02,-0.094
1,87,0.004,0.009,-0.105
1,88,0.003,0.006,-0.11
1,89,0.004,0.009,-0.105
1,90,0.002,0.006,-0.111
1,91,0.004,0.008,-0.107
1,92,0.005,0.011,-0.104
1,93,0.001,0.004,-0.118
1,94,0.006,0.014,-0.101
1,95,0.004,0.01,-0.106
1,96,0.002,0.005,-0.116
1,97,0.006,0.014,-0.102
1,98,0.009,0.018,-0.098
1,99,0.012,0.024,-0.094
10,10,0.001,0.002,-0.113
10,100,0.092,0.139,-0.063
10,101,0.085,0.129,-0.065
10,102,0.035,0.061,-0.079
10,103,0.055,0.089,-0.072
10,104,0.08,0.123,-0.066
10,105,0.024,0.044,-0.085
10,106,0.036,0.062,-0.08
10,107,0.061,0.098,-0.071
10,108,0.047,0.078,-0.076
10,109,0.05,0.082,-0.075
10,11,0.001,0.002,-0.112
10,110,0.039,0.066,-0.079
10,111,0.023,0.043,-0.087
10,112,0.035,0.061,-0.081
10,113,0.03,0.052,-0.084
10,114,0.043,0.073,-0.078
10,115,0.103,0.153,-0.063
10,116,0.076,0.118,-0.069
10,117,0.023,0.043,-0.088
10,118,0.045,0.075,-0.078
10,119,0.024,0.044,-0.088
10,12,0.001,0.002,-0.112
10,120,0.057,0.093,-0.074
10,121,0.022,0.04,-0.09
10,122,0.019,0.036,-0.092
10,123,0.021,0.039,-0.091
10,124,0.017,0.033,-0.094
10,125,0.016,0.031,-0.095
10,126,0.028,0.049,-0.087
10,127,0.035,0.061,-0.083
10,128,0.011,0.023,-0.101
10,129,0.021,0.039,-0.092
10,13,0.001,0.003,-0.106
10,130,0.022,0.041,-0.091
10,131,0.023,0.042,-0.09
10,132,0.024,0.043,-0.09
10,133,0.017,0.033,-0.095
10,134,0.014,0.028,-0.098
10,135,0.012,0.025,-0.1
10,136,0.021,0.038,-0.093
10,137,0.016,0.031,-0.096
10,138,0.021,0.039,-0.093
10,139,0.015,0.03,-0.098
10,14,0.0,0.001,-0.115
10,140,0.012,0.024,-0.102
10,141,0.027,0.049,-0.089
10,142,0.028,0.051,-0.089
10,143,0.031,0.055,-0.087
10,144,0.018,0.035,-0.096
10,145,0.015,0.03,-0.099
10,146,0.031,0.054,-0.088
10,147,0.014,0.027,-0.1
10,148,0.015,0.028,-0.1
10,149,0.014,0.027,-0.101
10,15,0.002,0.006,-0.099
10,150,0.016,0.032,-0.098
10,151,0.02,0.037,-0.095
10,152,0.019,0.036,-0.096
10,153,0.019,0.036,-0.096
10,154,0.033,0.057,-0.088
10,155,0.049,0.081,-0.081
10,156,0.047,0.078,-0.081
10,157,0.07,0.109,-0.075
10,158,0.076,0.118,-0.073
10,159,0.086,0.131,-0.071
10,16,0.001,0.002,-0.108
10,160,0.087,0.132,-0.071
10,161,0.179,0.245,-0.056
10,162,0.08,0.124,-0.072
10,163,0.052,0.085,-0.08
10,164,0.082,0.126,-0.072
10,165,0.047,0.078,-0.082
10,166,0.093,0.14,-0.07
10,167,0.163,0.227,-0.058
10,168,0.07,0.109,-0.075
10,169,0.079,0.121,-0.073
10,17,0.002,0.005,-0.1
10,170,0.112,0.164,-0.066
10,171,0.186,0.253,-0.055
10,172,0.14,0.199,-0.062
10,173,0.121,0.176,-0.065
10,174,0.101,0.15,-0.069
10,175,0.087,0.132,-0.072
10,176,0.134,0.191,-0.063
10,177,0.082,0.125,-0.074
10,178,0.104,0.154,-0.069
10,179,0.081,0.125,-0.074
10,18,0.002,0.005,-0.098
10,180,0.093,0.14,-0.072
10,181,0.08,0.122,-0.075
10,182,0.132,0.189,-0.065
10,183,0.097,0.145,-0.072
10,184,0.079,0.122,-0.076
10,185,0.068,0.107,-0.08
10,186,0.068,0.107,-0.08
10,187,0.055,0.09,-0.084
10,188,0.068,0.107,-0.081
10,189,0.052,0.085,-0.086
10,19,0.003,0.008,-0.094
10,190,0.029,0.051,-0.098
10,191,0.041,0.069,-0.092
10,192,0.041,0.07,-0.092
10,193,0.047,0.078,-0.091
10,194,0.035,0.061,-0.096
10,195,0.085,0.129,-0.079
10,196,0.057,0.091,-0.089
10,197,0.048,0.079,-0.092
10,198,0.029,0.052,-0.103
10,199,0.054,0.087,-0.091
10,20,0.0,0.001,-0.114
10,200,0.053,0.086,-0.092
10,201,0.034,0.059,-0.102
10,202,0.064,0.102,-0.089
10,203,0.104,0.154,-0.079
10,204,0.127,0.183,-0.075
10,205,0.125,0.18,-0.076
10,206,0.154,0.215,-0.071
10,207,0.181,0.247,-0.067
10,208,0.191,0.259,-0.066
10,209,0.197,0.265,-0.065
10,21,0.002,0.005,-0.099
10,210,0.235,0.309,-0.061
10,211,0.209,0.28,-0.065
10,212,0.169,0.234,-0.071
10,213,0.278,0.356,-0.057
10,214,0.249,0.324,-0.061
10,215,0.165,0.229,-0.074
10,216,0.182,0.249,-0.071
10,217,0.225,0.298,-0.065
10,218,0.329,0.41,-0.053
10,219,0.212,0.283,-0.068
10,22,0.004,0.009,-0.093
10,220,0.226,0.299,-0.067
10,221,0.232,0.306,-0.066
10,222,0.215,0.286,-0.069
10,223,0.167,0.231,-0.078
10,224,0.175,0.241,-0.077
10,225,0.157,0.219,-0.08
10,226,0.187,0.255,-0.075
10,227,0.096,0.144,-0.096
10,228,0.105,0.156,-0.094
10,229,0.105,0.155,-0.094
10,23,0.001,0.002,-0.11
10,230,0.105,0.155,-0.095
10,231,0.122,0.176,-0.091
10,232,0.077,0.119,-0.104
10,233,0.098,0.146,-0.098
10,234,0.093,0.14,-0.1
10,235,0.173,0.238,-0.081
10,236,0.11,0.162,-0.096
10,237,0.087,0.132,-0.103
10,238,0.216,0.287,-0.075
10,239,0.16,0.223,-0.085
10,24,0.001,0.004,-0.102
10,240,0.194,0.263,-0.079
10,241,0.251,0.327,-0.07
10,242,0.249,0.325,-0.071
10,243,0.232,0.305,-0.074
10,244,0.245,0.32,-0.072
10,245,0.224,0.296,-0.076
10,246,0.23,0.304,-0.075
10,247,0.259,0.335,-0.071
10,248,0.229,0.302,-0.076
10,249,0.243,0.318,-0.074
10,25,0.001,0.003,-0.104
10,250,0.373,0.456,-0.057
10,251,0.327,0.408,-0.063
10,26,0.003,0.007,-0.096
10,27,0.003,0.006,-0.097
10,28,0.001,0.002,-0.111
10,29,0.001,0.004,-0.102
10,30,0.003,0.007,-0.095
10,31,0.001,0.003,-0.104
10,32,0.002,0.005,-0.1
10,33,0.001,0.004,-0.102
10,34,0.002,0.006,-0.098
10,35,0.002,0.004,-0.101
10,36,0.001,0.003,-0.104
10,37,0.003,0.007,-0.097
10,38,0.002,0.005,-0.101
10,39,0.0,0.0,-0.13
10,40,0.001,0.003,-0.107
10,41,0.003,0.007,-0.096
10,42,0.0,0.0,-0.125
10,43,0.0,0.001,-0.12
10,44,0.0,0.001,-0.122
10,45,0.001,0.002,-0.112
10,46,0.0,0.0,-0.126
10,47,0.0,0.001,-0.12
10,48,0.0,0.0,-0.127
10,49,0.0,0.001,-0.125
10,50,0.0,0.001,-0.119
10,51,0.0,0.001,-0.118
10,52,0.0,0.0,-0.127
10,53,0.0,0.001,-0.116
10,54,0.002,0.004,-0.104
10,55,0.001,0.002,-0.113
10,56,0.001,0.003,-0.11
10,57,0.0,0.001,-0.118
10,58,0.0,0.0,-0.127
10,59,0.001,0.003,-0.111
10,60,0.001,0.003,-0.109
10,61,0.001,0.002,-0.114
10,62,0.001,0.004,-0.107
10,63,0.005,0.012,-0.094
10,64,0.005,0.011,-0.096
10,65,0.004,0.009,-0.098
10,66,0.007,0.016,-0.091
10,67,0.013,0.026,-0.085
10,68,0.005,0.011,-0.096
10,69,0.011,0.022,-0.087
10,7,0.001,0.002,-0.115
10,70,0.007,0.015,-0.093
10,71,0.016,0.031,-0.083
10,72,0.011,0.022,-0.088
10,73,0.018,0.034,-0.082
10,74,0.012,0.024,-0.088
10,75,0.018,0.034,-0.082
10,76,0.006,0.013,-0.096
10,77,0.01,0.02,-0.091
10,78,0.009,0.018,-0.093
10,79,0.014,0.027,-0.087
10,8,0.001,0.003,-0.109
10,80,0.005,0.011,-0.1
10,81,0.005,0.012,-0.099
10,82,0.008,0.016,-0.095
10,83,0.009,0.019,-0.094
10,84,0.025,0.045,-0.08
10,85,0.013,0.025,-0.09
10,86,0.013,0.026,-0.089
10,87,0.015,0.03,-0.088
10,88,0.009,0.019,-0.095
10,89,0.017,0.033,-0.087
10,9,0.001,0.003,-0.108
10,90,0.024,0.045,-0.082
10,91,0.027,0.048,-0.081
10,92,0.035,0.061,-0.077
10,93,0.033,0.058,-0.079
10,94,0.027,0.049,-0.082
10,95,0.063,0.101,-0.069
10,96,0.042,0.071,-0.076
10,97,0.045,0.074,-0.075
10,98,0.056,0.091,-0.071
10,99,0.019,0.035,-0.088
100,10,0.005,0.012,-0.099
100,100,0.085,0.13,-0.077
100,101,0.054,0.088,-0.086
100,102,0.077,0.119,-0.08
100,103,0.058,0.093,-0.085
100,104,0.099,0.148,-0.074
100,105,0.124,0.179,-0.07
100,106,0.085,0.13,-0.078
100,107,0.1,0.148,-0.075
100,108,0.13,0.187,-0.069
100,109,0.082,0.126,-0.08
100,11,0.011,0.023,-0.089
100,110,0.053,0.087,-0.088
100,111,0.103,0.152,-0.075
100,112,0.132,0.189,-0.069
100,113,0.117,0.171,-0.072
100,114,0.119,0.173,-0.072
100,115,0.132,0.188,-0.07
100,116,0.081,0.125,-0.081
100,117,0.042,0.071,-0.094
100,118,0.04,0.067,-0.096
100,119,0.028,0.05,-0.102
100,12,0.005,0.012,-0.097
100,120,0.032,0.056,-0.1
100,121,0.053,0.087,-0.09
100,122,0.07,0.11,-0.085
100,123,0.055,0.089,-0.09
100,124,0.064,0.102,-0.087
100,125,0.056,0.091,-0.089
100,126,0.055,0.089,-0.09
100,127,0.051,0.083,-0.092
100,128,0.045,0.075,-0.094
100,129,0.035,0.061,-0.099
100,13,0.008,0.017,-0.091
100,130,0.047,0.078,-0.094
100,131,0.058,0.094,-0.089
100,132,0.078,0.121,-0.083
100,133,0.047,0.078,-0.094
100,134,0.036,0.061,-0.099
100,135,0.051,0.084,-0.092
100,136,0.052,0.085,-0.091
100,137,0.039,0.067,-0.097
100,138,0.022,0.04,-0.108
100,139,0.019,0.036,-0.111
100,14,0.004,0.009,-0.099
100,140,0.018,0.034,-0.111
100,141,0.033,0.058,-0.1
100,142,0.048,0.079,-0.094
100,143,0.039,0.066,-0.097
100,144,0.044,0.074,-0.095
100,145,0.058,0.093,-0.09
