slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.841,0.878,-0.007
1,101,0.897,0.922,0.005
1,102,0.994,0.995,-0.0
1,103,0.917,0.937,0.004
1,104,0.773,0.823,-0.011
1,105,0.793,0.839,-0.01
1,106,0.729,0.786,0.013
1,107,0.843,0.88,-0.007
1,108,0.991,0.993,0.0
1,109,0.854,0.889,0.007
1,110,0.688,0.751,0.015
1,111,0.521,0.601,0.024
1,112,0.729,0.786,0.013
1,113,0.436,0.519,0.029
1,114,0.593,0.667,0.02
1,115,0.601,0.675,0.02
1,116,0.752,0.806,0.012
1,117,0.7,0.762,0.015
1,118,0.648,0.716,0.017
1,119,0.9,0.925,0.005
1,120,0.899,0.924,0.005
1,121,0.765,0.816,0.011
1,122,0.524,0.604,0.024
1,123,0.537,0.615,0.024
1,124,0.609,0.681,0.02
1,125,0.816,0.858,0.009
1,126,0.827,0.867,0.008
1,127,0.966,0.974,0.002
1,128,0.758,0.811,0.012
1,129,0.917,0.938,0.004
1,130,0.921,0.941,0.004
1,131,0.639,0.708,0.018
1,132,0.624,0.695,0.019
1,133,0.693,0.756,0.015
1,134,0.735,0.791,0.013
1,135,0.831,0.87,0.008
1,136,0.844,0.881,0.008
1,137,0.744,0.798,0.013
1,138,0.732,0.789,0.014
1,139,0.952,0.964,0.002
1,140,0.73,0.787,0.014
1,141,0.767,0.818,0.012
1,142,0.967,0.975,0.002
1,143,0.938,0.953,0.003
1,144,0.894,0.92,-0.005
1,145,0.988,0.991,-0.001
1,146,0.985,0.989,-0.001
1,147,0.863,0.896,0.007
1,148,0.887,0.914,0.006
1,149,0.985,0.989,-0.001
1,150,0.808,0.852,0.01
1,151,0.894,0.92,0.005
1,152,0.9,0.924,-0.005
1,153,0.906,0.929,-0.005
1,154,0.929,0.947,0.004
1,155,0.877,0.907,-0.006
1,156,0.86,0.893,-0.007
1,157,0.792,0.839,-0.011
1,158,0.808,0.852,-0.01
1,159,0.698,0.76,-0.016
