slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.756,0.809,0.011
1,101,0.644,0.713,0.017
1,102,0.76,0.812,0.011
1,103,0.847,0.883,0.007
1,104,0.899,0.924,0.005
1,105,0.657,0.724,0.016
1,106,0.758,0.81,0.011
1,107,0.834,0.873,0.008
1,108,0.605,0.678,0.019
1,109,0.54,0.618,0.023
1,110,0.596,0.67,0.02
1,111,0.659,0.726,0.017
1,112,0.501,0.582,0.025
1,113,0.405,0.489,0.031
1,114,0.447,0.53,0.029
1,115,0.513,0.594,0.025
1,116,0.709,0.769,0.014
1,117,0.629,0.7,0.018
1,118,0.54,0.618,0.023
1,119,0.531,0.611,0.024
1,120,0.673,0.738,0.016
1,121,0.737,0.793,0.013
1,122,0.725,0.783,0.014
1,123,0.722,0.78,0.014
1,124,0.654,0.721,0.017
1,125,0.542,0.621,0.024
1,126,0.679,0.744,0.016
1,127,0.595,0.669,0.021
1,128,0.68,0.744,0.016
1,129,0.873,0.903,0.006
1,130,0.933,0.95,0.003
1,131,0.718,0.777,0.014
1,132,0.905,0.928,0.005
1,133,0.853,0.888,0.007
1,134,0.748,0.802,0.013
1,135,0.592,0.666,0.021
1,136,0.56,0.637,0.023
1,137,0.689,0.752,0.016
1,138,0.594,0.668,0.021
1,139,0.755,0.808,0.012
1,140,0.53,0.61,0.025
1,141,0.322,0.403,0.04
1,142,0.547,0.625,0.024
1,143,0.302,0.382,0.041
1,144,0.448,0.531,0.03
1,145,0.497,0.578,0.027
1,146,0.604,0.678,0.021
1,147,0.582,0.657,0.022
1,148,0.649,0.717,0.018
1,149,0.587,0.662,0.022
1,150,0.576,0.652,0.023
1,151,0.419,0.503,0.033
1,152,0.306,0.386,0.042
1,153,0.334,0.415,0.04
1,154,0.359,0.441,0.038
1,155,0.296,0.375,0.043
1,156,0.38,0.463,0.036
1,157,0.333,0.414,0.04
1,158,0.415,0.499,0.034
1,159,0.482,0.564,0.029
1,160,0.384,0.467,0.036
1,161,0.386,0.469,0.036
1,162,0.357,0.44,0.039
1,163,0.217,0.288,0.052
1,164,0.239,0.314,0.05
1,165,0.369,0.452,0.038
1,166,0.367,0.45,0.039
1,167,0.311,0.392,0.043
1,168,0.268,0.346,0.048
1,169,0.23,0.304,0.052
1,170,0.235,0.309,0.052
1,171,0.195,0.263,0.057
1,172,0.234,0.308,0.052
1,173,0.249,0.325,0.051
1,174,0.195,0.264,0.058
1,175,0.217,0.289,0.055
1,176,0.198,0.267,0.058
1,177,0.173,0.238,0.061
1,178,0.184,0.251,0.06
1,179,0.183,0.25,0.06
1,180,0.239,0.314,0.054
1,181,0.206,0.277,0.058
1,182,0.267,0.345,0.051
1,183,0.205,0.275,0.059
1,184,0.306,0.386,0.048
1,185,0.317,0.398,0.047
1,186,0.251,0.327,0.054
1,187,0.257,0.333,0.054
1,188,0.262,0.338,0.053
1,189,0.296,0.375,0.05
1,190,0.222,0.295,0.059
1,191,0.256,0.333,0.055
1,192,0.336,0.418,0.047
1,193,0.291,0.371,0.052
1,194,0.177,0.243,0.066
1,195,0.211,0.282,0.062
1,196,0.16,0.222,0.07
1,197,0.154,0.216,0.071
1,198,0.209,0.28,0.063
1,199,0.209,0.28,0.063
1,200,0.127,0.183,0.077
1,201,0.191,0.259,0.066
1,202,0.235,0.309,0.06
1,203,0.234,0.308,0.061
1,204,0.159,0.222,0.072
1,205,0.176,0.241,0.07
1,206,0.273,0.35,0.057
1,207,0.359,0.441,0.048
1,208,0.316,0.397,0.052
1,209,0.274,0.352,0.057
1,210,0.223,0.295,0.064
1,211,0.23,0.303,0.063
1,212,0.292,0.371,0.056
1,213,0.237,0.311,0.063
1,214,0.247,0.322,0.062
1,215,0.247,0.322,0.062
1,216,0.246,0.321,0.062
1,217,0.287,0.366,0.057
1,218,0.263,0.34,0.06
1,219,0.219,0.291,0.067
1,220,0.241,0.315,0.064
1,221,0.201,0.271,0.07
1,222,0.319,0.4,0.055
1,223,0.292,0.372,0.058
1,224,0.199,0.268,0.071
1,39,0.743,0.798,-0.011
1,40,0.838,0.876,-0.007
1,41,0.842,0.879,-0.006
1,42,0.927,0.945,0.003
1,43,0.745,0.8,-0.011
1,44,0.771,0.821,-0.009
1,45,0.905,0.929,-0.004
1,46,0.719,0.778,-0.012
1,47,0.737,0.793,-0.011
1,48,0.933,0.95,-0.003
1,49,0.923,0.942,-0.003
1,50,0.93,0.948,-0.003
1,51,0.945,0.959,-0.002
1,52,0.819,0.861,-0.007
1,53,0.743,0.798,-0.011
1,54,1.0,1.0,0.0
1,55,0.973,0.98,-0.001
1,56,0.686,0.749,-0.013
1,57,0.852,0.887,-0.006
1,58,0.993,0.995,-0.0
1,59,0.673,0.738,-0.014
1,60,0.982,0.987,0.001
1,61,0.86,0.893,0.006
1,62,0.926,0.944,-0.003
1,63,0.713,0.773,0.012
1,64,0.896,0.921,-0.004
1,65,0.785,0.833,0.009
1,66,0.726,0.784,0.012
1,67,0.868,0.9,0.006
1,68,0.765,0.817,0.01
1,69,0.833,0.872,0.007
1,70,0.948,0.961,0.002
1,71,0.702,0.764,-0.013
1,72,0.875,0.905,-0.005
1,73,0.969,0.977,-0.001
1,74,0.895,0.921,-0.004
1,75,0.67,0.736,-0.015
1,76,0.976,0.982,-0.001
1,77,0.706,0.767,-0.013
1,78,0.803,0.847,-0.009
1,79,0.508,0.588,-0.023
1,80,0.765,0.816,-0.01
1,81,0.592,0.666,-0.019
1,82,0.895,0.92,-0.005
1,83,0.891,0.918,-0.005
1,84,0.698,0.76,-0.014
1,85,0.548,0.626,-0.021
1,86,0.592,0.666,-0.019
1,87,0.684,0.748,-0.014
1,88,0.961,0.971,0.002
1,89,0.997,0.998,0.0
1,90,0.946,0.96,0.002
1,91,0.844,0.88,-0.007
1,92,0.826,0.867,0.008
1,93,0.899,0.924,-0.005
1,94,0.821,0.862,-0.008
1,95,0.934,0.95,-0.003
1,96,0.817,0.859,0.008
1,97,0.789,0.836,0.01
1,98,0.87,0.901,0.006
1,99,0.919,0.939,0.004
10,10,0.536,0.615,0.02
10,100,0.945,0.959,0.003
10,101,0.914,0.935,0.004
10,102,0.682,0.746,0.015
10,103,0.779,0.828,0.01
10,104,0.827,0.867,0.008
10,105,0.55,0.628,0.022
10,106,0.615,0.687,0.019
10,107,0.787,0.834,0.01
10,108,0.975,0.981,0.001
10,109,0.552,0.63,0.022
10,11,0.553,0.631,0.019
10,110,0.924,0.943,0.004
10,111,0.869,0.9,0.006
10,112,0.622,0.693,0.018
10,113,0.839,0.876,0.008
10,114,0.771,0.821,0.011
10,115,0.641,0.711,0.018
10,116,0.694,0.756,0.015
10,117,0.744,0.798,0.012
10,118,0.876,0.906,0.006
10,119,0.731,0.788,0.013
10,12,0.54,0.619,0.019
10,120,0.836,0.874,0.008
10,121,0.711,0.771,0.014
10,122,0.987,0.991,-0.001
10,123,0.987,0.99,0.001
10,124,0.849,0.884,0.007
10,125,0.995,0.997,0.0
10,126,0.84,0.878,0.008
10,127,0.657,0.724,0.017
10,128,0.897,0.922,0.005
10,129,0.885,0.913,0.006
10,13,0.725,0.783,0.011
10,130,0.712,0.772,0.014
10,131,0.71,0.77,0.014
10,132,0.713,0.773,0.014
10,133,0.846,0.882,0.008
10,134,0.912,0.933,-0.004
10,135,0.844,0.88,0.008
10,136,0.765,0.817,0.012
10,137,0.796,0.842,0.01
10,138,0.684,0.748,0.016
10,139,0.852,0.887,0.007
10,14,0.663,0.73,0.014
10,140,0.985,0.989,-0.001
10,141,0.976,0.983,0.001
10,142,0.763,0.815,0.012
10,143,0.923,0.942,0.004
10,144,0.91,0.932,0.004
10,145,0.944,0.958,-0.003
10,146,0.897,0.922,-0.005
10,147,0.783,0.831,0.011
10,148,0.845,0.881,0.008
10,149,0.706,0.767,0.015
10,15,0.958,0.969,0.002
10,150,0.732,0.788,0.014
10,151,0.729,0.786,0.014
10,152,0.721,0.779,0.014
10,153,0.792,0.838,0.011
10,154,0.713,0.773,0.015
10,155,0.92,0.94,0.004
10,156,0.932,0.949,0.003
10,157,0.964,0.973,0.002
10,158,0.992,0.994,0.0
10,159,0.93,0.948,0.004
10,16,0.956,0.967,0.002
10,160,0.947,0.96,-0.003
10,161,0.885,0.913,0.006
10,162,0.796,0.842,0.01
10,163,0.766,0.817,0.012
10,164,0.871,0.902,0.007
10,165,0.988,0.991,-0.001
10,166,0.891,0.918,-0.006
10,167,0.971,0.978,0.001
10,168,0.856,0.89,0.007
10,169,0.99,0.992,0.001
10,17,0.666,0.732,0.013
10,170,0.971,0.978,0.001
10,171,0.789,0.836,0.011
10,172,0.575,0.651,0.023
10,173,0.71,0.77,0.015
10,174,0.724,0.782,0.014
10,175,0.961,0.971,0.002
10,176,0.849,0.885,0.008
10,177,0.932,0.949,0.003
10,178,0.77,0.82,0.012
10,179,0.652,0.72,0.019
10,18,0.916,0.937,0.003
10,180,0.775,0.825,0.012
10,181,0.583,0.658,0.023
10,182,0.672,0.738,0.018
10,183,0.638,0.708,0.02
10,184,0.633,0.704,0.02
10,185,0.48,0.562,0.03
10,186,0.436,0.519,0.033
10,187,0.481,0.563,0.03
10,188,0.605,0.679,0.022
10,189,0.524,0.604,0.028
10,19,0.661,0.728,-0.014
10,190,0.447,0.53,0.033
10,191,0.445,0.528,0.033
10,192,0.514,0.594,0.029
10,193,0.42,0.503,0.036
10,194,0.418,0.502,0.036
10,195,0.42,0.504,0.036
10,196,0.396,0.479,0.038
10,197,0.308,0.388,0.046
10,198,0.338,0.42,0.044
10,199,0.303,0.383,0.047
10,20,0.99,0.993,-0.0
10,200,0.306,0.387,0.047
10,201,0.318,0.399,0.047
10,202,0.368,0.451,0.042
10,203,0.32,0.401,0.047
10,204,0.39,0.473,0.041
10,205,0.308,0.388,0.049
10,206,0.338,0.42,0.046
10,207,0.242,0.317,0.057
10,208,0.289,0.368,0.052
10,209,0.275,0.353,0.054
10,21,0.933,0.95,0.003
10,210,0.395,0.478,0.042
10,211,0.365,0.448,0.046
10,212,0.242,0.316,0.059
10,213,0.168,0.232,0.07
10,214,0.231,0.304,0.061
10,215,0.189,0.257,0.068
10,216,0.188,0.256,0.068
10,217,0.255,0.331,0.06
10,218,0.214,0.285,0.066
10,219,0.219,0.292,0.066
10,22,0.912,0.933,-0.003
10,220,0.134,0.191,0.081
10,221,0.347,0.429,0.051
10,222,0.22,0.292,0.067
10,223,0.327,0.408,0.054
10,224,0.172,0.237,0.075
10,225,0.303,0.382,0.057
10,226,0.378,0.461,0.049
10,227,0.304,0.384,0.057
10,228,0.309,0.389,0.057
10,229,0.248,0.323,0.065
10,23,0.934,0.95,-0.003
10,230,0.319,0.4,0.057
10,231,0.25,0.326,0.065
10,232,0.342,0.424,0.054
10,233,0.163,0.226,0.08
10,234,0.227,0.3,0.07
10,235,0.273,0.351,0.064
10,236,0.173,0.239,0.079
10,237,0.177,0.242,0.079
10,238,0.159,0.221,0.083
10,239,0.234,0.308,0.07
10,24,0.789,0.836,-0.008
10,240,0.218,0.29,0.073
10,241,0.2,0.27,0.076
10,242,0.236,0.31,0.071
10,243,0.234,0.308,0.071
10,244,0.113,0.166,0.095
10,245,0.157,0.219,0.086
10,246,0.152,0.214,0.087
10,247,0.14,0.199,0.09
10,248,0.141,0.2,0.09
10,249,0.179,0.246,0.083
10,25,0.781,0.83,0.009
10,250,0.232,0.305,0.075
10,251,0.268,0.345,0.07
10,26,0.805,0.849,0.008
10,27,0.946,0.959,-0.002
10,28,0.857,0.891,-0.006
10,29,0.975,0.981,-0.001
10,30,0.74,0.795,-0.01
10,31,0.779,0.828,-0.009
10,32,0.631,0.702,-0.015
10,33,0.743,0.798,-0.01
10,34,0.522,0.602,-0.02
10,35,0.828,0.867,-0.007
10,36,0.737,0.793,-0.01
10,37,0.567,0.643,-0.018
10,38,0.63,0.7,-0.015
10,39,0.34,0.422,-0.03
10,40,0.573,0.65,-0.018
10,41,0.558,0.636,-0.018
10,42,0.468,0.55,-0.023
10,43,0.57,0.646,-0.018
10,44,0.754,0.807,-0.01
10,45,0.564,0.641,-0.018
10,46,0.435,0.519,-0.025
10,47,0.758,0.81,-0.01
10,48,0.58,0.655,-0.018
10,49,0.758,0.811,-0.01
