,Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula,Sub_group,miss,miss_p,miss_Sub_group,HVGs,HVGs.more,HVGs.less,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
Total_C,Total_C,Total Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23400,23700,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,VLDL_C + IDL_C + LDL_C + HDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,FALSE,FALSE,Cholesterol_,1,0.976956844025058,25606,26995,756,0.173777236021957,0.16379863667724,3.98469355696681,0.0459621321936836
non_HDL_C,non_HDL_C,Total Cholesterol Minus HDL-C,mmol/L,Cholesterol,,Composite,TRUE,23401,23701,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.980038673264451,25875,27360,67,0.156122062768962,0.147874307343069,3.28361152766392,0.0409641219667046
Remnant_C,Remnant_C,Remnant Cholesterol (Non-HDL- Non-LDL -Cholesterol),mmol/L,Cholesterol,,Composite,TRUE,23402,23702,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C - LDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.979132784997324,24240,25823,0,0.146655863703821,0.135017266853715,2.77352457917241,0.0354996537004688
VLDL_C,VLDL_C,VLDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23403,23703,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC,XXL_VLDL_C + XL_VLDL_C + L_VLDL_C + M_VLDL_C + S_VLDL_C + XS_VLDL_C,Cholesterol Cholesterol,1989,0.0161498550654033,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.98249163161305,7538,0,0,0.118303040064455,0.0753156417817691,1.10869217112845,0.0206732984092966
Clinical_LDL_C,Clinical_LDL_C,Clinical LDL Cholesterol,mmol/L,Cholesterol,,Non-derived,TRUE,23404,23704,,,Cholesterol Cholesterol,1348,0.010945200919137,0.01720888097036,FALSE,TRUE,TRUE,Cholesterol_,1,0.979136667660625,28384,28821,1555,0.173727336026569,0.171743451258872,4.26511679603304,0.049134097413994
LDL_C,LDL_C,LDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23405,23705,L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC,L_LDL_C + M_LDL_C + S_LDL_C,Cholesterol Cholesterol,1622,0.0131699672780714,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.979888056807771,26606,27891,343,0.161661426512893,0.155189486464387,3.60725167096053,0.0444191700231418
HDL_C,HDL_C,HDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23406,23706,XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,XL_HDL_C + L_HDL_C + M_HDL_C + S_HDL_C,Cholesterol Cholesterol,1987,0.0161336158949001,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.976100549480497,9912,7781,0,0.132350449236964,0.0774247152644652,1.13652872204368,0.0268333712969529
Total_TG,Total_TG,Total Triglycerides,mmol/L,Triglycerides,,Composite,TRUE,23407,23707,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,VLDL_TG + IDL_TG + LDL_TG + HDL_TG,Triglycerides Triglycerides,2753,0.0223532181976145,0.0150821296048198,FALSE,TRUE,TRUE,Triglycerides_,1,0.971804104771756,10825,7025,0,-0.117867751095358,-0.0871868931825584,1.34004884460832,0.0370505909012955
VLDL_TG,VLDL_TG,Triglycerides in VLDL,mmol/L,Triglycerides,,Composite,TRUE,23408,23708,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG,Triglycerides Triglycerides,1648,0.0133810764946127,0.0150821296048198,FALSE,TRUE,TRUE,Triglycerides_,1,0.972840606953086,8932,5064,0,-0.117456931260929,-0.0811693864336061,1.19960120434955,0.0378039142288135
LDL_TG,LDL_TG,Triglycerides in LDL,mmol/L,Triglycerides,,Composite,TRUE,23409,23709,L_LDL_TG + M_LDL_TG + S_LDL_TG,L_LDL_TG + M_LDL_TG + S_LDL_TG,Triglycerides Triglycerides,1562,0.0126827921629763,0.0150821296048198,FALSE,FALSE,FALSE,Triglycerides_,1,0.970874180274741,6916,2883,0,-0.111569764307421,-0.0734313334814783,1.00197344971164,0.032027026502983
